setting_id,group,width,seed,noise,context_budget,split,method,accuracy,loss,ece,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,leakage_hash_passed,logits_sha256
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,standard,twistedmerge_hodge_lr,0.8258333333333333,1.166554082436789,0.40952360965652146,30,30,1,0.023042084649205208,124.234375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,standard,generic_mixture_of_experts,0.615,1.6734802987966377,0.40453515782562366,42,42,6,0.02287491224706173,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,standard,learned_unconstrained_matrix_context_action,0.24833333333333332,1.8796175490363547,0.11444240407725309,222,222,1,0.017583835870027542,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,standard,generic_low_rank_context_adapter,0.1975,2.1087932143823984,0.2173905157273006,462,462,1,0.021582935005426407,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,standard,group_structured_without_hodge,0.8258333333333333,1.166554082436789,0.40952360965652135,0,0,1,0.02237502485513687,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,standard,hodge_lr_generic_retransport,0.4533333333333333,1.4586048074398088,0.1258321823401104,66,66,6,0.02208305522799492,124.4375,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,standard,random_multiplication_table_control,0.1575,2.2391317859253657,0.25971926161849046,0,0,1,0.022416934370994568,124.46875,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b16,S3,64,20,0.2,16,standard,shuffled_context_control,0.1625,2.1815787706726493,0.2547192616184904,0,0,1,0.02200016751885414,124.46875,True,e94958a438e93a93aa5d6b5426fbbc43187b0a5f8d0a00c23f01104a88a1fe24
S3_w64_s20_n0.2_b64,S3,64,20,0.2,64,standard,twistedmerge_hodge_lr,0.8291666666666667,1.1822033435307877,0.41194740504817623,30,30,1,0.023124972358345985,124.640625,True,2ef3859f94806d1edc0db5df8c411f60b410b33f5d527737a1c8000d9102c40c
S3_w64_s20_n0.2_b64,S3,64,20,0.2,64,standard,generic_mixture_of_experts,0.7491666666666666,1.6535652910105687,0.5486977283665219,42,42,6,0.021583866328001022,124.640625,True,2ef3859f94806d1edc0db5df8c411f60b410b33f5d527737a1c8000d9102c40c
S3_w64_s20_n0.2_b64,S3,64,20,0.2,64,standard,learned_unconstrained_matrix_context_action,0.44916666666666666,1.5137050396941647,0.06943452572806363,222,222,1,0.024250010028481483,124.640625,True,2ef3859f94806d1edc0db5df8c411f60b410b33f5d527737a1c8000d9102c40c
S3_w64_s20_n0.2_b64,S3,64,20,0.2,64,standard,generic_low_rank_context_adapter,0.17,2.5731430661773795,0.35185119538586945,462,462,1,0.02674991264939308,124.640625,True,2ef3859f94806d1edc0db5df8c411f60b410b33f5d527737a1c8000d9102c40c
S3_w64_s20_n0.2_b64,S3,64,20,0.2,64,standard,group_structured_without_hodge,0.8291666666666667,1.182203343530788,0.41194740504817634,0,0,1,0.02300017513334751,124.640625,True,2ef3859f94806d1edc0db5df8c411f60b410b33f5d527737a1c8000d9102c40c
S3_w64_s20_n0.2_b64,S3,64,20,0.2,64,standard,hodge_lr_generic_retransport,0.3566666666666667,1.6066713585936372,0.037114400067494266,66,66,6,0.024124979972839355,124.640625,True,2ef3859f94806d1edc0db5df8c411f60b410b33f5d527737a1c8000d9102c40c
S3_w64_s20_n0.2_b64,S3,64,20,0.2,64,standard,random_multiplication_table_control,0.12833333333333333,2.2313969301877177,0.2888859282851571,0,0,1,0.02204091288149357,124.640625,True,2ef3859f94806d1edc0db5df8c411f60b410b33f5d527737a1c8000d9102c40c
S3_w64_s20_n0.2_b64,S3,64,20,0.2,64,standard,shuffled_context_control,0.15833333333333333,2.2065311221675636,0.2588859282851571,0,0,1,0.02283393405377865,124.640625,True,2ef3859f94806d1edc0db5df8c411f60b410b33f5d527737a1c8000d9102c40c
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,twistedmerge_hodge_lr,0.595,1.501620034635799,0.1931338076762164,30,30,1,0.022665830329060555,125.171875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,generic_mixture_of_experts,0.22833333333333333,1.768122411759259,0.033265091418975795,42,42,6,0.02212519757449627,125.171875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,learned_unconstrained_matrix_context_action,0.17916666666666667,1.8976549027009955,0.1252890331210052,222,222,1,0.022416934370994568,125.171875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,generic_low_rank_context_adapter,0.2,2.108090622432143,0.214771052196711,462,462,1,0.021416926756501198,125.1875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,group_structured_without_hodge,0.595,1.501620034635799,0.1931338076762163,0,0,1,0.021792016923427582,125.1875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,hodge_lr_generic_retransport,0.35833333333333334,1.6308712833480754,0.033296494947918955,66,66,6,0.021416926756501198,125.1875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
S3_w64_s20_n0.5_b16,S3,64,20,0.5,16,standard,random_multiplication_table_control,0.7133333333333334,1.3258875786553086,0.3003569429898547,0,0,1,0.02133287489414215,125.1875,True,b6e8d706e6da8d531863bb69bb136416f8c550a2dc845b441602ae2b2ad63dcf
