base_model,rank,method,accuracy,worst_domain_accuracy,ece,latency_seconds,peak_memory_mb,lift_frequency
prajjwal1/bert-tiny,4,adaptive_router,0.5546875,0.4375,0.1337341298349202,nan,398.796875,0.0
prajjwal1/bert-tiny,4,dare,0.6015625,0.375,0.06510293483734131,0.052553415996953845,398.796875,0.0
prajjwal1/bert-tiny,4,delta_matrix_average,0.6015625,0.375,0.06511986255645752,0.11868100007995963,398.796875,0.0
prajjwal1/bert-tiny,4,ensemble_reference,0.6015625,0.375,0.0651247501373291,nan,398.796875,0.0
prajjwal1/bert-tiny,4,raw_factor_average,0.6015625,0.375,0.06516480445861816,0.04871933301910758,398.796875,0.0
prajjwal1/bert-tiny,4,svd_low_rank_merge,0.6015625,0.375,0.06511986255645752,0.05608362494967878,398.796875,0.0
prajjwal1/bert-tiny,4,task_arithmetic,0.6015625,0.375,0.06511986255645752,0.06481212540529668,398.796875,0.0
prajjwal1/bert-tiny,4,ties,0.609375,0.375,0.07179826498031616,0.05655054305680096,398.796875,0.0
prajjwal1/bert-tiny,4,twistedmerge_hodge_lr,0.609375,0.375,0.07179826498031616,0.047394291032105684,398.796875,0.0
prajjwal1/bert-tiny,8,adaptive_router,0.546875,0.4375,0.1322069182060659,nan,398.796875,0.0
prajjwal1/bert-tiny,8,dare,0.6328125,0.375,0.09047484397888184,0.056311583146452904,398.796875,0.0
prajjwal1/bert-tiny,8,delta_matrix_average,0.640625,0.375,0.09837979078292847,0.08781637414358556,398.796875,0.0
prajjwal1/bert-tiny,8,ensemble_reference,0.640625,0.375,0.09799015522003174,nan,398.796875,0.0
prajjwal1/bert-tiny,8,raw_factor_average,0.6328125,0.375,0.09099996089935303,0.10119500081054866,398.796875,0.0
prajjwal1/bert-tiny,8,svd_low_rank_merge,0.640625,0.375,0.09837979078292847,0.07790120900608599,398.796875,0.0
prajjwal1/bert-tiny,8,task_arithmetic,0.640625,0.375,0.09837979078292847,0.05112666706554592,398.796875,0.0
prajjwal1/bert-tiny,8,ties,0.6484375,0.375,0.10363399982452393,0.11577012483030558,398.796875,0.0
prajjwal1/bert-tiny,8,twistedmerge_hodge_lr,0.640625,0.375,0.09837979078292847,0.08212220808491111,398.796875,0.0
