architecture,dataset,collection,domain,method,accuracy,loss,ece,worst_task_accuracy,forgetting,trainable_parameters,stored_parameters,branch_count,latency_seconds,peak_memory_mb,selector_validation_samples,candidate_count,lift_activated,selected_ordinary_method,leakage_hash_passed,logits_sha256
resnet18,CIFAR10,0,clean,uniform_model_soup,0.76,1.7502166296797406,0.5763260135187805,0.7304964539007093,0.04219386672551051,0,5120,1,9.875046089291573e-06,340.203125,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,greedy_model_soup,0.648,3.3338647209173207,0.3924929787372827,0.5702127659574469,0.15841293341621293,0,5120,1,1.0458054021000862e-05,340.203125,600,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,git_rebasin_shared_feature_identity,0.76,1.7502166296797406,0.5763260135187805,0.7304964539007093,0.04219386672551051,0,5120,1,9.458046406507492e-06,340.203125,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,c2m3_shared_feature_identity,0.76,1.7502166296797406,0.5763260135187805,0.7304964539007093,0.04219386672551051,0,5120,1,9.083189070224762e-06,340.203125,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,task_arithmetic,0.76,1.7502166296797406,0.5763260135187805,0.7304964539007093,0.04219386672551051,0,5120,1,9.37492586672306e-06,340.203125,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,ties,0.76,1.601737005188486,0.5420970630308937,0.7304964539007093,0.04219386672551051,0,5120,1,1.00000761449337e-05,340.203125,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,dare,0.277,2.2061478971044166,0.08496827486503401,0.1759656652360515,0.5255316350340833,0,5120,1,9.709037840366364e-06,340.203125,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,regmean,0.76,1.7502166296797406,0.5763260135187805,0.7304964539007093,0.04219386672551051,0,5120,1,1.5625031664967537e-05,340.203125,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,cca_shared_feature_alignment,0.76,1.7502166296797406,0.5763260135187805,0.7304964539007093,0.04219386672551051,0,5120,1,1.6416888684034348e-05,340.203125,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,low_rank_task_subspace,0.616,1.762860136939801,0.4239673869173476,0.5049645390070922,0.19156317991763758,0,5120,1,1.550000160932541e-05,340.203125,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,twistedmerge_hodge_lr,0.76,1.7502166296797406,0.5763260135187805,0.7304964539007093,0.04219386672551051,0,5120,1,1.5124911442399025e-05,340.203125,600,6,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,adaptive_router,0.756,1.6107974260089315,0.5369281290348442,0.724822695035461,0.04698968743606019,44,20480,4,1.1249911040067673e-05,340.203125,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,clean,ensemble_reference,0.76,1.7502166296797403,0.5763260135187804,0.7304964539007093,0.04219386672551051,0,20480,4,1.1125113815069199e-05,340.203125,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,uniform_model_soup,0.398,1.9780913385315662,0.22871667122713396,0.33047210300429186,0.05884531860441576,0,5120,1,8.95792618393898e-06,342.046875,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,greedy_model_soup,0.365,2.894924786227635,0.11921439604713753,0.27753934191702434,0.09305775990912295,0,5120,1,8.790986612439156e-06,342.046875,600,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,git_rebasin_shared_feature_identity,0.398,1.9780913385315662,0.22871667122713396,0.33047210300429186,0.05884531860441576,0,5120,1,9.207986295223236e-06,342.046875,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,c2m3_shared_feature_identity,0.398,1.9780913385315662,0.22871667122713396,0.33047210300429186,0.05884531860441576,0,5120,1,9.790994226932526e-06,342.046875,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,task_arithmetic,0.398,1.9780913385315662,0.22871667122713396,0.33047210300429186,0.05884531860441576,0,5120,1,9.832903742790222e-06,342.046875,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,ties,0.398,1.9083770477515094,0.20348846804295653,0.33047210300429186,0.05884531860441576,0,5120,1,1.037493348121643e-05,342.046875,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,dare,0.292,2.042658360035648,0.08198566826263896,0.24752475247524752,0.16261762077415337,0,5120,1,9.624985978007317e-06,342.046875,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,regmean,0.398,1.9780913385315662,0.22871667122713396,0.33047210300429186,0.05884531860441576,0,5120,1,9.250128641724586e-06,342.046875,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,cca_shared_feature_alignment,0.398,1.9780913385315662,0.22871667122713396,0.33047210300429186,0.05884531860441576,0,5120,1,9.542098268866539e-06,342.046875,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,low_rank_task_subspace,0.306,1.9744356996076733,0.12256937978903223,0.17882689556509299,0.15382871328479464,0,5120,1,9.207986295223236e-06,342.046875,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,twistedmerge_hodge_lr,0.398,1.9780913385315662,0.22871667122713396,0.33047210300429186,0.05884531860441576,0,5120,1,9.833136573433876e-06,342.046875,600,6,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,adaptive_router,0.393,1.931865112907342,0.20382903197383037,0.3290414878397711,0.06565541568772051,44,20480,4,1.116609200835228e-05,342.046875,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,0,gaussian_shift,ensemble_reference,0.398,1.9780913385315662,0.22871667122713396,0.33047210300429186,0.05884531860441576,0,20480,4,8.875038474798203e-06,342.046875,0,1,False,uniform_model_soup,True,952dc96e4f7da1b9d5d63895e6a44e0b1fd2571ae1831c26379320a2c1fa4a9a
resnet18,CIFAR10,1,clean,uniform_model_soup,0.76,1.7502166296797406,0.5763260135187805,0.7462121212121212,0.04445280592357523,0,5120,1,1.2082979083061218e-05,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,greedy_model_soup,0.653,3.3951886090160786,0.39328954834855445,0.5921717171717171,0.15512126300626963,0,5120,1,9.832903742790222e-06,342.046875,600,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,git_rebasin_shared_feature_identity,0.76,1.7502166296797406,0.5763260135187805,0.7462121212121212,0.04445280592357523,0,5120,1,9.37492586672306e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,c2m3_shared_feature_identity,0.76,1.7502166296797406,0.5763260135187805,0.7462121212121212,0.04445280592357523,0,5120,1,1.0499963536858559e-05,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,task_arithmetic,0.76,1.7502166296797406,0.5763260135187805,0.7462121212121212,0.04445280592357523,0,5120,1,1.3333046808838844e-05,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,ties,0.76,1.601737005188486,0.5420970630308937,0.7462121212121212,0.04445280592357523,0,5120,1,9.00006853044033e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,dare,0.263,2.313835952730607,0.10213593492168359,0.15,0.5355511215629345,0,5120,1,9.124865755438805e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,regmean,0.76,1.7502166296797406,0.5763260135187805,0.7462121212121212,0.04445280592357523,0,5120,1,8.708098903298378e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,cca_shared_feature_alignment,0.76,1.7502166296797406,0.5763260135187805,0.7462121212121212,0.04445280592357523,0,5120,1,8.750008419156075e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,low_rank_task_subspace,0.602,1.7655775797666742,0.40987011638167065,0.5014450867052023,0.20817882603442636,0,5120,1,8.832896128296852e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,twistedmerge_hodge_lr,0.76,1.7502166296797406,0.5763260135187805,0.7462121212121212,0.04445280592357523,0,5120,1,8.875038474798203e-06,342.046875,600,6,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,adaptive_router,0.746,1.6019799811914572,0.5240975747085079,0.7248603351955307,0.05940630256695545,44,20480,4,9.082956239581108e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,clean,ensemble_reference,0.76,1.7502166296797403,0.5763260135187804,0.7462121212121212,0.04445280592357523,0,20480,4,1.0499963536858559e-05,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,uniform_model_soup,0.398,1.9780913385315662,0.22871667122713396,0.34104046242774566,0.06738014652613257,0,5120,1,8.95909033715725e-06,342.046875,0,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
resnet18,CIFAR10,1,gaussian_shift,greedy_model_soup,0.349,2.940137538717579,0.09995018505000781,0.2630057803468208,0.11810905010318902,0,5120,1,9.165843948721886e-06,342.046875,600,1,False,uniform_model_soup,True,e33a7d10a5d33de9154de6b7f3ada2fbdade391cf9a5baf8827d53cb8c8e51ab
