architecture,dataset,domain,method,accuracy,worst_task_accuracy,forgetting,ece,latency_seconds,peak_memory_mb,lift_frequency
deit_tiny,CIFAR10,clean,adaptive_router,0.806,0.7935680132444672,0.03595177010102772,0.29038756803280125,9.833136573433876e-06,358.03125,0.0
deit_tiny,CIFAR10,clean,c2m3_shared_feature_identity,0.807,0.7944059992645098,0.03492746199777806,0.3359218653939963,9.458046406507492e-06,358.03125,0.0
deit_tiny,CIFAR10,clean,cca_shared_feature_alignment,0.807,0.7944059992645098,0.03492746199777806,0.3359218653939963,9.624985978007317e-06,358.03125,0.0
deit_tiny,CIFAR10,clean,dare,0.7041999999999999,0.6703206142519387,0.1374754187471376,0.2211535970317192,9.291805326938629e-06,358.03125,0.0
deit_tiny,CIFAR10,clean,ensemble_reference,0.807,0.7944059992645098,0.03492746199777806,0.3359218653939963,9.708106517791748e-06,358.03125,0.0
deit_tiny,CIFAR10,clean,git_rebasin_shared_feature_identity,0.807,0.7944059992645098,0.03492746199777806,0.3359218653939963,9.499955922365189e-06,358.03125,0.0
deit_tiny,CIFAR10,clean,greedy_model_soup,0.6782,0.6009756685283602,0.16793918718930217,0.09716411456581975,9.875046089291573e-06,358.03125,0.0
deit_tiny,CIFAR10,clean,low_rank_task_subspace,0.7986000000000001,0.7727493170944861,0.04423225207990418,0.32787003022593747,9.750016033649445e-06,358.03125,0.0
deit_tiny,CIFAR10,clean,regmean,0.807,0.7944059992645098,0.03492746199777806,0.3359218653939963,9.707873687148094e-06,358.03125,0.0
deit_tiny,CIFAR10,clean,task_arithmetic,0.807,0.7944059992645098,0.03492746199777806,0.3359218653939963,9.37492586672306e-06,358.03125,0.0
deit_tiny,CIFAR10,clean,ties,0.807,0.7944059992645098,0.03492746199777806,0.22933278504956106,9.542098268866539e-06,358.03125,0.0
deit_tiny,CIFAR10,clean,twistedmerge_hodge_lr,0.8064,0.7921364957184106,0.03564065006524648,0.3354646980567981,1.0542105883359909e-05,358.03125,0.0
deit_tiny,CIFAR10,clean,uniform_model_soup,0.807,0.7944059992645098,0.03492746199777806,0.3359218653939963,9.916955605149269e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,adaptive_router,0.7584,0.7368321725656723,0.04708414912160606,0.26345416228514285,9.541865438222885e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,c2m3_shared_feature_identity,0.761,0.739409198087324,0.044493667183853655,0.30168456504944746,9.37492586672306e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,cca_shared_feature_alignment,0.761,0.739409198087324,0.044493667183853655,0.30168456504944746,9.458046406507492e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,dare,0.6948000000000001,0.6797926610500047,0.11062535296863558,0.22662309832328537,9.333016350865364e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,ensemble_reference,0.761,0.739409198087324,0.044493667183853655,0.30168456504944746,9.292038157582283e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,git_rebasin_shared_feature_identity,0.761,0.739409198087324,0.044493667183853655,0.30168456504944746,9.292038157582283e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,greedy_model_soup,0.652,0.5754896056605201,0.15772938312746185,0.08810018924338578,9.58307646214962e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,low_rank_task_subspace,0.7576,0.7327060959406397,0.04871388474497163,0.298544936251291,9.58307646214962e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,regmean,0.761,0.739409198087324,0.044493667183853655,0.30168456504944746,9.499955922365189e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,task_arithmetic,0.761,0.739409198087324,0.044493667183853655,0.30168456504944746,9.292038157582283e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,ties,0.761,0.739409198087324,0.044493667183853655,0.19669225091626946,9.458046406507492e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,twistedmerge_hodge_lr,0.7584,0.7354375668816503,0.04721043812723433,0.2988439246798979,9.334180504083633e-06,358.03125,0.0
deit_tiny,CIFAR10,gaussian_shift,uniform_model_soup,0.761,0.739409198087324,0.044493667183853655,0.30168456504944746,9.584007784724236e-06,358.03125,0.0
deit_tiny,CIFAR100,clean,adaptive_router,0.5631999999999999,0.5476942417907514,0.04893304031682644,0.4021050479623682,6.429199129343033e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,c2m3_shared_feature_identity,0.571,0.5534684926386906,0.041075041021327655,0.41959799924711955,6.450014188885689e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,cca_shared_feature_alignment,0.571,0.5534684926386906,0.041075041021327655,0.41959799924711955,6.633414886891842e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,dare,0.4492,0.43202777566190936,0.16288536238191703,0.2761498335266241,6.862496957182884e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,ensemble_reference,0.571,0.5534684926386906,0.041075041021327655,0.4195979992471196,6.520794704556465e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,git_rebasin_shared_feature_identity,0.571,0.5534684926386906,0.041075041021327655,0.41959799924711955,6.512505933642387e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,greedy_model_soup,0.4678,0.4044669187586292,0.14510510711976793,0.19119495610370288,6.924988701939583e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,low_rank_task_subspace,0.571,0.5534684926386906,0.041075041021327655,0.4195979992675631,6.433296948671341e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,regmean,0.571,0.5534684926386906,0.041075041021327655,0.41959799924711955,6.437511183321476e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,task_arithmetic,0.571,0.5534684926386906,0.041075041021327655,0.41959799924711955,6.391690112650394e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,ties,0.571,0.5534684926386906,0.041075041021327655,0.32029281322283576,6.5250089392066e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,twistedmerge_hodge_lr,0.571,0.5534684926386906,0.041075041021327655,0.41959799924711955,6.454112008213997e-05,358.03125,0.0
deit_tiny,CIFAR100,clean,uniform_model_soup,0.571,0.5534684926386906,0.041075041021327655,0.41959799924711955,6.366707384586334e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,adaptive_router,0.4816,0.4597098860122313,0.04971919194294514,0.32686992115227076,6.39590434730053e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,c2m3_shared_feature_identity,0.488,0.46380099909099987,0.04337977122202273,0.34102874139621,6.508384831249714e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,cca_shared_feature_alignment,0.488,0.46380099909099987,0.04337977122202273,0.34102874139621,6.412481889128685e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,dare,0.41100000000000003,0.39207844879570736,0.12030233643997494,0.24571439376370244,6.479187868535519e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,ensemble_reference,0.488,0.46380099909099987,0.04337977122202273,0.34102874139621,6.508384831249714e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,git_rebasin_shared_feature_identity,0.488,0.46380099909099987,0.04337977122202273,0.34102874139621,6.466708146035671e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,greedy_model_soup,0.4088,0.3459218914666584,0.12322349838987305,0.1423185427603319,6.65830448269844e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,low_rank_task_subspace,0.488,0.46380099909099987,0.04337977122202273,0.34102874140764744,6.637489423155785e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,regmean,0.488,0.46380099909099987,0.04337977122202273,0.34102874139621,6.433413363993168e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,task_arithmetic,0.488,0.46380099909099987,0.04337977122202273,0.34102874139621,6.687501445412636e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,ties,0.488,0.46380099909099987,0.04337977122202273,0.24391070979687765,6.43748790025711e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,twistedmerge_hodge_lr,0.488,0.46380099909099987,0.04337977122202273,0.34102874139621,6.520887836813927e-05,358.03125,0.0
deit_tiny,CIFAR100,gaussian_shift,uniform_model_soup,0.488,0.46380099909099987,0.04337977122202273,0.34102874139621,6.479118019342422e-05,358.03125,0.0
resnet18,CIFAR10,clean,adaptive_router,0.7432000000000001,0.7188918307108104,0.06067792947178853,0.5240288918418445,9.082956239581108e-06,342.046875,0.0
resnet18,CIFAR10,clean,c2m3_shared_feature_identity,0.76,0.7394899206825747,0.04356265853505117,0.5763260135187805,9.124865755438805e-06,342.046875,0.0
resnet18,CIFAR10,clean,cca_shared_feature_alignment,0.76,0.7394899206825747,0.04356265853505117,0.5763260135187805,8.999835699796677e-06,342.046875,0.0
resnet18,CIFAR10,clean,dare,0.2652,0.15940320189870855,0.5366629408026997,0.12113997822337641,9.16607677936554e-06,342.046875,0.0
resnet18,CIFAR10,clean,ensemble_reference,0.76,0.7394899206825747,0.04356265853505117,0.5763260135187804,8.834060281515121e-06,342.046875,0.0
resnet18,CIFAR10,clean,git_rebasin_shared_feature_identity,0.76,0.7394899206825747,0.04356265853505117,0.5763260135187805,9.209150448441505e-06,342.046875,0.0
resnet18,CIFAR10,clean,greedy_model_soup,0.6444,0.56572448610057,0.16315600878287773,0.38690493756360483,9.832903742790222e-06,342.046875,0.0
resnet18,CIFAR10,clean,low_rank_task_subspace,0.596,0.4802234376232941,0.21373116953914661,0.40333499485789426,9.250128641724586e-06,342.046875,0.0
resnet18,CIFAR10,clean,regmean,0.76,0.7394899206825747,0.04356265853505117,0.5763260135187805,1.0667135939002037e-05,342.046875,0.0
resnet18,CIFAR10,clean,task_arithmetic,0.76,0.7394899206825747,0.04356265853505117,0.5763260135187805,9.167008101940155e-06,342.046875,0.0
resnet18,CIFAR10,clean,ties,0.76,0.7394899206825747,0.04356265853505117,0.5420970630308937,9.00006853044033e-06,342.046875,0.0
