group,word_length,method,task_accuracy,action_accuracy,multiplication_error,trainable_parameters
D4,4,generic_mixture_of_experts,0.0,0.0,1.0,136.0
D4,4,learned_matrix_action,0.0,0.0,1.0,136.0
D4,4,lookup_table_diagnostic,0.0,0.0,1.0,136.0
D4,4,low_rank_context_adapter,0.0,0.0,1.0,136.0
D4,4,sequence_mlp,0.09923674497229032,0.09923674497229032,0.9007632550277098,136.0
D4,4,small_sequence_transformer,0.09923674497229032,0.09923674497229032,0.9007632550277098,136.0
D4,4,twistedmerge_structured_action,1.0,1.0,0.0,0.0
D4,5,generic_mixture_of_experts,0.25672838527152225,0.25672838527152225,0.7432716147284777,136.0
D4,5,learned_matrix_action,0.25672838527152225,0.25672838527152225,0.7432716147284777,136.0
D4,5,lookup_table_diagnostic,0.25718137478847936,0.25718137478847936,0.7428186252115208,136.0
D4,5,low_rank_context_adapter,0.25672838527152225,0.25672838527152225,0.7432716147284777,136.0
D4,5,sequence_mlp,0.15201296045537255,0.15201296045537255,0.8479870395446275,136.0
D4,5,small_sequence_transformer,0.15201296045537255,0.15201296045537255,0.8479870395446275,136.0
D4,5,twistedmerge_structured_action,1.0,1.0,0.0,0.0
D4,6,generic_mixture_of_experts,0.0,0.0,1.0,136.0
D4,6,learned_matrix_action,0.0,0.0,1.0,136.0
D4,6,lookup_table_diagnostic,0.0,0.0,1.0,136.0
D4,6,low_rank_context_adapter,0.0,0.0,1.0,136.0
D4,6,sequence_mlp,0.06170413885103067,0.06170413885103067,0.9382958611489693,136.0
D4,6,small_sequence_transformer,0.06170413885103067,0.06170413885103067,0.9382958611489693,136.0
D4,6,twistedmerge_structured_action,1.0,1.0,0.0,0.0
D4,7,generic_mixture_of_experts,0.2431576516346964,0.2431576516346964,0.7568423483653036,136.0
D4,7,learned_matrix_action,0.2431576516346964,0.2431576516346964,0.7568423483653036,136.0
D4,7,lookup_table_diagnostic,0.2484892123871544,0.2484892123871544,0.7515107876128455,136.0
D4,7,low_rank_context_adapter,0.2431576516346964,0.2431576516346964,0.7568423483653036,136.0
D4,7,sequence_mlp,0.1743482658872495,0.1743482658872495,0.8256517341127505,136.0
D4,7,small_sequence_transformer,0.1743482658872495,0.1743482658872495,0.8256517341127505,136.0
D4,7,twistedmerge_structured_action,1.0,1.0,0.0,0.0
D4,8,generic_mixture_of_experts,0.0,0.0,1.0,136.0
D4,8,learned_matrix_action,0.0,0.0,1.0,136.0
D4,8,lookup_table_diagnostic,0.0,0.0,1.0,136.0
D4,8,low_rank_context_adapter,0.0,0.0,1.0,136.0
D4,8,sequence_mlp,0.07838675863192138,0.07838675863192138,0.9216132413680785,136.0
D4,8,small_sequence_transformer,0.07838675863192138,0.07838675863192138,0.9216132413680785,136.0
D4,8,twistedmerge_structured_action,1.0,1.0,0.0,0.0
S3,4,generic_mixture_of_experts,0.2037199266099592,0.2037199266099592,0.7962800733900408,102.0
S3,4,learned_matrix_action,0.2037199266099592,0.2037199266099592,0.7962800733900408,102.0
S3,4,lookup_table_diagnostic,0.12109602667443586,0.12109602667443586,0.8789039733255641,102.0
S3,4,low_rank_context_adapter,0.2037199266099592,0.2037199266099592,0.7962800733900408,102.0
S3,4,sequence_mlp,0.16339647141912916,0.16339647141912916,0.8366035285808708,102.0
S3,4,small_sequence_transformer,0.16339647141912916,0.16339647141912916,0.8366035285808708,102.0
S3,4,twistedmerge_structured_action,1.0,1.0,0.0,0.0
S3,5,generic_mixture_of_experts,0.14780255801360848,0.14780255801360848,0.8521974419863916,102.0
S3,5,learned_matrix_action,0.14780255801360848,0.14780255801360848,0.8521974419863916,102.0
S3,5,lookup_table_diagnostic,0.19368252821452506,0.19368252821452506,0.806317471785475,102.0
S3,5,low_rank_context_adapter,0.14780255801360848,0.14780255801360848,0.8521974419863916,102.0
S3,5,sequence_mlp,0.17294685131828105,0.17294685131828105,0.827053148681719,102.0
S3,5,small_sequence_transformer,0.17294685131828105,0.17294685131828105,0.827053148681719,102.0
S3,5,twistedmerge_structured_action,1.0,1.0,0.0,0.0
S3,6,generic_mixture_of_experts,0.18406922201445447,0.18406922201445447,0.8159307779855455,102.0
S3,6,learned_matrix_action,0.18406922201445447,0.18406922201445447,0.8159307779855455,102.0
S3,6,lookup_table_diagnostic,0.1517753741026746,0.1517753741026746,0.8482246258973254,102.0
S3,6,low_rank_context_adapter,0.18406922201445447,0.18406922201445447,0.8159307779855455,102.0
S3,6,sequence_mlp,0.16851150228789016,0.16851150228789016,0.8314884977121098,102.0
