setting_id,dataset,regime,seed,cycle_count,cycle_residual,hodge_reconstruction_residual,persistent_residual,missing_edge
MNIST_exact_s0,MNIST,exact,0,4,0.0,7.410798009835157e-18,False,False
MNIST_exact_s1,MNIST,exact,1,4,0.0,7.410798009835157e-18,False,False
MNIST_exact_s2,MNIST,exact,2,4,0.0,7.410798009835157e-18,False,False
MNIST_noisy_s0,MNIST,noisy,0,4,0.04227312514545393,0.017416973431768564,False,False
MNIST_noisy_s1,MNIST,noisy,1,4,0.04201312664349274,0.017315915727480775,False,False
MNIST_noisy_s2,MNIST,noisy,2,4,0.041656977256529094,0.017152387667556626,False,False
MNIST_missing_noisy_s0,MNIST,missing_noisy,0,2,0.04322265054021368,0.20223912187932797,False,True
MNIST_missing_noisy_s1,MNIST,missing_noisy,1,2,0.0416890215580248,0.2078886836610226,False,True
MNIST_missing_noisy_s2,MNIST,missing_noisy,2,2,0.041869314123706286,0.20451891046706366,False,True
FashionMNIST_exact_s0,FashionMNIST,exact,0,4,0.0,7.410798009835157e-18,False,False
FashionMNIST_exact_s1,FashionMNIST,exact,1,4,0.0,7.410798009835157e-18,False,False
FashionMNIST_exact_s2,FashionMNIST,exact,2,4,0.0,7.410798009835157e-18,False,False
FashionMNIST_noisy_s0,FashionMNIST,noisy,0,4,0.04169839906346643,0.01717309905943558,False,False
FashionMNIST_noisy_s1,FashionMNIST,noisy,1,4,0.042128554265317565,0.017355393070638346,False,False
FashionMNIST_noisy_s2,FashionMNIST,noisy,2,4,0.04261098143445716,0.017559275548625977,False,False
FashionMNIST_missing_noisy_s0,FashionMNIST,missing_noisy,0,2,0.0421807216339096,0.20508871174173487,False,True
FashionMNIST_missing_noisy_s1,FashionMNIST,missing_noisy,1,2,0.04144141005704187,0.20607518573285438,False,True
FashionMNIST_missing_noisy_s2,FashionMNIST,missing_noisy,2,2,0.04217109582494208,0.20437356036735296,False,True
