dataset,method,accuracy,chart_accuracy,trainable_parameters,latency_ms
CIFAR10,canonicalize_pool_retransport,0.32966666666666666,nan,0.0,0.019041122868657112
CIFAR10,context_blind_synchronization,0.23816666666666667,0.18566666666666665,520.0,0.024999957531690598
CIFAR10,ensemble_reference,0.2715,nan,0.0,0.018040882423520088
CIFAR10,generic_image_context_predictor,0.2771666666666667,0.18566666666666665,520.0,0.022249994799494743
CIFAR10,generic_low_rank_context_adapter,0.26583333333333337,0.18566666666666665,520.0,0.020208070054650307
CIFAR10,generic_mixture_of_experts,0.2771666666666667,0.18566666666666665,520.0,0.01833401620388031
CIFAR10,random_group_law_control,0.2285,nan,0.0,0.01800013706088066
CIFAR10,structured_group_router,0.2595,0.18566666666666665,520.0,0.019458122551441193
CIFAR10,twistedmerge_hodge_lr,0.2595,nan,0.0,0.017832964658737183
CIFAR10,wrong_action_control,0.23383333333333334,nan,0.0,0.018167076632380486
FashionMNIST,canonicalize_pool_retransport,0.7474999999999999,nan,0.0,0.01945788972079754
FashionMNIST,context_blind_synchronization,0.2743333333333333,0.4251666666666667,520.0,0.01937500201165676
FashionMNIST,ensemble_reference,0.28883333333333333,nan,0.0,0.018415972590446472
FashionMNIST,generic_image_context_predictor,0.36166666666666664,0.4251666666666667,520.0,0.018832972273230553
FashionMNIST,generic_low_rank_context_adapter,0.31433333333333335,0.4251666666666667,520.0,0.018333084881305695
FashionMNIST,generic_mixture_of_experts,0.36166666666666664,0.4251666666666667,520.0,0.017916085198521614
FashionMNIST,random_group_law_control,0.2821666666666667,nan,0.0,0.01845788210630417
FashionMNIST,structured_group_router,0.5381666666666667,0.4251666666666667,520.0,0.017667189240455627
FashionMNIST,twistedmerge_hodge_lr,0.5381666666666667,nan,0.0,0.018124934285879135
FashionMNIST,wrong_action_control,0.18283333333333332,nan,0.0,0.019167084246873856
