setting_id,strict_accuracy,generic_low_rank_accuracy,hodge_lr_accuracy,hodge_delta_vs_strict,hodge_delta_vs_generic,residual_before,residual_after
CIFAR10_cnn_4_independent_seeds_s0,0.4225,0.359,0.4225,0.0,0.0635,0.025406324093661243,0.025406324093661243
CIFAR10_cnn_4_independent_seeds_s1,0.394,0.372,0.394,0.0,0.02200000000000002,0.031840935893024176,0.031840935893024176
CIFAR10_cnn_4_independent_seeds_s2,0.4095,0.3825,0.4095,0.0,0.02699999999999997,0.033464202713555734,0.033464202713555734
CIFAR10_cnn_4_shared_base_specialization_s0,0.37,0.339,0.37,0.0,0.030999999999999972,0.018679363720561008,0.018679363720561008
CIFAR10_cnn_4_shared_base_specialization_s1,0.361,0.3375,0.361,0.0,0.023499999999999965,0.009028646877846684,0.009028646877846684
CIFAR10_cnn_4_shared_base_specialization_s2,0.3565,0.347,0.3565,0.0,0.009500000000000008,0.03872454511408812,0.03872454511408812
FashionMNIST_cnn_3_independent_seeds_s0,0.7825,0.7565,0.7825,0.0,0.026000000000000023,0.008708580352114909,0.008708580352114909
FashionMNIST_cnn_3_independent_seeds_s1,0.7865,0.7305,0.7865,0.0,0.05599999999999994,0.005428410175167859,0.005428410175167859
FashionMNIST_cnn_3_independent_seeds_s2,0.765,0.754,0.765,0.0,0.01100000000000001,0.006634111531417857,0.006634111531417857
FashionMNIST_cnn_3_shared_base_specialization_s0,0.7795,0.7205,0.7795,0.0,0.05899999999999994,0.00932863975953056,0.00932863975953056
FashionMNIST_cnn_3_shared_base_specialization_s1,0.7555,0.7265,0.7555,0.0,0.028999999999999915,0.010166712063105692,0.010166712063105692
FashionMNIST_cnn_3_shared_base_specialization_s2,0.7575,0.7215,0.7575,0.0,0.03599999999999992,0.024102288347271482,0.024102288347271482
FashionMNIST_cnn_4_independent_seeds_s0,0.7815,0.76,0.7815,0.0,0.021499999999999964,0.008708580352114909,0.008708580352114909
FashionMNIST_cnn_4_independent_seeds_s1,0.7865,0.7245,0.7865,0.0,0.061999999999999944,0.005428410175167859,0.005428410175167859
FashionMNIST_cnn_4_independent_seeds_s2,0.7635,0.7605,0.7635,0.0,0.0030000000000000027,0.006634111531417857,0.006634111531417857
FashionMNIST_cnn_4_shared_base_specialization_s0,0.784,0.7425,0.784,0.0,0.04149999999999998,0.00932863975953056,0.00932863975953056
FashionMNIST_cnn_4_shared_base_specialization_s1,0.7595,0.7315,0.7595,0.0,0.027999999999999914,0.010166712063105692,0.010166712063105692
FashionMNIST_cnn_4_shared_base_specialization_s2,0.7605,0.722,0.7605,0.0,0.03849999999999998,0.024102288347271482,0.024102288347271482
FashionMNIST_mlp_3_independent_seeds_s0,0.763,0.719,0.763,0.0,0.04400000000000004,0.015215858897743567,0.015215858897743567
FashionMNIST_mlp_3_independent_seeds_s1,0.76,0.731,0.76,0.0,0.029000000000000026,0.01428246820114206,0.01428246820114206
FashionMNIST_mlp_3_independent_seeds_s2,0.784,0.752,0.784,0.0,0.03200000000000003,0.008081587275457932,0.008081587275457932
FashionMNIST_mlp_3_shared_base_specialization_s0,0.7485,0.7155,0.7485,0.0,0.03300000000000003,0.0986185756172399,0.0986185756172399
FashionMNIST_mlp_3_shared_base_specialization_s1,0.72,0.7295,0.72,0.0,-0.009500000000000064,0.08089352198092634,0.08089352198092634
FashionMNIST_mlp_3_shared_base_specialization_s2,0.709,0.7105,0.709,0.0,-0.0015000000000000568,0.12795703484326823,0.12795703484326823
FashionMNIST_mlp_4_independent_seeds_s0,0.7715,0.7215,0.7715,0.0,0.04999999999999993,0.015215858897743567,0.015215858897743567
FashionMNIST_mlp_4_independent_seeds_s1,0.758,0.7325,0.758,0.0,0.025499999999999967,0.01428246820114206,0.01428246820114206
FashionMNIST_mlp_4_independent_seeds_s2,0.783,0.749,0.783,0.0,0.03400000000000003,0.008081587275457932,0.008081587275457932
FashionMNIST_mlp_4_shared_base_specialization_s0,0.762,0.719,0.762,0.0,0.04300000000000004,0.0986185756172399,0.0986185756172399
FashionMNIST_mlp_4_shared_base_specialization_s1,0.735,0.7365,0.735,0.0,-0.0015000000000000568,0.08089352198092634,0.08089352198092634
FashionMNIST_mlp_4_shared_base_specialization_s2,0.7345,0.7115,0.7345,0.0,0.02300000000000002,0.12795703484326823,0.12795703484326823
MNIST_cnn_3_independent_seeds_s0,0.924,0.7465,0.924,0.0,0.1775,0.005173637661172628,0.005173637661172628
MNIST_cnn_3_independent_seeds_s1,0.9145,0.7905,0.9145,0.0,0.124,0.008290144931349493,0.008290144931349493
MNIST_cnn_3_independent_seeds_s2,0.9165,0.7595,0.9165,0.0,0.15700000000000003,0.0038394851948315876,0.0038394851948315876
MNIST_cnn_3_shared_base_specialization_s0,0.933,0.7725,0.933,0.0,0.1605000000000001,0.007342439924344392,0.007342439924344392
MNIST_cnn_3_shared_base_specialization_s1,0.912,0.745,0.912,0.0,0.16700000000000004,0.009415285077488619,0.009415285077488619
MNIST_cnn_3_shared_base_specialization_s2,0.9075,0.819,0.9075,0.0,0.08850000000000002,0.014623136178292343,0.014623136178292343
MNIST_cnn_4_independent_seeds_s0,0.9265,0.748,0.9265,0.0,0.1785,0.005173637661172628,0.005173637661172628
MNIST_cnn_4_independent_seeds_s1,0.917,0.784,0.917,0.0,0.133,0.008290144931349493,0.008290144931349493
MNIST_cnn_4_independent_seeds_s2,0.915,0.7605,0.915,0.0,0.15450000000000008,0.0038394851948315876,0.0038394851948315876
MNIST_cnn_4_shared_base_specialization_s0,0.938,0.769,0.938,0.0,0.16899999999999993,0.007342439924344392,0.007342439924344392
MNIST_cnn_4_shared_base_specialization_s1,0.9165,0.743,0.9165,0.0,0.1735,0.009415285077488619,0.009415285077488619
MNIST_cnn_4_shared_base_specialization_s2,0.913,0.823,0.913,0.0,0.09000000000000008,0.014623136178292343,0.014623136178292343
MNIST_mlp_3_independent_seeds_s0,0.904,0.807,0.904,0.0,0.09699999999999998,0.007634468123373166,0.007634468123373166
MNIST_mlp_3_independent_seeds_s1,0.8895,0.8075,0.8895,0.0,0.08199999999999996,0.009516023207199228,0.009516023207199228
MNIST_mlp_3_independent_seeds_s2,0.8965,0.768,0.8965,0.0,0.12849999999999995,0.009603662639747284,0.009603662639747284
MNIST_mlp_3_shared_base_specialization_s0,0.8905,0.6625,0.8905,0.0,0.22799999999999998,0.07629188980048474,0.07629188980048474
MNIST_mlp_3_shared_base_specialization_s1,0.883,0.8115,0.883,0.0,0.07150000000000001,0.0738906836636004,0.0738906836636004
MNIST_mlp_3_shared_base_specialization_s2,0.887,0.7175,0.887,0.0,0.16949999999999998,0.08116114935030001,0.08116114935030001
MNIST_mlp_4_independent_seeds_s0,0.905,0.7975,0.905,0.0,0.10750000000000004,0.007634468123373166,0.007634468123373166
MNIST_mlp_4_independent_seeds_s1,0.8925,0.8075,0.8925,0.0,0.08499999999999996,0.009516023207199228,0.009516023207199228
MNIST_mlp_4_independent_seeds_s2,0.896,0.7695,0.896,0.0,0.12650000000000006,0.009603662639747284,0.009603662639747284
MNIST_mlp_4_shared_base_specialization_s0,0.894,0.664,0.894,0.0,0.22999999999999998,0.07629188980048474,0.07629188980048474
MNIST_mlp_4_shared_base_specialization_s1,0.8905,0.809,0.8905,0.0,0.0814999999999999,0.0738906836636004,0.0738906836636004
MNIST_mlp_4_shared_base_specialization_s2,0.8925,0.7005,0.8925,0.0,0.19199999999999995,0.08116114935030001,0.08116114935030001
