setting_id,dataset,architecture,model_count,relation,seed,selected_gauge,pairwise_heldout_alignment_error,inverse_consistency,cycle_residual,persistent_rank,calibration_resample_stable,exceeds_all_nulls,residual_after_correction,residual_reduced
MNIST_mlp_3_independent_seeds_s0,MNIST,mlp,3,independent_seeds,0,orthogonal,0.20594691733519235,3.7443940350178655e-08,0.007634468123373166,8,False,False,0.007634468123373166,False
MNIST_mlp_4_independent_seeds_s0,MNIST,mlp,4,independent_seeds,0,orthogonal,0.20847569902737936,3.7905650564581847e-08,0.007634468123373166,8,True,False,0.007634468123373166,False
MNIST_mlp_3_independent_seeds_s1,MNIST,mlp,3,independent_seeds,1,orthogonal,0.2350351189573606,3.9907653666703214e-08,0.009516023207199228,10,False,False,0.009516023207199228,False
MNIST_mlp_4_independent_seeds_s1,MNIST,mlp,4,independent_seeds,1,orthogonal,0.22281787544488907,4.085630340855696e-08,0.009516023207199228,10,False,False,0.009516023207199228,False
MNIST_mlp_3_independent_seeds_s2,MNIST,mlp,3,independent_seeds,2,orthogonal,0.16430532932281494,3.015896063461239e-08,0.009603662639747284,8,True,False,0.009603662639747284,False
MNIST_mlp_4_independent_seeds_s2,MNIST,mlp,4,independent_seeds,2,orthogonal,0.17981890216469765,3.2297059643550034e-08,0.009603662639747284,8,False,False,0.009603662639747284,False
MNIST_mlp_3_shared_base_specialization_s0,MNIST,mlp,3,shared_base_specialization,0,positive_monomial,0.3553868349611092,0.0562886351508326,0.07629188980048474,10,True,False,0.07629188980048474,False
MNIST_mlp_4_shared_base_specialization_s0,MNIST,mlp,4,shared_base_specialization,0,positive_monomial,0.29037066923377947,0.0418036195565521,0.07629188980048474,10,True,False,0.07629188980048474,False
MNIST_mlp_3_shared_base_specialization_s1,MNIST,mlp,3,shared_base_specialization,1,positive_monomial,0.2929282935175037,0.05352178841849642,0.0738906836636004,10,True,False,0.0738906836636004,False
MNIST_mlp_4_shared_base_specialization_s1,MNIST,mlp,4,shared_base_specialization,1,positive_monomial,0.26172270274623344,0.04226796394207385,0.0738906836636004,10,True,False,0.0738906836636004,False
MNIST_mlp_3_shared_base_specialization_s2,MNIST,mlp,3,shared_base_specialization,2,positive_monomial,0.3805485774246384,0.05872193212896043,0.08116114935030001,10,True,False,0.08116114935030001,False
MNIST_mlp_4_shared_base_specialization_s2,MNIST,mlp,4,shared_base_specialization,2,positive_monomial,0.31218455197181016,0.04302638915967701,0.08116114935030001,10,False,False,0.08116114935030001,False
MNIST_cnn_3_independent_seeds_s0,MNIST,cnn,3,independent_seeds,0,orthogonal,0.16971898823976517,4.5690752882137264e-08,0.005173637661172628,8,True,False,0.005173637661172628,False
MNIST_cnn_4_independent_seeds_s0,MNIST,cnn,4,independent_seeds,0,orthogonal,0.17055960868795714,4.070490249878309e-08,0.005173637661172628,8,True,False,0.005173637661172628,False
MNIST_cnn_3_independent_seeds_s1,MNIST,cnn,3,independent_seeds,1,orthogonal,0.27175798018773395,3.011133109706865e-08,0.008290144931349493,6,False,False,0.008290144931349493,False
MNIST_cnn_4_independent_seeds_s1,MNIST,cnn,4,independent_seeds,1,orthogonal,0.24064027021328607,3.5932370955092917e-08,0.008290144931349493,6,False,False,0.008290144931349493,False
MNIST_cnn_3_independent_seeds_s2,MNIST,cnn,3,independent_seeds,2,orthogonal,0.16696462780237198,3.876472210244434e-08,0.0038394851948315876,8,True,False,0.0038394851948315876,False
MNIST_cnn_4_independent_seeds_s2,MNIST,cnn,4,independent_seeds,2,orthogonal,0.17933559666077295,3.683694624446545e-08,0.0038394851948315876,8,True,False,0.0038394851948315876,False
MNIST_cnn_3_shared_base_specialization_s0,MNIST,cnn,3,shared_base_specialization,0,orthogonal,0.47157585620880127,3.7440312205488224e-08,0.007342439924344392,8,True,False,0.007342439924344392,False
MNIST_cnn_4_shared_base_specialization_s0,MNIST,cnn,4,shared_base_specialization,0,orthogonal,0.383258110533158,3.7348010075965476e-08,0.007342439924344392,8,True,False,0.007342439924344392,False
MNIST_cnn_3_shared_base_specialization_s1,MNIST,cnn,3,shared_base_specialization,1,orthogonal,0.47095324844121933,4.248927957808813e-08,0.009415285077488619,8,True,False,0.009415285077488619,False
MNIST_cnn_4_shared_base_specialization_s1,MNIST,cnn,4,shared_base_specialization,1,orthogonal,0.3819627010573943,4.22808633223361e-08,0.009415285077488619,8,True,False,0.009415285077488619,False
