method,n_seeds,mean_geodesic_error_degrees,mean_pose_accuracy_under_10deg,inference_seconds,peak_memory_mb
ensemble_reference,3,5.263306017808927,0.9416666666666668,3.115830749971792,204.71875
generic_context_conditioned_pose_model,3,7.11478038542995e-08,1.0,3.115830749971792,204.71875
generic_mixture_of_experts,3,5.263306017808927,0.9416666666666668,3.115830749971792,204.71875
parameter_matched_control,3,7.11478038542995e-08,1.0,3.115830749971792,204.71875
quaternion_sign_synchronization,3,120.0,0.0,3.115830749971792,204.71875
random_two_sheet_control,3,144.0,0.19999999999999998,3.115830749971792,204.71875
raw_model_average,3,120.0,0.0,3.115830749971792,204.71875
sign_invariant_quadratic_pooling,3,126.6046531082369,0.0,3.115830749971792,204.71875
so3_synchronization,3,128.60930849601428,0.0,3.115830749971792,204.71875
strict_sign_invariant_representation,3,126.6046531082369,0.0,3.115830749971792,204.71875
twistedmerge_central_rank2_correction,3,7.11478038542995e-08,1.0,3.115830749971792,204.71875
two_sheet_lift,3,3.435319859962212e-08,1.0,3.115830749971792,204.71875
wrong_sign_control,3,7.11478038542995e-08,1.0,3.115830749971792,204.71875
