setting_id,dataset,architecture,model_count,relation,seed,selected_gauge,pairwise_heldout_alignment_error,inverse_consistency,cycle_residual,persistent_rank,calibration_resample_stable,exceeds_all_nulls,residual_after_correction,residual_reduced
MNIST_mlp_4_shared_base_specialization_s10,MNIST,mlp,4,shared_base_specialization,10,positive_monomial,0.2606583568633537,0.03421256010676781,0.05888403541340326,10,False,False,0.05888403541340326,False
MNIST_mlp_4_shared_base_specialization_s11,MNIST,mlp,4,shared_base_specialization,11,positive_monomial,0.2902819011742552,0.04388510786630225,0.07421096026369793,10,True,False,0.07421096026369793,False
MNIST_mlp_4_shared_base_specialization_s12,MNIST,mlp,4,shared_base_specialization,12,positive_monomial,0.2723764451975366,0.038523223491154605,0.0680942321458607,10,False,False,0.0680942321458607,False
MNIST_mlp_4_shared_base_specialization_s13,MNIST,mlp,4,shared_base_specialization,13,positive_monomial,0.30884132895867317,0.04459468194349247,0.08010034016984104,10,True,False,0.08010034016984104,False
MNIST_mlp_4_shared_base_specialization_s14,MNIST,mlp,4,shared_base_specialization,14,positive_monomial,0.263026229751344,0.04572969199028478,0.07732107035519108,10,True,False,0.07732107035519108,False
MNIST_mlp_4_shared_base_specialization_s15,MNIST,mlp,4,shared_base_specialization,15,positive_monomial,0.2830697358618391,0.042451266404500636,0.06882591958251395,10,False,False,0.06882591958251395,False
MNIST_mlp_4_shared_base_specialization_s16,MNIST,mlp,4,shared_base_specialization,16,positive_monomial,0.2590086683601547,0.036614072177216246,0.06501386096098577,10,True,False,0.06501386096098577,False
FashionMNIST_mlp_4_independent_seeds_s10,FashionMNIST,mlp,4,independent_seeds,10,orthogonal,0.19944630563259125,3.620452157547874e-08,0.007546045343293409,8,False,False,0.007546045343293409,False
FashionMNIST_mlp_4_independent_seeds_s11,FashionMNIST,mlp,4,independent_seeds,11,orthogonal,0.2858780175447464,3.55013132589312e-08,0.012008157246018506,8,True,False,0.012008157246018506,False
FashionMNIST_mlp_4_independent_seeds_s12,FashionMNIST,mlp,4,independent_seeds,12,orthogonal,0.19081616525848707,3.8185276488186085e-08,0.017960097933979603,8,False,False,0.017960097933979603,False
FashionMNIST_mlp_4_independent_seeds_s13,FashionMNIST,mlp,4,independent_seeds,13,orthogonal,0.19784022867679596,3.8494707922516756e-08,0.01763492500033989,8,True,False,0.01763492500033989,False
FashionMNIST_mlp_4_independent_seeds_s14,FashionMNIST,mlp,4,independent_seeds,14,orthogonal,0.21189608300725618,3.543551420915813e-08,0.01841712521207164,8,True,False,0.01841712521207164,False
FashionMNIST_mlp_4_independent_seeds_s15,FashionMNIST,mlp,4,independent_seeds,15,orthogonal,0.1756755250195662,3.147797737637127e-08,0.016198988583688026,8,False,False,0.016198988583688026,False
FashionMNIST_mlp_4_independent_seeds_s16,FashionMNIST,mlp,4,independent_seeds,16,orthogonal,0.1819240761299928,3.684314189341604e-08,0.018074655133949243,8,True,False,0.018074655133949243,False
