setting_id,dataset,architecture,model_count,relation,seed,method,accuracy,loss,ece,merge_degradation,calibration_samples,selector_validation_samples,test_samples,training_examples_per_local_model,training_time_seconds,inference_time_seconds,trainable_parameters,stored_parameters,branch_count,peak_memory_mb,lift_activated,leakage_hash_passed,logits_sha256
MNIST_mlp_4_shared_base_specialization_s10,MNIST,mlp,4,shared_base_specialization,10,weight_average,0.881,0.39466333389282227,0.023414322167634984,-0.0020000000000000018,500,500,2000,5000,1.4186457500327379,0.056589083978906274,0,50890,1,723.59375,False,True,b8451514c9ab5816f4689174051f4068b35425db9a327deee27dbcf65b829b57
MNIST_mlp_4_shared_base_specialization_s10,MNIST,mlp,4,shared_base_specialization,10,strict_synchronization,0.8885,0.3803076926400903,0.036664230066140516,-0.009499999999999953,500,500,2000,5000,1.4186457500327379,0.056589083978906274,0,50890,1,723.59375,False,True,b8451514c9ab5816f4689174051f4068b35425db9a327deee27dbcf65b829b57
MNIST_mlp_4_shared_base_specialization_s10,MNIST,mlp,4,shared_base_specialization,10,generic_low_rank_correction,0.7735,0.6953405561393274,0.04066488324581073,0.10550000000000004,500,500,2000,5000,1.4186457500327379,0.056589083978906274,110,50890,1,723.59375,False,True,b8451514c9ab5816f4689174051f4068b35425db9a327deee27dbcf65b829b57
MNIST_mlp_4_shared_base_specialization_s10,MNIST,mlp,4,shared_base_specialization,10,twistedmerge_hodge_lr,0.8885,0.3803076926400903,0.036664230066140516,-0.009499999999999953,500,500,2000,5000,1.4186457500327379,0.056589083978906274,110,50890,1,723.59375,False,True,b8451514c9ab5816f4689174051f4068b35425db9a327deee27dbcf65b829b57
MNIST_mlp_4_shared_base_specialization_s10,MNIST,mlp,4,shared_base_specialization,10,ensemble_reference,0.879,0.3971509337425232,0.025953389748930897,0.0,500,500,2000,5000,1.4186457500327379,0.056589083978906274,0,203560,4,723.59375,False,True,b8451514c9ab5816f4689174051f4068b35425db9a327deee27dbcf65b829b57
MNIST_mlp_4_shared_base_specialization_s11,MNIST,mlp,4,shared_base_specialization,11,weight_average,0.899,0.32252106070518494,0.027482292726635896,-0.000500000000000056,500,500,2000,5000,1.2691620832774788,0.04295179108157754,0,50890,1,723.59375,False,True,8d77115d7ead29aa0b2e2c8e66cfa8b240e00300fba56a18c8c9d5fc7e5a4be7
MNIST_mlp_4_shared_base_specialization_s11,MNIST,mlp,4,shared_base_specialization,11,strict_synchronization,0.902,0.3247317910180399,0.049702436221763735,-0.0035000000000000586,500,500,2000,5000,1.2691620832774788,0.04295179108157754,0,50890,1,723.59375,False,True,8d77115d7ead29aa0b2e2c8e66cfa8b240e00300fba56a18c8c9d5fc7e5a4be7
MNIST_mlp_4_shared_base_specialization_s11,MNIST,mlp,4,shared_base_specialization,11,generic_low_rank_correction,0.79,0.7377317182885046,0.10515710346179837,0.10849999999999993,500,500,2000,5000,1.2691620832774788,0.04295179108157754,110,50890,1,723.59375,False,True,8d77115d7ead29aa0b2e2c8e66cfa8b240e00300fba56a18c8c9d5fc7e5a4be7
MNIST_mlp_4_shared_base_specialization_s11,MNIST,mlp,4,shared_base_specialization,11,twistedmerge_hodge_lr,0.902,0.3247317910180399,0.049702436221763735,-0.0035000000000000586,500,500,2000,5000,1.2691620832774788,0.04295179108157754,110,50890,1,723.59375,False,True,8d77115d7ead29aa0b2e2c8e66cfa8b240e00300fba56a18c8c9d5fc7e5a4be7
MNIST_mlp_4_shared_base_specialization_s11,MNIST,mlp,4,shared_base_specialization,11,ensemble_reference,0.8985,0.3249945640563965,0.021383685767650613,0.0,500,500,2000,5000,1.2691620832774788,0.04295179108157754,0,203560,4,723.59375,False,True,8d77115d7ead29aa0b2e2c8e66cfa8b240e00300fba56a18c8c9d5fc7e5a4be7
