branch_count,batch_size,latency_ms,stored_parameters,inference_multiplier,peak_memory_mb,measured
1,1,0.006500165909528732,8192,1,89.921875,True
1,8,0.013625016435980797,8192,1,89.921875,True
1,32,0.04041707143187523,8192,1,89.984375,True
1,128,0.1484157983213663,8192,1,90.046875,True
2,1,0.0066659413278102875,16384,2,90.046875,True
2,8,0.027125002816319466,16384,2,90.046875,True
2,32,0.09462493471801281,16384,2,90.046875,True
2,128,0.36562513560056686,16384,2,90.046875,True
4,1,0.033041927963495255,32768,4,90.046875,True
4,8,0.058999983593821526,32768,4,90.046875,True
4,32,0.1902088988572359,32768,4,90.046875,True
4,128,0.7210830226540565,32768,4,90.046875,True
8,1,0.013875076547265053,65536,8,90.546875,True
8,8,0.0951660331338644,65536,8,90.546875,True
8,32,0.36470801569521427,65536,8,90.546875,True
8,128,1.4557908289134502,65536,8,90.546875,True
16,1,0.022540800273418427,131072,16,91.546875,True
16,8,0.18137507140636444,131072,16,91.546875,True
16,32,0.7188329473137856,131072,16,91.671875,True
16,128,2.8515830636024475,131072,16,91.6875,True
