method,accuracy,worst_domain_accuracy,interference,trainable_parameters,stored_parameters,branch_count
dare,0.6453125,0.475,0.3546875,198530.0,4386178.0,1.0
ensemble_reference,0.646875,0.475,0.353125,20.0,17544712.0,4.0
generic_low_rank_merge,0.646875,0.475,0.353125,198530.0,4386178.0,1.0
generic_router,0.6328125,0.4875,0.3671875,20.0,4386178.0,4.0
greedy_soup,0.6296875,0.4875,0.3703125,198530.0,4386178.0,1.0
slerp,0.646875,0.475,0.353125,198530.0,4386178.0,1.0
structured_router,0.6328125,0.4875,0.3671875,20.0,4386178.0,4.0
task_arithmetic,0.646875,0.475,0.353125,198530.0,4386178.0,1.0
ties,0.646875,0.475,0.353125,198530.0,4386178.0,1.0
twistedmerge_hodge_lr,0.646875,0.475,0.353125,198530.0,4386178.0,1.0
twistedmerge_selector,0.646875,0.475,0.353125,198530.0,4386178.0,1.0
weight_average,0.646875,0.475,0.353125,198530.0,4386178.0,1.0
