setting_id,seed,method,accuracy,loss,ece,mean_task_accuracy,worst_task_accuracy,interference,trainable_parameters,stored_parameters,branch_count,latency_ms,peak_memory_mb,calibration_samples,selector_validation_samples,candidate_count,hodge_selected,leakage_hash_passed,logits_sha256
cifar10_resnet18_s0,0,weight_average,0.3275,2.3365986347198486,0.29209709905833003,0.32677582037574027,0.23387096774193547,0.1894150699505851,0,11191262,1,638.4628750383854,915.5,0,0,1,False,True,92982abd72002542c01b28ed268393a63a12d980ed3b6e33944ae41c77e0deba
cifar10_resnet18_s0,0,greedy_soup,0.4545,1.521625280380249,0.07253723754733804,0.45439418046932184,0.43667679837892603,0.06179670985700349,0,11191262,1,848.1107919942588,915.5,0,1000,1,False,True,92982abd72002542c01b28ed268393a63a12d980ed3b6e33944ae41c77e0deba
cifar10_resnet18_s0,0,c2m3_identity_synchronization,0.3275,2.3365986347198486,0.29209709905833003,0.32677582037574027,0.23387096774193547,0.1894150699505851,0,11191262,1,1087.864208035171,915.5,0,0,1,False,True,92982abd72002542c01b28ed268393a63a12d980ed3b6e33944ae41c77e0deba
cifar10_resnet18_s0,0,task_arithmetic,0.3275,2.3365986347198486,0.29209709905833003,0.32677582037574027,0.23387096774193547,0.1894150699505851,0,11191262,1,1008.5340831428766,915.5,0,0,1,False,True,92982abd72002542c01b28ed268393a63a12d980ed3b6e33944ae41c77e0deba
cifar10_resnet18_s0,0,ties,0.364,2.2396655082702637,0.26350903108716006,0.36333833411798205,0.26814516129032256,0.15285255620834332,0,11191262,1,800.4037500359118,915.5,0,0,1,False,True,92982abd72002542c01b28ed268393a63a12d980ed3b6e33944ae41c77e0deba
cifar10_resnet18_s0,0,dare,0.2,2.5643622875213623,0.24562016972899436,0.1998392368767311,0.11507936507936507,0.31635165344959426,0,11191262,1,723.9574999548495,915.5,0,0,1,False,True,92982abd72002542c01b28ed268393a63a12d980ed3b6e33944ae41c77e0deba
cifar10_resnet18_s0,0,generic_low_rank_merge,0.3275,2.3396215438842773,0.29234993763267997,0.32677582037574027,0.23387096774193547,0.1894150699505851,0,11191262,1,682.1057919878513,915.5,0,0,1,False,True,92982abd72002542c01b28ed268393a63a12d980ed3b6e33944ae41c77e0deba
cifar10_resnet18_s0,0,generic_router,0.516,1.3835769759774879,0.07386095811343657,0.5159440986185267,0.49848024316109424,0.0002467917077986215,44,44765048,4,4738.782833330333,915.5,0,0,1,False,True,92982abd72002542c01b28ed268393a63a12d980ed3b6e33944ae41c77e0deba
cifar10_resnet18_s0,0,twistedmerge_exact_gauge_selector,0.4545,1.521625280380249,0.07253723754733804,0.45439418046932184,0.43667679837892603,0.06179670985700349,0,11191262,1,848.1107919942588,915.5,0,1000,5,False,True,92982abd72002542c01b28ed268393a63a12d980ed3b6e33944ae41c77e0deba
cifar10_resnet18_s0,0,twistedmerge_hodge_lr,0.3275,2.3365986347198486,0.29209709905833003,0.32677582037574027,0.23387096774193547,0.1894150699505851,0,11191262,1,638.4628750383854,915.5,0,0,1,False,True,92982abd72002542c01b28ed268393a63a12d980ed3b6e33944ae41c77e0deba
cifar10_resnet18_s0,0,ensemble_reference,0.5065,1.4203635454177856,0.09386401138454675,0.5063847308172231,0.47821681864235055,0.009806159509102214,0,44765048,4,4738.782833330333,915.5,0,0,1,False,True,92982abd72002542c01b28ed268393a63a12d980ed3b6e33944ae41c77e0deba
cifar10_resnet18_s1,1,weight_average,0.3175,2.292466640472412,0.28699216751754286,0.3167536525030257,0.2217741935483871,0.21208793778756135,0,11191262,1,490.68112508393824,915.5,0,0,1,False,True,89991df9de839a6ed443d589de1edc37ca45780de4499cea9bf0b7ff2a90fe93
cifar10_resnet18_s1,1,greedy_soup,0.4565,1.5356460809707642,0.07910898984968662,0.4563244008297886,0.4265450861195542,0.07251718946079842,0,11191262,1,498.58575011603534,915.5,0,1000,1,False,True,89991df9de839a6ed443d589de1edc37ca45780de4499cea9bf0b7ff2a90fe93
cifar10_resnet18_s1,1,c2m3_identity_synchronization,0.3175,2.292466640472412,0.28699216751754286,0.3167536525030257,0.2217741935483871,0.21208793778756135,0,11191262,1,502.11337488144636,915.5,0,0,1,False,True,89991df9de839a6ed443d589de1edc37ca45780de4499cea9bf0b7ff2a90fe93
cifar10_resnet18_s1,1,task_arithmetic,0.3175,2.292466640472412,0.28699216751754286,0.3167536525030257,0.2217741935483871,0.21208793778756135,0,11191262,1,516.0403749905527,915.5,0,0,1,False,True,89991df9de839a6ed443d589de1edc37ca45780de4499cea9bf0b7ff2a90fe93
cifar10_resnet18_s1,1,ties,0.346,2.284170389175415,0.28686764325201514,0.34509919298337227,0.2590725806451613,0.18374239730721478,0,11191262,1,537.2968749143183,915.5,0,0,1,False,True,89991df9de839a6ed443d589de1edc37ca45780de4499cea9bf0b7ff2a90fe93
cifar10_resnet18_s1,1,dare,0.163,2.706446647644043,0.23333037129789588,0.1629659819431527,0.15501519756838905,0.3658756083474344,0,11191262,1,522.6132499519736,915.5,0,0,1,False,True,89991df9de839a6ed443d589de1edc37ca45780de4499cea9bf0b7ff2a90fe93
cifar10_resnet18_s1,1,generic_low_rank_merge,0.318,2.292830467224121,0.2865060709416866,0.31725246033985655,0.22278225806451613,0.21158912995073048,0,11191262,1,539.3758330028504,915.5,0,0,1,False,True,89991df9de839a6ed443d589de1edc37ca45780de4499cea9bf0b7ff2a90fe93
