method,accuracy,worst_task_accuracy,interference,latency_ms,stored_parameters
c2m3_identity_synchronization,0.319,0.22379032258064516,0.20610983802297533,502.11337488144636,11191262.0
dare,0.18100000000000002,0.12396969292559545,0.34360803828445574,522.6132499519736,11191262.0
ensemble_reference,0.5133333333333333,0.4761904761904762,0.011239654597953216,4107.987374300137,44765048.0
generic_low_rank_merge,0.31916666666666665,0.2241263440860215,0.20594356874403172,539.3758330028504,11191262.0
generic_router,0.5243333333333333,0.4978047956771361,0.00016452780519908097,4107.987374300137,44765048.0
greedy_soup,0.4523333333333333,0.4211415062478892,0.07226475869516034,498.58575011603534,11191262.0
task_arithmetic,0.319,0.22379032258064516,0.20610983802297533,516.0403749905527,11191262.0
ties,0.3486666666666667,0.25638440860215056,0.1764875572439484,537.2968749143183,11191262.0
twistedmerge_exact_gauge_selector,0.4523333333333333,0.4211415062478892,0.07226475869516034,498.58575011603534,11191262.0
twistedmerge_hodge_lr,0.319,0.22379032258064516,0.20610983802297533,490.68112508393824,11191262.0
weight_average,0.319,0.22379032258064516,0.20610983802297533,490.68112508393824,11191262.0
