evidence_label,mode,metric,left_method,right_method,n_independent_seeds,mean_delta,median_delta,standard_deviation,ci_low,ci_high,wins,ties,losses
natural_measured,smoke,ordinary_test_accuracy,orbit_branch_invariant_pooling,generic_mixture_of_experts,1,0.0390625,0.0390625,0.0,0.0390625,0.0390625,1,0,0
natural_measured,smoke,ordinary_test_accuracy,orbit_branch_invariant_pooling,d4_test_time_augmentation,1,0.078125,0.078125,0.0,0.078125,0.078125,1,0,0
natural_measured,smoke,ordinary_test_accuracy,orbit_branch_invariant_pooling,random_branch_count_matched_control,1,-0.0078125,-0.0078125,0.0,-0.0078125,-0.0078125,0,0,1
natural_measured,smoke,ordinary_test_accuracy,orbit_branch_invariant_pooling,parameter_matched_generic_concat_head,1,-0.203125,-0.203125,0.0,-0.203125,-0.203125,0,0,1
natural_measured,smoke,ordinary_test_accuracy,regular_d4_branch_invariant_pooling,random_branch_count_matched_control,1,0.0,0.0,0.0,0.0,0.0,0,1,0
natural_measured,smoke,ordinary_test_accuracy,global_c2m3_synchronization,raw_parameter_average,1,0.25,0.25,0.0,0.25,0.25,1,0,0
natural_measured,smoke,average_view_accuracy,orbit_branch_invariant_pooling,generic_mixture_of_experts,1,0.041015625,0.041015625,0.0,0.041015625,0.041015625,1,0,0
natural_measured,smoke,average_view_accuracy,orbit_branch_invariant_pooling,d4_test_time_augmentation,1,0.078125,0.078125,0.0,0.078125,0.078125,1,0,0
natural_measured,smoke,average_view_accuracy,orbit_branch_invariant_pooling,random_branch_count_matched_control,1,0.02734375,0.02734375,0.0,0.02734375,0.02734375,1,0,0
natural_measured,smoke,average_view_accuracy,orbit_branch_invariant_pooling,parameter_matched_generic_concat_head,1,-0.169921875,-0.169921875,0.0,-0.169921875,-0.169921875,0,0,1
natural_measured,smoke,average_view_accuracy,regular_d4_branch_invariant_pooling,random_branch_count_matched_control,1,0.01171875,0.01171875,0.0,0.01171875,0.01171875,1,0,0
natural_measured,smoke,average_view_accuracy,global_c2m3_synchronization,raw_parameter_average,1,0.248046875,0.248046875,0.0,0.248046875,0.248046875,1,0,0
natural_measured,smoke,worst_view_accuracy,orbit_branch_invariant_pooling,generic_mixture_of_experts,1,0.0703125,0.0703125,0.0,0.0703125,0.0703125,1,0,0
natural_measured,smoke,worst_view_accuracy,orbit_branch_invariant_pooling,d4_test_time_augmentation,1,0.078125,0.078125,0.0,0.078125,0.078125,1,0,0
natural_measured,smoke,worst_view_accuracy,orbit_branch_invariant_pooling,random_branch_count_matched_control,1,0.0625,0.0625,0.0,0.0625,0.0625,1,0,0
natural_measured,smoke,worst_view_accuracy,orbit_branch_invariant_pooling,parameter_matched_generic_concat_head,1,-0.1171875,-0.1171875,0.0,-0.1171875,-0.1171875,0,0,1
natural_measured,smoke,worst_view_accuracy,regular_d4_branch_invariant_pooling,random_branch_count_matched_control,1,-0.0078125,-0.0078125,0.0,-0.0078125,-0.0078125,0,0,1
natural_measured,smoke,worst_view_accuracy,global_c2m3_synchronization,raw_parameter_average,1,0.2265625,0.2265625,0.0,0.2265625,0.2265625,1,0,0
