method,mean_accuracy,mean_average_view_accuracy,mean_worst_view_accuracy,standard_deviation,mean_ece,mean_consistency
global_c2m3_synchronization,0.4609375,0.4208984375,0.375,,0.06036836816929281,0.7109375
parameter_matched_generic_concat_head,0.40625,0.373046875,0.3203125,,0.4067905340343714,0.6728515625
oracle_chart_aware_fusion,0.21875,0.1259765625,0.0703125,,0.08531866874545813,0.3125
prediction_ensemble_upper_bound,0.21875,0.21875,0.21875,,0.08531866921111941,1.0
random_branch_count_matched_control,0.2109375,0.17578125,0.140625,,0.08456417918205261,0.5703125
raw_parameter_average,0.2109375,0.1728515625,0.1484375,,0.08474770188331604,0.560546875
regular_d4_branch_invariant_pooling,0.2109375,0.1875,0.1328125,,0.08456417918205261,0.5869140625
wrong_group_action_control,0.2109375,0.181640625,0.140625,,0.08456417918205261,0.57421875
wrong_multiplication_order_control,0.2109375,0.1708984375,0.109375,,0.08456417918205261,0.5625
graph_synchronized_adapter_merge,0.203125,0.1728515625,0.15625,,0.07684910297393799,0.5634765625
learned_router,0.203125,0.1904296875,0.140625,,0.06515274033881724,0.5869140625
orbit_branch_invariant_pooling,0.203125,0.203125,0.203125,,0.07684910297393799,1.0
generic_mixture_of_experts,0.1640625,0.162109375,0.1328125,,0.037364228744991124,0.5517578125
pairwise_reference_alignment,0.1484375,0.16015625,0.1171875,,0.030562759609892964,0.5556640625
best_individual_adapter,0.125,0.107421875,0.0859375,,0.04182143043726683,0.5400390625
d4_test_time_augmentation,0.125,0.125,0.125,,0.041821458376944065,1.0
