method,mean_accuracy,mean_average_view_accuracy,mean_worst_view_accuracy,standard_deviation,mean_ece,mean_consistency
oracle_chart_aware_fusion,0.6886000037193298,0.6063749998807907,0.557200014591217,0.00350713971660299,0.06678813375037862,0.7522500038146973
prediction_ensemble_upper_bound,0.6886000037193298,0.6886000037193298,0.6886000037193298,0.00350713971660299,0.06678813542675925,1.0
parameter_matched_generic_concat_head,0.6462000131607055,0.5821499988436699,0.5447999954223632,0.0032710897981445145,0.046246861846884715,0.7725750088691712
global_c2m3_synchronization,0.6436000108718872,0.584025003015995,0.5462000012397766,0.0030495968052566182,0.0493951512806234,0.7735249996185303
learned_router,0.6296000123023987,0.5760749995708465,0.5336000084877014,0.002073641870339883,0.046724148937209976,0.7738500118255616
generic_mixture_of_experts,0.6290000081062317,0.5717250019311905,0.5297999978065491,0.0007070976774672692,0.02448745686779148,0.7681749939918519
best_individual_adapter,0.6234000086784363,0.5438250005245209,0.4809999942779541,0.003361550085673036,0.05653034517017659,0.7277749896049499
d4_test_time_augmentation,0.6234000086784363,0.6234000086784363,0.6234000086784363,0.003361550085673036,0.0565303534414852,1.0
random_branch_count_matched_control,0.6192000031471252,0.6173250034451485,0.5922000050544739,0.0031144670820376407,0.05776751133962534,0.9272249937057495
regular_d4_branch_invariant_pooling,0.6192000031471252,0.6062000006437301,0.5618000030517578,0.0031144670820376407,0.057767511723795906,0.874275004863739
wrong_group_action_control,0.6192000031471252,0.6049000039696694,0.5616000056266784,0.0031144670820376407,0.057767510745907205,0.873075008392334
wrong_multiplication_order_control,0.6192000031471252,0.6043750047683716,0.5582000136375427,0.0031144670820376407,0.05776751170051284,0.8655500173568725
graph_synchronized_adapter_merge,0.6130000114440918,0.5598750010132789,0.5202000141143799,0.003937006238228692,0.06518212480877991,0.7680749893188477
orbit_branch_invariant_pooling,0.6130000114440918,0.614624997973442,0.5995999932289123,0.003937006238228692,0.0651821271807421,0.9563999891281127
raw_parameter_average,0.6090000033378601,0.5443500027060508,0.5060000061988831,0.006964194344008362,0.1489941036561504,0.7563000082969665
pairwise_reference_alignment,0.5825999975204468,0.48547499999403954,0.4050000011920929,0.004669062218765536,0.034355194726958874,0.6703999996185303
