evidence_label,mode,corpus_seed,transition_method,feature_dimension,directed_edges,triangles,tetrahedra,bootstrap_samples,new_trainable_parameters,new_adapter_training,test_labels_accessed
natural_measured,confirmatory,0,weight_based,64,56,56,70,20,0,False,False
natural_measured,confirmatory,0,activation_procrustes,64,56,56,70,20,0,False,False
natural_measured,confirmatory,0,low_rank_subspace,64,56,56,70,20,0,False,False
natural_measured,confirmatory,0,joint_weight_activation,64,56,56,70,20,0,False,False
natural_measured,confirmatory,1,weight_based,64,56,56,70,20,0,False,False
natural_measured,confirmatory,1,activation_procrustes,64,56,56,70,20,0,False,False
natural_measured,confirmatory,1,low_rank_subspace,64,56,56,70,20,0,False,False
natural_measured,confirmatory,1,joint_weight_activation,64,56,56,70,20,0,False,False
natural_measured,confirmatory,2,weight_based,64,56,56,70,20,0,False,False
natural_measured,confirmatory,2,activation_procrustes,64,56,56,70,20,0,False,False
natural_measured,confirmatory,2,low_rank_subspace,64,56,56,70,20,0,False,False
natural_measured,confirmatory,2,joint_weight_activation,64,56,56,70,20,0,False,False
natural_measured,confirmatory,3,weight_based,64,56,56,70,20,0,False,False
natural_measured,confirmatory,3,activation_procrustes,64,56,56,70,20,0,False,False
natural_measured,confirmatory,3,low_rank_subspace,64,56,56,70,20,0,False,False
natural_measured,confirmatory,3,joint_weight_activation,64,56,56,70,20,0,False,False
natural_measured,confirmatory,4,weight_based,64,56,56,70,20,0,False,False
natural_measured,confirmatory,4,activation_procrustes,64,56,56,70,20,0,False,False
natural_measured,confirmatory,4,low_rank_subspace,64,56,56,70,20,0,False,False
natural_measured,confirmatory,4,joint_weight_activation,64,56,56,70,20,0,False,False
