evidence_label,corpus_seed,transition_method,normalized_coboundary_residual,edge_rephasings_json
natural_measured,0,weight_based,0.0,"{""0-1"": 0.0, ""0-2"": 0.0, ""0-3"": 0.0, ""0-4"": 0.0, ""0-5"": 0.0, ""0-6"": 0.0, ""0-7"": 0.0, ""1-2"": 0.0, ""1-3"": 0.0, ""1-4"": 0.0, ""1-5"": 0.0, ""1-6"": 0.0, ""1-7"": 0.0, ""2-3"": 0.0, ""2-4"": 0.0, ""2-5"": 0.0, ""2-6"": 0.0, ""2-7"": 0.0, ""3-4"": 0.0, ""3-5"": 0.0, ""3-6"": 0.0, ""3-7"": 0.0, ""4-5"": 0.0, ""4-6"": 0.0, ""4-7"": 0.0, ""5-6"": 0.0, ""5-7"": 0.0, ""6-7"": 0.0}"
natural_measured,0,activation_procrustes,0.0,"{""0-1"": 0.0, ""0-2"": 0.0, ""0-3"": 0.0, ""0-4"": 0.0, ""0-5"": 0.0, ""0-6"": 0.0, ""0-7"": 0.0, ""1-2"": 0.0, ""1-3"": 0.0, ""1-4"": 0.0, ""1-5"": 0.0, ""1-6"": 0.0, ""1-7"": 0.0, ""2-3"": 0.0, ""2-4"": 0.0, ""2-5"": 0.0, ""2-6"": 0.0, ""2-7"": 0.0, ""3-4"": 0.0, ""3-5"": 0.0, ""3-6"": 0.0, ""3-7"": 0.0, ""4-5"": 0.0, ""4-6"": 0.0, ""4-7"": 0.0, ""5-6"": 0.0, ""5-7"": 0.0, ""6-7"": 0.0}"
natural_measured,0,low_rank_subspace,0.0,"{""0-1"": 0.0, ""0-2"": 0.0, ""0-3"": 0.0, ""0-4"": 0.0, ""0-5"": 0.0, ""0-6"": 0.0, ""0-7"": 0.0, ""1-2"": 0.0, ""1-3"": 0.0, ""1-4"": 0.0, ""1-5"": 0.0, ""1-6"": 0.0, ""1-7"": 0.0, ""2-3"": 0.0, ""2-4"": 0.0, ""2-5"": 0.0, ""2-6"": 0.0, ""2-7"": 0.0, ""3-4"": 0.0, ""3-5"": 0.0, ""3-6"": 0.0, ""3-7"": 0.0, ""4-5"": 0.0, ""4-6"": 0.0, ""4-7"": 0.0, ""5-6"": 0.0, ""5-7"": 0.0, ""6-7"": 0.0}"
natural_measured,0,joint_weight_activation,0.0,"{""0-1"": 0.0, ""0-2"": 0.0, ""0-3"": 0.0, ""0-4"": 0.0, ""0-5"": 0.0, ""0-6"": 0.0, ""0-7"": 0.0, ""1-2"": 0.0, ""1-3"": 0.0, ""1-4"": 0.0, ""1-5"": 0.0, ""1-6"": 0.0, ""1-7"": 0.0, ""2-3"": 0.0, ""2-4"": 0.0, ""2-5"": 0.0, ""2-6"": 0.0, ""2-7"": 0.0, ""3-4"": 0.0, ""3-5"": 0.0, ""3-6"": 0.0, ""3-7"": 0.0, ""4-5"": 0.0, ""4-6"": 0.0, ""4-7"": 0.0, ""5-6"": 0.0, ""5-7"": 0.0, ""6-7"": 0.0}"
natural_measured,1,weight_based,0.0,"{""0-1"": 0.0, ""0-2"": 0.0, ""0-3"": 0.0, ""0-4"": 0.0, ""0-5"": 0.0, ""0-6"": 0.0, ""0-7"": 0.0, ""1-2"": 0.0, ""1-3"": 0.0, ""1-4"": 0.0, ""1-5"": 0.0, ""1-6"": 0.0, ""1-7"": 0.0, ""2-3"": 0.0, ""2-4"": 0.0, ""2-5"": 0.0, ""2-6"": 0.0, ""2-7"": 0.0, ""3-4"": 0.0, ""3-5"": 0.0, ""3-6"": 0.0, ""3-7"": 0.0, ""4-5"": 0.0, ""4-6"": 0.0, ""4-7"": 0.0, ""5-6"": 0.0, ""5-7"": 0.0, ""6-7"": 0.0}"
natural_measured,1,activation_procrustes,0.0,"{""0-1"": 0.0, ""0-2"": 0.0, ""0-3"": 0.0, ""0-4"": 0.0, ""0-5"": 0.0, ""0-6"": 0.0, ""0-7"": 0.0, ""1-2"": 0.0, ""1-3"": 0.0, ""1-4"": 0.0, ""1-5"": 0.0, ""1-6"": 0.0, ""1-7"": 0.0, ""2-3"": 0.0, ""2-4"": 0.0, ""2-5"": 0.0, ""2-6"": 0.0, ""2-7"": 0.0, ""3-4"": 0.0, ""3-5"": 0.0, ""3-6"": 0.0, ""3-7"": 0.0, ""4-5"": 0.0, ""4-6"": 0.0, ""4-7"": 0.0, ""5-6"": 0.0, ""5-7"": 0.0, ""6-7"": 0.0}"
natural_measured,1,low_rank_subspace,0.0,"{""0-1"": 0.0, ""0-2"": 0.0, ""0-3"": 0.0, ""0-4"": 0.0, ""0-5"": 0.0, ""0-6"": 0.0, ""0-7"": 0.0, ""1-2"": 0.0, ""1-3"": 0.0, ""1-4"": 0.0, ""1-5"": 0.0, ""1-6"": 0.0, ""1-7"": 0.0, ""2-3"": 0.0, ""2-4"": 0.0, ""2-5"": 0.0, ""2-6"": 0.0, ""2-7"": 0.0, ""3-4"": 0.0, ""3-5"": 0.0, ""3-6"": 0.0, ""3-7"": 0.0, ""4-5"": 0.0, ""4-6"": 0.0, ""4-7"": 0.0, ""5-6"": 0.0, ""5-7"": 0.0, ""6-7"": 0.0}"
natural_measured,1,joint_weight_activation,0.0,"{""0-1"": 0.0, ""0-2"": 0.0, ""0-3"": 0.0, ""0-4"": 0.0, ""0-5"": 0.0, ""0-6"": 0.0, ""0-7"": 0.0, ""1-2"": 0.0, ""1-3"": 0.0, ""1-4"": 0.0, ""1-5"": 0.0, ""1-6"": 0.0, ""1-7"": 0.0, ""2-3"": 0.0, ""2-4"": 0.0, ""2-5"": 0.0, ""2-6"": 0.0, ""2-7"": 0.0, ""3-4"": 0.0, ""3-5"": 0.0, ""3-6"": 0.0, ""3-7"": 0.0, ""4-5"": 0.0, ""4-6"": 0.0, ""4-7"": 0.0, ""5-6"": 0.0, ""5-7"": 0.0, ""6-7"": 0.0}"
natural_measured,2,weight_based,0.0,"{""0-1"": 0.0, ""0-2"": 0.0, ""0-3"": 0.0, ""0-4"": 0.0, ""0-5"": 0.0, ""0-6"": 0.0, ""0-7"": 0.0, ""1-2"": 0.0, ""1-3"": 0.0, ""1-4"": 0.0, ""1-5"": 0.0, ""1-6"": 0.0, ""1-7"": 0.0, ""2-3"": 0.0, ""2-4"": 0.0, ""2-5"": 0.0, ""2-6"": 0.0, ""2-7"": 0.0, ""3-4"": 0.0, ""3-5"": 0.0, ""3-6"": 0.0, ""3-7"": 0.0, ""4-5"": 0.0, ""4-6"": 0.0, ""4-7"": 0.0, ""5-6"": 0.0, ""5-7"": 0.0, ""6-7"": 0.0}"
natural_measured,2,activation_procrustes,0.0,"{""0-1"": 0.0, ""0-2"": 0.0, ""0-3"": 0.0, ""0-4"": 0.0, ""0-5"": 0.0, ""0-6"": 0.0, ""0-7"": 0.0, ""1-2"": 0.0, ""1-3"": 0.0, ""1-4"": 0.0, ""1-5"": 0.0, ""1-6"": 0.0, ""1-7"": 0.0, ""2-3"": 0.0, ""2-4"": 0.0, ""2-5"": 0.0, ""2-6"": 0.0, ""2-7"": 0.0, ""3-4"": 0.0, ""3-5"": 0.0, ""3-6"": 0.0, ""3-7"": 0.0, ""4-5"": 0.0, ""4-6"": 0.0, ""4-7"": 0.0, ""5-6"": 0.0, ""5-7"": 0.0, ""6-7"": 0.0}"
