evidence_label,corpus_seed,transition_method,triangle,centrality_before,centrality_after,scalar_real_before,scalar_real_after,gauge_invariance_delta
natural_measured,0,weight_based,0-1-2,1.0043965595665911e-06,1.4501696032200942e-06,1.0000000586733222,1.00000009406358,4.4577304365350305e-07
natural_measured,0,weight_based,0-1-3,1.0001645887422036e-06,1.435375455854565e-06,0.9999999832361937,1.0000000251457095,4.352108671123615e-07
natural_measured,0,weight_based,0-1-4,1.0278732361981384e-06,1.4542008410428912e-06,1.0000000419095159,0.9999999785795808,4.2632760484475276e-07
natural_measured,0,weight_based,0-1-5,1.027049545903689e-06,1.4793670781055634e-06,0.9999999301508069,0.9999999022111297,4.523175322018744e-07
natural_measured,0,weight_based,0-1-6,1.0005245733465503e-06,1.443065975184678e-06,1.0000000251457095,1.0000000596046448,4.425414018381278e-07
natural_measured,0,weight_based,0-1-7,9.80592753693143e-07,1.4329760488001584e-06,1.0000000214204192,1.0000000894069672,4.523832951070154e-07
natural_measured,0,weight_based,0-2-3,9.632612340017162e-07,1.4221892024348402e-06,0.9999999739229679,1.0000000735744834,4.589279684331239e-07
natural_measured,0,weight_based,0-2-4,9.999147386752871e-07,1.4606879642525554e-06,1.000000063329935,1.0000000642612576,4.6077322557726827e-07
natural_measured,0,weight_based,0-2-5,9.703025849625933e-07,1.4411662915484679e-06,1.000000026077032,1.0000000465661287,4.7086370658587455e-07
natural_measured,0,weight_based,0-2-6,9.77332159426424e-07,1.4285672948110784e-06,1.0000000605359674,1.0000001275911927,4.512351353846545e-07
natural_measured,0,weight_based,0-2-7,9.601336370402964e-07,1.4400373932823212e-06,1.0000000651925802,1.0000001350417733,4.799037562420248e-07
natural_measured,0,weight_based,0-3-4,1.0200060564603013e-06,1.4468429968445272e-06,0.9999999096617103,0.9999999506399035,4.2683694038422584e-07
natural_measured,0,weight_based,0-3-5,9.63095544456815e-07,1.4282505192696582e-06,0.9999998807907104,0.9999999105930328,4.6515497481284325e-07
natural_measured,0,weight_based,0-3-6,9.738693382842868e-07,1.4243270700417564e-06,0.9999999608844519,1.0000000428408384,4.5045773175746964e-07
natural_measured,0,weight_based,0-3-7,9.667870203100862e-07,1.4199874796388602e-06,0.9999999171122909,1.0000000009313226,4.5320045932877396e-07
natural_measured,0,weight_based,0-4-5,1.0404813435606221e-06,1.467491021784283e-06,0.9999998873099685,0.9999998658895493,4.270096782236608e-07
natural_measured,0,weight_based,0-4-6,1.0018011518644453e-06,1.4371130438286413e-06,0.999999969266355,1.0000000279396772,4.3531189196419595e-07
natural_measured,0,weight_based,0-4-7,1.0166747753066454e-06,1.4389290475163633e-06,0.9999999897554517,1.0000000409781933,4.2225427220971784e-07
natural_measured,0,weight_based,0-5-6,9.976261752228497e-07,1.4501411288286345e-06,0.9999999357387424,0.9999999916180968,4.525149536057849e-07
natural_measured,0,weight_based,0-5-7,9.812636316200767e-07,1.4571600169966476e-06,1.0000000018626451,0.9999999953433871,4.758963853765708e-07
