outcome,feature_set,mean_predicted_probability,observed_positive_fraction
ordinary_fusion_harmful,pairwise_residual_only,0.3703873885229983,0.4583333333333333
ordinary_fusion_harmful,pairwise_residual_only,0.47814785547853406,0.5401785714285714
ordinary_fusion_harmful,pairwise_residual_only,0.5088989911767811,0.553921568627451
ordinary_fusion_harmful,parameter_distance_only,0.4903673161510051,0.5348837209302325
ordinary_fusion_harmful,parameter_distance_only,0.5168646516355729,0.5505952380952381
ordinary_fusion_harmful,prediction_disagreement_only,0.05216408372175029,0.8837209302325582
ordinary_fusion_harmful,prediction_disagreement_only,0.17169209807191194,1.0
ordinary_fusion_harmful,prediction_disagreement_only,0.2323752144799959,0.8
ordinary_fusion_harmful,prediction_disagreement_only,0.3773434562735552,0.09230769230769231
ordinary_fusion_harmful,prediction_disagreement_only,0.41025702793298846,0.24074074074074073
ordinary_fusion_harmful,prediction_disagreement_only,0.54673269955628,0.45454545454545453
ordinary_fusion_harmful,prediction_disagreement_only,0.6567521007242559,1.0
ordinary_fusion_harmful,prediction_disagreement_only,0.7667263826200066,0.84375
ordinary_fusion_harmful,prediction_disagreement_only,0.854750496150632,1.0
ordinary_fusion_harmful,prediction_disagreement_only,0.9125987187419858,1.0
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.05468228761056663,0.875
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.17469070054850594,0.475
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.2583797683211192,0.3442622950819672
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.364609113700712,0.20833333333333334
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.43151635963165497,0.15079365079365079
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.5573030971082984,0.3333333333333333
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.6565662277298286,0.875
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.7515755617010458,0.8888888888888888
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.8532887285812075,0.9895833333333334
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.9243304404454944,1.0
ordinary_fusion_harmful,holonomy_features,0.054659332221378594,0.8837209302325582
ordinary_fusion_harmful,holonomy_features,0.17033456573543007,1.0
ordinary_fusion_harmful,holonomy_features,0.23315875488278268,0.8181818181818182
ordinary_fusion_harmful,holonomy_features,0.37136770613838405,0.12903225806451613
ordinary_fusion_harmful,holonomy_features,0.42253983409013923,0.11538461538461539
ordinary_fusion_harmful,holonomy_features,0.5534626468742782,0.4375
ordinary_fusion_harmful,holonomy_features,0.6574599797083199,1.0
ordinary_fusion_harmful,holonomy_features,0.7698079247165466,0.8387096774193549
ordinary_fusion_harmful,holonomy_features,0.8572376429196578,1.0
ordinary_fusion_harmful,holonomy_features,0.9169474386573112,1.0
ordinary_fusion_harmful,full_holonomy_projective,0.05421153514589487,0.3617021276595745
ordinary_fusion_harmful,full_holonomy_projective,0.14183685503579072,0.32075471698113206
ordinary_fusion_harmful,full_holonomy_projective,0.23826252008171853,0.04819277108433735
ordinary_fusion_harmful,full_holonomy_projective,0.3499669123148444,0.35294117647058826
ordinary_fusion_harmful,full_holonomy_projective,0.44067519341283756,0.4339622641509434
ordinary_fusion_harmful,full_holonomy_projective,0.5427906755825875,0.4411764705882353
ordinary_fusion_harmful,full_holonomy_projective,0.6462491302582586,0.9166666666666666
ordinary_fusion_harmful,full_holonomy_projective,0.752553384958671,1.0
ordinary_fusion_harmful,full_holonomy_projective,0.8607508176052034,0.9285714285714286
ordinary_fusion_harmful,full_holonomy_projective,0.9696947745536896,0.9862068965517241
ordinary_fusion_harmful,oracle_structural_labels,0.44152799910635826,0.5174050632911392
ordinary_fusion_harmful,oracle_structural_labels,0.502739029217876,0.875
branch_lift_beneficial,full_holonomy_projective,0.02255602542757692,0.2972972972972973
branch_lift_beneficial,full_holonomy_projective,0.1540556105560624,0.25
branch_lift_beneficial,full_holonomy_projective,0.21500966383132453,0.2
branch_lift_beneficial,full_holonomy_projective,0.35329193703277806,0.0
branch_lift_beneficial,full_holonomy_projective,0.5826871732672,0.0
branch_lift_beneficial,full_holonomy_projective,0.8522182753829552,1.0
branch_lift_beneficial,full_holonomy_projective,0.9954414511516333,0.948
projective_rank_expansion_required,full_holonomy_projective,0.020104523681905594,0.0
projective_rank_expansion_required,full_holonomy_projective,0.11909813134138816,0.0
projective_rank_expansion_required,full_holonomy_projective,0.995568182404222,1.0
abstention_recommended,full_holonomy_projective,0.05995775860773802,0.2773109243697479
abstention_recommended,full_holonomy_projective,0.14530170352482613,0.4090909090909091
abstention_recommended,full_holonomy_projective,0.254507066372851,0.12149532710280374
abstention_recommended,full_holonomy_projective,0.34240579958479356,0.23076923076923078
abstention_recommended,full_holonomy_projective,0.45139124899525845,0.6379310344827587
abstention_recommended,full_holonomy_projective,0.5425230198204914,0.5
abstention_recommended,full_holonomy_projective,0.6550118300934155,0.8461538461538461
abstention_recommended,full_holonomy_projective,0.7575706484315377,0.9032258064516129
abstention_recommended,full_holonomy_projective,0.8517685533664767,0.9347826086956522
abstention_recommended,full_holonomy_projective,0.9689681485943658,0.9866666666666667
