outcome,feature_set,confidence_threshold,coverage,risk
ordinary_fusion_harmful,pairwise_residual_only,0.5,1.0,0.47794117647058826
ordinary_fusion_harmful,pairwise_residual_only,0.6,0.07058823529411765,0.4583333333333333
ordinary_fusion_harmful,pairwise_residual_only,0.7,0.0,
ordinary_fusion_harmful,pairwise_residual_only,0.8,0.0,
ordinary_fusion_harmful,pairwise_residual_only,0.9,0.0,
ordinary_fusion_harmful,parameter_distance_only,0.5,1.0,0.49264705882352944
ordinary_fusion_harmful,parameter_distance_only,0.6,0.0,
ordinary_fusion_harmful,parameter_distance_only,0.7,0.0,
ordinary_fusion_harmful,parameter_distance_only,0.8,0.0,
ordinary_fusion_harmful,parameter_distance_only,0.9,0.0,
ordinary_fusion_harmful,prediction_disagreement_only,0.5,1.0,0.21764705882352942
ordinary_fusion_harmful,prediction_disagreement_only,0.6,0.8720588235294118,0.1973018549747049
ordinary_fusion_harmful,prediction_disagreement_only,0.7,0.4573529411764706,0.2990353697749196
ordinary_fusion_harmful,prediction_disagreement_only,0.8,0.36617647058823527,0.2570281124497992
ordinary_fusion_harmful,prediction_disagreement_only,0.9,0.13676470588235295,0.40860215053763443
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.5,1.0,0.24705882352941178
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.6,0.7441176470588236,0.23122529644268774
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.7,0.5323529411764706,0.24585635359116023
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.8,0.36323529411764705,0.25101214574898784
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0.9,0.16323529411764706,0.3783783783783784
ordinary_fusion_harmful,holonomy_features,0.5,1.0,0.2161764705882353
ordinary_fusion_harmful,holonomy_features,0.6,0.7617647058823529,0.22007722007722008
ordinary_fusion_harmful,holonomy_features,0.7,0.45441176470588235,0.2912621359223301
ordinary_fusion_harmful,holonomy_features,0.8,0.3602941176470588,0.23673469387755103
ordinary_fusion_harmful,holonomy_features,0.9,0.14558823529411766,0.3838383838383838
ordinary_fusion_harmful,full_holonomy_projective,0.5,1.0,0.21323529411764705
ordinary_fusion_harmful,full_holonomy_projective,0.6,0.8720588235294118,0.1736930860033727
ordinary_fusion_harmful,full_holonomy_projective,0.7,0.736764705882353,0.1536926147704591
ordinary_fusion_harmful,full_holonomy_projective,0.8,0.5691176470588235,0.18863049095607234
ordinary_fusion_harmful,full_holonomy_projective,0.9,0.3514705882352941,0.1506276150627615
ordinary_fusion_harmful,oracle_structural_labels,0.5,1.0,0.48970588235294116
ordinary_fusion_harmful,oracle_structural_labels,0.6,0.0,
ordinary_fusion_harmful,oracle_structural_labels,0.7,0.0,
ordinary_fusion_harmful,oracle_structural_labels,0.8,0.0,
ordinary_fusion_harmful,oracle_structural_labels,0.9,0.0,
branch_lift_beneficial,full_holonomy_projective,0.5,1.0,0.11323529411764706
branch_lift_beneficial,full_holonomy_projective,0.6,0.9970588235294118,0.11061946902654868
branch_lift_beneficial,full_holonomy_projective,0.7,0.9911764705882353,0.11127596439169139
branch_lift_beneficial,full_holonomy_projective,0.8,0.9838235294117647,0.11061285500747384
branch_lift_beneficial,full_holonomy_projective,0.9,0.9529411764705882,0.10802469135802469
projective_rank_expansion_required,full_holonomy_projective,0.5,1.0,0.0
projective_rank_expansion_required,full_holonomy_projective,0.6,1.0,0.0
projective_rank_expansion_required,full_holonomy_projective,0.7,1.0,0.0
projective_rank_expansion_required,full_holonomy_projective,0.8,1.0,0.0
projective_rank_expansion_required,full_holonomy_projective,0.9,0.9779411764705882,0.0
abstention_recommended,full_holonomy_projective,0.5,1.0,0.22058823529411764
abstention_recommended,full_holonomy_projective,0.6,0.8588235294117647,0.16095890410958905
abstention_recommended,full_holonomy_projective,0.7,0.763235294117647,0.15606936416184972
abstention_recommended,full_holonomy_projective,0.8,0.5602941176470588,0.17060367454068243
abstention_recommended,full_holonomy_projective,0.9,0.39558823529411763,0.13011152416356878
