outcome,feature_set,heldout_seed,heldout_family,train_rows,test_rows,train_positive,test_positive,seed_excluded_from_train,family_excluded_from_train,fit_status
ordinary_fusion_harmful,pairwise_residual_only,0,natural_application_A,480,16,241,14,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,0,period2_index2,416,32,231,15,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,0,period2_index4,352,48,207,22,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,0,period3_index3,384,40,212,21,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,1,natural_application_A,480,16,242,14,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,1,period2_index2,416,32,232,15,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,1,period2_index4,352,48,209,23,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,1,period3_index3,384,40,211,19,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,2,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,2,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,2,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,2,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,3,natural_application_A,480,16,243,14,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,3,period2_index2,416,32,233,15,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,3,period2_index4,352,48,208,21,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,3,period3_index3,384,40,213,20,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,4,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,4,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,4,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_residual_only,4,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,0,natural_application_A,480,16,241,14,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,0,period2_index2,416,32,231,15,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,0,period2_index4,352,48,207,22,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,0,period3_index3,384,40,212,21,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,1,natural_application_A,480,16,242,14,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,1,period2_index2,416,32,232,15,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,1,period2_index4,352,48,209,23,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,1,period3_index3,384,40,211,19,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,2,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,2,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,2,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,2,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,3,natural_application_A,480,16,243,14,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,3,period2_index2,416,32,233,15,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,3,period2_index4,352,48,208,21,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,3,period3_index3,384,40,213,20,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,4,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,4,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,4,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,parameter_distance_only,4,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,0,natural_application_A,480,16,241,14,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,0,period2_index2,416,32,231,15,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,0,period2_index4,352,48,207,22,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,0,period3_index3,384,40,212,21,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,1,natural_application_A,480,16,242,14,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,1,period2_index2,416,32,232,15,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,1,period2_index4,352,48,209,23,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,1,period3_index3,384,40,211,19,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,2,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,2,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,2,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,2,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,3,natural_application_A,480,16,243,14,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,3,period2_index2,416,32,233,15,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,3,period2_index4,352,48,208,21,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,3,period3_index3,384,40,213,20,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,4,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,4,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,4,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,prediction_disagreement_only,4,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0,natural_application_A,480,16,241,14,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0,period2_index2,416,32,231,15,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0,period2_index4,352,48,207,22,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,0,period3_index3,384,40,212,21,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,1,natural_application_A,480,16,242,14,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,1,period2_index2,416,32,232,15,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,1,period2_index4,352,48,209,23,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,1,period3_index3,384,40,211,19,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,2,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,2,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,2,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,2,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,3,natural_application_A,480,16,243,14,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,3,period2_index2,416,32,233,15,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,3,period2_index4,352,48,208,21,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,3,period3_index3,384,40,213,20,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,4,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,4,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,4,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,pairwise_plus_ordinary_sync,4,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,0,natural_application_A,480,16,241,14,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,0,period2_index2,416,32,231,15,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,0,period2_index4,352,48,207,22,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,0,period3_index3,384,40,212,21,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,1,natural_application_A,480,16,242,14,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,1,period2_index2,416,32,232,15,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,1,period2_index4,352,48,209,23,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,1,period3_index3,384,40,211,19,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,2,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,2,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,2,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,2,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,3,natural_application_A,480,16,243,14,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,3,period2_index2,416,32,233,15,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,3,period2_index4,352,48,208,21,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,3,period3_index3,384,40,213,20,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,4,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,4,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,4,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,holonomy_features,4,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,0,natural_application_A,480,16,241,14,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,0,period2_index2,416,32,231,15,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,0,period2_index4,352,48,207,22,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,0,period3_index3,384,40,212,21,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,1,natural_application_A,480,16,242,14,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,1,period2_index2,416,32,232,15,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,1,period2_index4,352,48,209,23,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,1,period3_index3,384,40,211,19,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,2,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,2,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,2,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,2,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,3,natural_application_A,480,16,243,14,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,3,period2_index2,416,32,233,15,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,3,period2_index4,352,48,208,21,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,3,period3_index3,384,40,213,20,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,4,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,4,period2_index2,416,32,228,18,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,4,period2_index4,352,48,202,23,True,True,logistic_regression
ordinary_fusion_harmful,full_holonomy_projective,4,period3_index3,384,40,208,23,True,True,logistic_regression
ordinary_fusion_harmful,oracle_structural_labels,0,natural_application_A,480,16,241,14,True,True,logistic_regression
ordinary_fusion_harmful,oracle_structural_labels,0,period2_index2,416,32,231,15,True,True,logistic_regression
ordinary_fusion_harmful,oracle_structural_labels,0,period2_index4,352,48,207,22,True,True,logistic_regression
ordinary_fusion_harmful,oracle_structural_labels,0,period3_index3,384,40,212,21,True,True,logistic_regression
ordinary_fusion_harmful,oracle_structural_labels,1,natural_application_A,480,16,242,14,True,True,logistic_regression
ordinary_fusion_harmful,oracle_structural_labels,1,period2_index2,416,32,232,15,True,True,logistic_regression
ordinary_fusion_harmful,oracle_structural_labels,1,period2_index4,352,48,209,23,True,True,logistic_regression
ordinary_fusion_harmful,oracle_structural_labels,1,period3_index3,384,40,211,19,True,True,logistic_regression
ordinary_fusion_harmful,oracle_structural_labels,2,natural_application_A,480,16,235,14,True,True,logistic_regression
ordinary_fusion_harmful,oracle_structural_labels,2,period2_index2,416,32,228,18,True,True,logistic_regression
