observation_id,evidence_label,corpus_seed,setting_family,fusion_method,reference_accuracy,observed_accuracy,ordinary_fusion_harmful,ordinary_fusion_safe,gauge_sync_sufficient,branch_lift_beneficial,projective_rank_expansion_required,abstention_recommended,ordinary_prediction_disagreement,estimated_period,estimated_index,candidate_capacity,controlled_structural_residual,capacity_divisible_by_index,controlled_projective_indicator,fusion_parameter_multiplier,mean_heldout_pairwise_residual,mean_inverse_consistency_residual,global_synchronization_residual,mean_parameter_distance,max_loop_holonomy_norm,loop_commutator_norm,mean_loop_spectral_radius,mean_loop_absolute_phase,centrality_residual,torsion_confidence,cocycle_residual,coboundary_residual,bootstrap_stability,natural_connection_trivial_indicator
D0000,natural_measured,0,natural_application_A,best_individual_adapter,0.21875,0.125,1,0,1,0,0,1,0.4599609375,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9046096131205559,8.045155744136017e-07,2.0896947034998448e-05,0.3061109579035214,1.2096741102141095e-06,1.0905828276008831e-06,1.0000013706198174,3.796637758278962e-07,1.0475963809293357e-06,0.9999989511520467,0.0,0.0,0.999998952403619,1.0
D0001,natural_measured,0,natural_application_A,raw_parameter_average,0.21875,0.2109375,0,1,1,0,0,0,0.439453125,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.9046096131205559,8.045155744136017e-07,2.0896947034998448e-05,0.3061109579035214,1.2096741102141095e-06,1.0905828276008831e-06,1.0000013706198174,3.796637758278962e-07,1.0475963809293357e-06,0.9999989511520467,0.0,0.0,0.999998952403619,1.0
D0002,natural_measured,0,natural_application_A,pairwise_reference_alignment,0.21875,0.1484375,1,0,1,0,0,1,0.4443359375,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.9046096131205559,8.045155744136017e-07,2.0896947034998448e-05,0.3061109579035214,1.2096741102141095e-06,1.0905828276008831e-06,1.0000013706198174,3.796637758278962e-07,1.0475963809293357e-06,0.9999989511520467,0.0,0.0,0.999998952403619,1.0
D0003,natural_measured,0,natural_application_A,global_c2m3_synchronization,0.21875,0.4609375,0,1,1,0,0,0,0.2890625,0.0,0.0,8.0,0.0,0.0,0.0,8.559380378657487,0.9046096131205559,8.045155744136017e-07,2.0896947034998448e-05,0.3061109579035214,1.2096741102141095e-06,1.0905828276008831e-06,1.0000013706198174,3.796637758278962e-07,1.0475963809293357e-06,0.9999989511520467,0.0,0.0,0.999998952403619,1.0
D0004,natural_measured,0,natural_application_A,graph_synchronized_adapter_merge,0.21875,0.203125,1,0,1,0,0,1,0.4365234375,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.9046096131205559,8.045155744136017e-07,2.0896947034998448e-05,0.3061109579035214,1.2096741102141095e-06,1.0905828276008831e-06,1.0000013706198174,3.796637758278962e-07,1.0475963809293357e-06,0.9999989511520467,0.0,0.0,0.999998952403619,1.0
D0005,natural_measured,0,natural_application_A,regular_d4_branch_invariant_pooling,0.21875,0.2109375,0,1,1,0,0,0,0.4130859375,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.9046096131205559,8.045155744136017e-07,2.0896947034998448e-05,0.3061109579035214,1.2096741102141095e-06,1.0905828276008831e-06,1.0000013706198174,3.796637758278962e-07,1.0475963809293357e-06,0.9999989511520467,0.0,0.0,0.999998952403619,1.0
D0006,natural_measured,0,natural_application_A,orbit_branch_invariant_pooling,0.21875,0.203125,1,0,1,0,0,1,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.9046096131205559,8.045155744136017e-07,2.0896947034998448e-05,0.3061109579035214,1.2096741102141095e-06,1.0905828276008831e-06,1.0000013706198174,3.796637758278962e-07,1.0475963809293357e-06,0.9999989511520467,0.0,0.0,0.999998952403619,1.0
D0007,natural_measured,0,natural_application_A,generic_mixture_of_experts,0.21875,0.1640625,1,0,1,0,0,1,0.4482421875,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.9046096131205559,8.045155744136017e-07,2.0896947034998448e-05,0.3061109579035214,1.2096741102141095e-06,1.0905828276008831e-06,1.0000013706198174,3.796637758278962e-07,1.0475963809293357e-06,0.9999989511520467,0.0,0.0,0.999998952403619,1.0
D0008,natural_measured,0,natural_application_A,learned_router,0.21875,0.203125,1,0,1,0,0,1,0.4130859375,0.0,0.0,8.0,0.0,0.0,0.0,8.117039586919105,0.9046096131205559,8.045155744136017e-07,2.0896947034998448e-05,0.3061109579035214,1.2096741102141095e-06,1.0905828276008831e-06,1.0000013706198174,3.796637758278962e-07,1.0475963809293357e-06,0.9999989511520467,0.0,0.0,0.999998952403619,1.0
D0009,natural_measured,0,natural_application_A,d4_test_time_augmentation,0.21875,0.125,1,0,1,0,0,1,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.9046096131205559,8.045155744136017e-07,2.0896947034998448e-05,0.3061109579035214,1.2096741102141095e-06,1.0905828276008831e-06,1.0000013706198174,3.796637758278962e-07,1.0475963809293357e-06,0.9999989511520467,0.0,0.0,0.999998952403619,1.0
D0010,natural_measured,0,natural_application_A,random_branch_count_matched_control,0.21875,0.2109375,0,1,1,0,0,0,0.4296875,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.9046096131205559,8.045155744136017e-07,2.0896947034998448e-05,0.3061109579035214,1.2096741102141095e-06,1.0905828276008831e-06,1.0000013706198174,3.796637758278962e-07,1.0475963809293357e-06,0.9999989511520467,0.0,0.0,0.999998952403619,1.0
