seed,order_family,loop_id,left_node,right_node,left_mean_accuracy,right_mean_accuracy,absolute_mean_accuracy_delta,absolute_worst_accuracy_delta,left_first_task_forgetting,right_first_task_forgetting,absolute_forgetting_delta,prediction_disagreement,feature_discrepancy,absolute_ece_delta,parameter_distance,pairwise_transport_residual,inverse_consistency,loop_identity_distance,loop_spectral_radius,loop_singular_spread,loop_commutator_max,loop_stable_nonidentity,order_sensitivity_score
0,AB_vs_BA,0:AB_square,M_AB,M_BA,0.4899999996026357,0.49166666467984516,0.0016666650772094727,0.11100000143051147,0.11400002241134644,0.04799997806549072,0.06600004434585571,0.3656666576862335,0.2358749955892563,0.009862679173238575,0.26683037970909257,1.5211026329043214e-07,1.091635730580384e-14,3.99786509148144e-14,1.0000000000000095,2.688960165642129e-13,9.788031384817901e-15,False,0.10257689315679606
0,AC_vs_CA,0:AC_square,M_AC,M_CA,0.48799999554951984,0.49466665585835773,0.006666660308837891,0.15399998426437378,0.1599999964237213,0.1170000433921814,0.04299995303153992,0.42633333802223206,0.25636404752731323,0.0035905296583678137,0.27983499165974035,1.461575363434831e-07,1.1346618214748821e-14,3.25905086005446e-14,1.00000000000001,2.0261570199409107e-13,9.963191657569134e-15,False,0.11555054542219687
0,BC_vs_CB,0:BC_square,M_BC,M_CB,0.47633332510789234,0.4803333381811778,0.004000013073285458,0.03800000250339508,0.0339999794960022,0.054000020027160645,0.020000040531158447,0.27266666293144226,0.17849907279014587,0.0031866489783472784,0.20691351503990332,1.455108232613428e-07,1.231114967162352e-14,3.642296968274938e-14,1.0000000000000195,2.4003021792395884e-13,9.521341196242633e-15,False,0.06394432787296243
0,ABC_vs_BAC,0:swap_ABC_BAC,M_ABC,M_BAC,0.47966668009757996,0.4913333257039388,0.011666645606358828,0.030000001192092896,0.1850000023841858,0.03200000524520874,0.15299999713897705,0.0860000029206276,0.08897549659013748,0.023178966230868056,0.14803865838310892,1.4039317306259052e-07,1.1786397754229212e-14,6.228728667203635e-14,1.0000000000000102,4.3354209111612363e-13,9.863557999235913e-15,False,0.06447697080171963
0,ABC_vs_ACB,0:swap_ABC_ACB,M_ABC,M_ACB,0.47966668009757996,0.4856666723887126,0.0059999922911326276,0.04499998688697815,0.1850000023841858,0.14000001549720764,0.04499998688697815,0.2796666622161865,0.18778346478939056,0.00598260685607481,0.21588129370813736,1.451731480514168e-07,1.2053706015206496e-14,4.3982324274473364e-14,1.000000000000013,2.7466917629226373e-13,9.963191657569134e-15,False,0.0727529241143392
0,ACB_vs_CAB,0:swap_ACB_CAB,M_ACB,M_CAB,0.4856666723887126,0.4913333257039388,0.0056666533152262,0.023000001907348633,0.14000001549720764,0.06200003623962402,0.07799997925758362,0.052666667848825455,0.07481420785188675,0.007703202199384876,0.12700800495756798,1.4508137470133582e-07,1.7793450412887264e-14,4.7983621736606644e-14,1.000000000000011,3.071987109137808e-13,9.570684106811057e-15,False,0.04014722613454551
0,BAC_vs_BCA,0:swap_BAC_BCA,M_BAC,M_BCA,0.4913333257039388,0.4976666768391927,0.006333351135253906,0.14899998903274536,0.03200000524520874,0.04999995231628418,0.01799994707107544,0.4169999957084656,0.25162115693092346,0.010151957598282024,0.2760508383469718,1.4933576977200943e-07,1.1992526172494715e-14,5.0508491672361344e-14,1.0000000000000129,3.3173463975799677e-13,9.367337120551373e-15,False,0.10842781783395883
0,BCA_vs_CBA,0:swap_BCA_CBA,M_BCA,M_CBA,0.4976666768391927,0.5016666650772095,0.003999988238016783,0.009000003337860107,0.04999995231628418,0.1170000433921814,0.06700009107589722,0.1066666692495346,0.10526520013809204,0.0009946523350663483,0.15770421922996514,1.5282738088048217e-07,1.1229614681200272e-14,5.552526329551844e-14,1.000000000000018,3.723688024592775e-13,9.648155720084901e-15,False,0.04345146719782827
0,CAB_vs_CBA,0:swap_CAB_CBA,M_CAB,M_CBA,0.4913333257039388,0.5016666650772095,0.010333339373270689,0.12000000476837158,0.06200003623962402,0.1170000433921814,0.05500000715255737,0.3610000014305115,0.234351247549057,0.018650462438624046,0.2622018489062904,1.5347607675968953e-07,1.2110671437454433e-14,5.282007449357163e-14,1.0000000000000322,3.5704772471945034e-13,9.51619795625759e-15,False,0.10450499486970455
1,AB_vs_BA,1:AB_square,M_AB,M_BA,0.4880000054836273,0.48733333746592206,0.0006666680177052631,0.1080000102519989,0.10200002789497375,0.03700000047683716,0.0650000274181366,0.3686666786670685,0.23025760054588318,0.0012561214195253995,0.2631167329232597,1.5634555218224957e-07,1.147919039948577e-14,2.658592753837954e-14,1.0000000000000056,1.1957101975212936e-13,9.551112855780551e-15,False,0.10086106898660638
