stage,tier,exact_command,execution_commit,source_hash,seed,start_time,runtime_seconds,exit_code,final_state,summary,log_sha256
A1,immediate,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/trained_chart_inference.py,1237f70e2276c249ee5cbc1eedb977fc1043db26,4b91ed8f840589f7ea8075710f37adaf11109b370654a73d65fd4f8f18b4ede2,stage_internal_preregistered,2026-07-15T13:23:30.408229+00:00,279.3070809589699,0,completed,trained Fashion-MNIST chart inference,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
A2,immediate,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/end_to_end_controlled_cost.py,1237f70e2276c249ee5cbc1eedb977fc1043db26,f87d5114e11ff167bda1f1736f9b11d6f92766f9c250e1bc1eb2e14fe1a8b144,stage_internal_preregistered,2026-07-15T13:28:09.769744+00:00,77.19020387483761,0,completed,end-to-end controlled systems audit,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
A3,immediate,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/nontrivial_refinement_invariance.py,1237f70e2276c249ee5cbc1eedb977fc1043db26,50f05ced04e4b3867578ed9f6611eb07377b8d72e47ac038c4a304a53b01a7b4,stage_internal_preregistered,2026-07-15T13:29:27.057851+00:00,0.7053552500437945,0,completed,nontrivial refinement invariance,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
B1,iclr,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/full_model_hidden_geometry.py,1237f70e2276c249ee5cbc1eedb977fc1043db26,4a63081894c0c7ff36950ae15cb56111d9236da93acf33eb6039ff6a05c6b3e1,stage_internal_preregistered,2026-07-15T13:29:27.785488+00:00,556.3412893330678,0,completed,full-model hidden-layer geometry,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
B2,iclr,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/learned_compositional_baselines.py,1237f70e2276c249ee5cbc1eedb977fc1043db26,28bc45bbaf750e4314320763ced44147ee70586c962b671592f1c2b59da07e3f,stage_internal_preregistered,2026-07-15T13:38:44.224310+00:00,954.2150744590908,0,completed,strong learned compositional baselines,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
B3,iclr,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/genuine_multiview_retransport.py,1237f70e2276c249ee5cbc1eedb977fc1043db26,4010891418f707cfce34592e0130d4119d074fdc31b96207d46cb0351c3369be,stage_internal_preregistered,2026-07-15T13:54:38.445493+00:00,13.646092457929626,1,failed,RuntimeError: Can't call numpy() on Tensor that requires grad. Use tensor.detach().numpy() instead.,aed6f77ba96a33f1ed438b572af2fe5082bac34bb90cf5c424a94646e9542a1f
B4,iclr,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/new_realistic_residual_search.py,1237f70e2276c249ee5cbc1eedb977fc1043db26,3ef5f26160e84b8852357dc25f7003d7f38b5d9ee37096e1bfaf357a8469083d,stage_internal_preregistered,2026-07-15T13:54:52.138914+00:00,0.10617412510327995,1,failed,"FileNotFoundError: B4 requires completed B1 and B3 discovery artifacts: /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/reports/next_program/iclr/multiview_transitions.csv, /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/reports/next_program/iclr/multiview_stability.csv, /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerg",9aac94022e904d22d854d2e3cd443401ab50d2fc9e3a16a7b9ae27170b2bd3e3
B3,iclr,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/genuine_multiview_retransport.py,74b1d5e9779324615eaf21fe53e7a8f8639190d2,b925e4332381ea5115e62e36bf7254058aac1661da5ae4193ccd7a821c9ad16b,stage_internal_preregistered,2026-07-15T13:59:13.365930+00:00,65.96659733401611,0,completed,genuine multiview coordinate retransport,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
B4,iclr,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/new_realistic_residual_search.py,74b1d5e9779324615eaf21fe53e7a8f8639190d2,3ef5f26160e84b8852357dc25f7003d7f38b5d9ee37096e1bfaf357a8469083d,stage_internal_preregistered,2026-07-15T14:00:19.347801+00:00,0.6763165409211069,0,completed,new realistic residual search,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
B5,iclr,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/structured_compression.py,74b1d5e9779324615eaf21fe53e7a8f8639190d2,767c4ed4def2d63a1ba537c984a836a5532276b854c3f526018473ce09b68058,stage_internal_preregistered,2026-07-15T14:00:20.038121+00:00,1085.695044875145,0,completed,structure-preserving compression,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
B6,iclr,/Users/tinggong/Documents/GitHub/TwistedMerge/.venv/bin/python /Users/tinggong/Documents/Codex/2026-07-14/ru-3/work/TwistedMerge-next-evidence/experiments/noncyclic_central_extensions.py,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,stage_internal_preregistered,2026-07-15T14:18:25.757807+00:00,2.3194605000317097,0,completed,noncyclic central extensions,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
