complex,class_type,trial,vertices,edges,faces,h1_dimension,exact,coexact,harmonic,distance_to_coboundaries,classified_nontrivial,expected_nontrivial,classification_correct,runtime_seconds
triangle_complex,trivial_exact,0,3,3,1,0,0.9999913897970606,0.0041497387560735285,1.1792392872311952e-16,0.0034069100732401396,False,False,True,0.0005200000014156103
triangle_complex,trivial_exact,1,3,3,1,0,0.9999985492105459,0.0017034015390956227,4.5944890095296365e-17,0.0033608263635019034,False,False,True,7.812492549419403e-05
triangle_complex,trivial_exact,2,3,3,1,0,0.9999998140330677,0.0006098637802770053,2.9579114087097527e-16,0.0019779773100823237,False,False,True,6.77499920129776e-05
triangle_complex,trivial_exact,3,3,3,1,0,0.9999923928078899,0.003900554620904346,8.2750279773254e-17,0.005652548591965749,False,False,True,6.129196844995022e-05
triangle_complex,trivial_exact,4,3,3,1,0,0.9999895685571052,0.004567578896363233,2.3410030088381964e-16,0.007709511874578062,False,False,True,6.062490865588188e-05
triangle_complex,trivial_exact,5,3,3,1,0,0.9999992644094602,0.0012129223135293565,9.63756221849021e-17,0.003992996931212599,False,False,True,5.6833960115909576e-05
triangle_complex,trivial_exact,6,3,3,1,0,0.9999056293660216,0.013737989741609386,1.8356269208425093e-17,0.016977239699366875,False,False,True,6.395787931978703e-05
triangle_complex,trivial_exact,7,3,3,1,0,0.9999979391530235,0.0020301944996891294,1.417157755441109e-16,0.002272598098383429,False,False,True,5.462486296892166e-05
triangle_complex,trivial_exact,8,3,3,1,0,0.9999997763308018,0.0006688335713419684,1.6006204374309405e-16,0.0011134402916646788,False,False,True,5.6208111345767975e-05
triangle_complex,trivial_exact,9,3,3,1,0,0.9999817793997225,0.006036627250751417,6.861355271177201e-17,0.007975458872533675,False,False,True,5.38751482963562e-05
triangle_complex,trivial_exact,10,3,3,1,0,0.9999887918265048,0.004734577211026019,1.3109145806390263e-16,0.009821835688399205,False,False,True,5.350005812942982e-05
triangle_complex,trivial_exact,11,3,3,1,0,0.9999846075790074,0.005548387608902574,1.338282906493806e-16,0.009943366087808048,False,False,True,5.425000563263893e-05
triangle_complex,trivial_exact,12,3,3,1,0,0.999992997496796,0.003742319784974653,1.1594425431835477e-16,0.0067040294870197486,False,False,True,5.291705019772053e-05
triangle_complex,trivial_exact,13,3,3,1,0,0.9999984343901664,0.0017695245734596534,4.478002234152012e-17,0.0017910534783720188,False,False,True,5.3459079936146736e-05
triangle_complex,trivial_exact,14,3,3,1,0,0.9999862253008373,0.005248733998159284,1.2714376271566254e-16,0.01452360382747195,False,False,True,0.00010562501847743988
triangle_complex,trivial_exact,15,3,3,1,0,0.9999986120682746,0.0016660916914995137,7.922203399993872e-17,0.005043911722478283,False,False,True,5.312496796250343e-05
