axis,axis_value,models,graph_edges,faces,hidden_width,group_order,residual_rank,branch_count,calibration_samples,latency_median_ms,latency_q1_ms,latency_q3_ms,rss_before_mb,rss_after_mb,rss_delta_mb,timed_repetitions,executed_checksum,measurement_type
models,2,2,1,4,16,4,2,4,64,0.17460447270423174,0.16813573893159628,0.19230257021263242,34.921875,34.953125,0.03125,100,-1231.748240236842,executed_numpy_linear_algebra_and_branch_inference
models,4,4,6,4,16,4,2,4,64,0.6116665899753571,0.6033439422026277,0.6332289194688201,36.359375,36.359375,0.0,100,31347.426867413804,executed_numpy_linear_algebra_and_branch_inference
models,8,8,6,4,16,4,2,4,64,0.5829375004395843,0.57463557459414,0.6135833682492375,36.359375,36.4375,0.078125,100,-505.2149200013532,executed_numpy_linear_algebra_and_branch_inference
graph_edges,1,4,1,4,16,4,2,4,64,0.18112501129508018,0.17665652558207512,0.19246817100793123,36.453125,36.453125,0.0,100,-2067.5379689853453,executed_numpy_linear_algebra_and_branch_inference
graph_edges,3,4,3,4,16,4,2,4,64,0.3206873079761863,0.3113960847258568,0.3323022392578423,36.453125,36.453125,0.0,100,1321.6502942999437,executed_numpy_linear_algebra_and_branch_inference
graph_edges,6,4,6,4,16,4,2,4,64,0.5796251352876425,0.5721670459024608,0.6096568540669978,36.453125,36.453125,0.0,100,-435401.8411972059,executed_numpy_linear_algebra_and_branch_inference
graph_edges,12,4,6,4,16,4,2,4,64,0.5846454296261072,0.5733643774874508,0.6286458810791373,36.453125,36.453125,0.0,100,-46551.19815517472,executed_numpy_linear_algebra_and_branch_inference
faces,1,4,6,1,16,4,2,4,64,0.625916407443583,0.5830212030559778,0.6778441020287573,36.453125,36.46875,0.015625,100,-9239.963313878427,executed_numpy_linear_algebra_and_branch_inference
faces,4,4,6,4,16,4,2,4,64,0.5860835080966353,0.5741557106375694,0.6188853294588625,36.484375,36.484375,0.0,100,-36911.791766156646,executed_numpy_linear_algebra_and_branch_inference
faces,12,4,6,12,16,4,2,4,64,0.6041870219632983,0.5873753689229488,0.6389483460225165,36.484375,36.484375,0.0,100,-53331.19561015108,executed_numpy_linear_algebra_and_branch_inference
hidden_width,8,4,6,4,8,4,2,4,64,0.3632705193012953,0.35861454671248794,0.37626054836437106,36.53125,36.5625,0.03125,100,7438.90435444197,executed_numpy_linear_algebra_and_branch_inference
hidden_width,16,4,6,4,16,4,2,4,64,0.5852705799043179,0.5722494679503143,0.6097915465943515,36.5625,36.5625,0.0,100,-22341.697141314584,executed_numpy_linear_algebra_and_branch_inference
hidden_width,32,4,6,4,32,4,2,4,64,1.369395526126027,1.2596774031408131,1.7487394507043064,36.921875,36.96875,0.046875,100,-14222.10661688844,executed_numpy_linear_algebra_and_branch_inference
hidden_width,64,4,6,4,64,4,2,4,64,3.8402294740080833,3.5273745306767523,4.376332915853709,37.90625,37.984375,0.078125,100,7270.564872799117,executed_numpy_linear_algebra_and_branch_inference
group_order,2,4,6,4,16,2,2,4,64,0.6192914443090558,0.6087710498832166,0.6888228235766292,37.984375,37.984375,0.0,100,38408.97350456862,executed_numpy_linear_algebra_and_branch_inference
group_order,4,4,6,4,16,4,2,4,64,0.5857914220541716,0.5730827106162906,0.6187813123688102,37.984375,37.984375,0.0,100,-5992.043753310647,executed_numpy_linear_algebra_and_branch_inference
group_order,8,4,6,4,16,8,2,4,64,0.5957504035905004,0.5779167404398322,0.622968771494925,37.984375,37.984375,0.0,100,77617.6071622457,executed_numpy_linear_algebra_and_branch_inference
group_order,12,4,6,4,16,12,2,4,64,0.5962084978818893,0.5851669702678919,0.6148859392851591,38.03125,38.03125,0.0,100,13361.390245874189,executed_numpy_linear_algebra_and_branch_inference
residual_rank,1,4,6,4,16,4,1,4,64,0.5835620686411858,0.5731458659283817,0.6174896261654794,38.03125,38.03125,0.0,100,23243.69339809922,executed_numpy_linear_algebra_and_branch_inference
residual_rank,2,4,6,4,16,4,2,4,64,0.5789169808849692,0.5706556257791817,0.6033229292370379,38.03125,38.03125,0.0,100,-12311.096632819548,executed_numpy_linear_algebra_and_branch_inference
residual_rank,4,4,6,4,16,4,4,4,64,0.5837284261360765,0.5731142591685057,0.6084892083890736,38.03125,38.03125,0.0,100,26331.742456975204,executed_numpy_linear_algebra_and_branch_inference
residual_rank,8,4,6,4,16,4,8,4,64,0.5858540534973145,0.5714377039112151,0.6100944010540843,38.03125,38.03125,0.0,100,-884.6263041467004,executed_numpy_linear_algebra_and_branch_inference
branch_count,1,4,6,4,16,4,2,1,64,0.5620630690827966,0.5549687775783241,0.5863026017323136,38.03125,38.03125,0.0,100,54757.06898416061,executed_numpy_linear_algebra_and_branch_inference
branch_count,2,4,6,4,16,4,2,2,64,0.5719369510188699,0.5630000960081816,0.5974689265713096,38.03125,38.03125,0.0,100,-134424.46673215827,executed_numpy_linear_algebra_and_branch_inference
branch_count,4,4,6,4,16,4,2,4,64,0.6145004881545901,0.604302273131907,0.6341352709569037,38.03125,38.03125,0.0,100,13548.87021481424,executed_numpy_linear_algebra_and_branch_inference
branch_count,8,4,6,4,16,4,2,8,64,0.6345000583678484,0.6228333222679794,0.6854270468465984,38.03125,38.03125,0.0,100,-28284.885252060827,executed_numpy_linear_algebra_and_branch_inference
calibration_samples,16,4,6,4,16,4,2,4,16,0.573020544834435,0.5663124611601233,0.5954368971288204,38.03125,38.03125,0.0,100,1526.4664527895757,executed_numpy_linear_algebra_and_branch_inference
calibration_samples,64,4,6,4,16,4,2,4,64,0.6123535567894578,0.6032707751728594,0.6520312163047493,38.03125,38.03125,0.0,100,44896.64551950585,executed_numpy_linear_algebra_and_branch_inference
calibration_samples,256,4,6,4,16,4,2,4,256,0.6734579801559448,0.6540208705700934,0.7021871278993785,38.03125,38.03125,0.0,100,66704.21853301469,executed_numpy_linear_algebra_and_branch_inference
calibration_samples,1024,4,6,4,16,4,2,4,1024,0.9742289548739791,0.9447812335565686,1.0318647255189717,38.375,38.625,0.25,100,4305.951307075063,executed_numpy_linear_algebra_and_branch_inference
