group,group_order,coefficient_group,candidate_status,normalized,cocycle_identity_error,coboundary,class_order,normalized_z2_dimension,h2_dimension,cocycle_sha256,central_extension_order,associative,kernel_central,quotient_verified,execution_commit,source_sha256,command,seed
S3,6,mu_2,nontrivial_exact,True,0,False,2,5,1,8ea4719f150db3317e1880ad4a900294703f083ea1104f6948b613776683e992,12,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
S3,6,mu_3,cohomology_trivial,True,0,True,1,5,0,,18,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
S3,6,mu_4,embedded_class_trivial,True,0,True,1,5,1,04939a627cebd04f9010c7367b8e64113bc9a043ff8edb3851c2025950f25962,24,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
D4,8,mu_2,nontrivial_exact,True,0,False,2,8,3,8fc2b5511a22593f90d2c512749d9d1c26314227d0121d17998340bd06acc514,16,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
D4,8,mu_3,cohomology_trivial,True,0,True,1,7,0,,24,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
D4,8,mu_4,embedded_class_trivial,True,0,True,1,8,3,a4a15525bab8db246499e5357a1ec6af5ae4d9454bbc80cd8229355145e207eb,32,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
Q8,8,mu_2,nontrivial_exact,True,0,False,2,7,2,9e96ad1b79863c99270203b326115f40ea7bbe073ff7025e728e725ff6fe88a2,16,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
Q8,8,mu_3,cohomology_trivial,True,0,True,1,7,0,,24,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
Q8,8,mu_4,embedded_class_trivial,True,0,True,1,7,2,64ac82f6643fbbfc36e8eb210f5e1b097ab0a709d18c157cb8437962353c8794,32,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
A4,12,mu_2,nontrivial_exact,True,0,False,2,12,1,13eab537aea77d189a448a745fc42b9309b485de99ac6b5b26e8af477d7b063c,24,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
A4,12,mu_3,nontrivial_exact,True,0,False,3,11,1,ac3c76ddb04f44452296af89c80a310f24119692b244afddb6423c612beef322,36,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
A4,12,mu_4,embedded_mu2_class,True,0,False,2,12,1,953e568ee1a2a953f4bf033974b6ff6ab1dcdbcbb917d361d12819a855cc5e89,48,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
finite_Heisenberg_2,4,mu_2,nontrivial_exact,True,0,False,2,,,427f9614ce4ef694514d2f646cb51441415e6e44fed72d01013635a6d3999b42,8,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
finite_Heisenberg_3,9,mu_3,nontrivial_exact,True,0,False,3,,,a31cb3182df61b8bff9eb5c00e0d2b19121d9bb56b77ec41212eab4c58c9a371,27,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
finite_Heisenberg_4,16,mu_4,nontrivial_exact,True,0,False,4,,,b8db755ab060af38a7e0742166677ec984625f32db869bd07c46a865a76bf3b2,64,True,True,True,74b1d5e9779324615eaf21fe53e7a8f8639190d2,21ca4147eb77d7c71690815f1b262392976584bc5bbe4f0cb69b0aaea1742272,python experiments/noncyclic_central_extensions.py,0
