collection,specialist,fine_tuning,training_examples,epochs,training_time_seconds
0,0,final_two_residual_blocks,10000,1,16.025757959112525
0,1,final_two_residual_blocks,10000,1,11.026706791948527
0,2,final_two_residual_blocks,10000,1,10.730141791980714
0,3,final_two_residual_blocks,10000,1,10.547383917029947
0,0,full_backbone,10000,1,13.175724582979456
0,1,full_backbone,10000,1,12.243580375099555
0,2,full_backbone,10000,1,11.497439708095044
0,3,full_backbone,10000,1,8.136982875177637
1,0,final_two_residual_blocks,10000,1,12.81456183316186
1,1,final_two_residual_blocks,10000,1,8.577473249984905
1,2,final_two_residual_blocks,10000,1,8.654385417001322
1,3,final_two_residual_blocks,10000,1,8.328389291884378
2,0,final_two_residual_blocks,10000,1,6.897232124814764
2,1,final_two_residual_blocks,10000,1,6.792581124929711
2,2,final_two_residual_blocks,10000,1,6.870748582994565
2,3,final_two_residual_blocks,10000,1,12.917581374989823
3,0,final_two_residual_blocks,10000,1,12.272834375035018
3,1,final_two_residual_blocks,10000,1,11.76716462499462
3,2,final_two_residual_blocks,10000,1,9.634992875158787
3,3,final_two_residual_blocks,10000,1,10.234190958086401
4,0,final_two_residual_blocks,10000,1,9.5671612911392
4,1,final_two_residual_blocks,10000,1,13.635769083164632
4,2,final_two_residual_blocks,10000,1,13.1172066249419
4,3,final_two_residual_blocks,10000,1,13.85901274997741
