group,coefficient_group,candidate_rank,success,failure_verified,failure_reason,multiplication_error,minimal_successful_rank_verified
S3,mu_2,1,False,True,rank_one_projective_representation_would_make_the_cocycle_a_coboundary,,False
S3,mu_2,6,True,False,,0.0,False
D4,mu_2,1,False,True,rank_one_projective_representation_would_make_the_cocycle_a_coboundary,,False
D4,mu_2,8,True,False,,2.4492935982947064e-16,False
Q8,mu_2,1,False,True,rank_one_projective_representation_would_make_the_cocycle_a_coboundary,,False
Q8,mu_2,8,True,False,,0.0,False
A4,mu_2,1,False,True,rank_one_projective_representation_would_make_the_cocycle_a_coboundary,,False
A4,mu_2,12,True,False,,2.4492935982947064e-16,False
A4,mu_3,1,False,True,rank_one_projective_representation_would_make_the_cocycle_a_coboundary,,False
A4,mu_3,12,True,False,,5.703597753175952e-16,False
finite_Heisenberg_2,mu_2,1,False,True,determinant_of_scalar_commutator_requires_rank_divisible_by_multiplier_order,,False
finite_Heisenberg_2,mu_2,2,True,False,,2.4492935982947064e-16,True
finite_Heisenberg_3,mu_3,1,False,True,determinant_of_scalar_commutator_requires_rank_divisible_by_multiplier_order,,False
finite_Heisenberg_3,mu_3,2,False,True,determinant_of_scalar_commutator_requires_rank_divisible_by_multiplier_order,,False
finite_Heisenberg_3,mu_3,3,True,False,,1.016121944792625e-15,True
finite_Heisenberg_4,mu_4,1,False,True,determinant_of_scalar_commutator_requires_rank_divisible_by_multiplier_order,,False
finite_Heisenberg_4,mu_4,2,False,True,determinant_of_scalar_commutator_requires_rank_divisible_by_multiplier_order,,False
finite_Heisenberg_4,mu_4,3,False,True,determinant_of_scalar_commutator_requires_rank_divisible_by_multiplier_order,,False
finite_Heisenberg_4,mu_4,4,True,False,,7.34788079488412e-16,True
