phase,method,runs,accuracy,chart_accuracy,ece
confirmation,canonicalize_pool_retransport_inferred,10,0.6716,0.67049999833107,0.0338263359169674
confirmation,chart_abstaining_structured_retransport,10,0.66745,0.67049999833107,0.031870239934308965
confirmation,context_blind_synchronization,10,0.22609999999999997,0.15069999992847444,0.19161425866103088
confirmation,ensemble_reference,10,0.22609999999999997,0.15069999992847444,0.19161425866103088
confirmation,generic_low_rank_context_adapter,10,0.3347,0.15069999992847444,0.13047953658337427
confirmation,generic_mixture_of_experts,10,0.21810000000000002,0.15069999992847444,0.30531463668218306
confirmation,parameter_matched_standard_cnn_chart_classifier,10,0.25245,0.14124999940395355,0.26746518580057504
confirmation,random_action_control,10,0.26075000000000004,0.15069999992847444,0.4282651036021511
confirmation,standard_cnn_chart_classifier,10,0.21810000000000002,0.15069999992847444,0.30531463668218306
confirmation,structured_group_router,10,0.6672,0.67049999833107,0.033422249916678165
confirmation,supplied_chart_oracle,10,0.7393000000000001,0.15069999992847444,0.027389804749118722
confirmation,trained_d4_equivariant_cnn_chart_classifier,10,0.6672,0.67049999833107,0.033422249916678165
confirmation,uncertainty_weighted_structured_retransport,10,0.62655,0.67049999833107,0.042726821444825355
confirmation,wrong_action_control,10,0.08735,0.67049999833107,0.6590778898217007
discovery,canonicalize_pool_retransport_inferred,5,0.683,0.6706999897956848,0.029047157743919628
discovery,chart_abstaining_structured_retransport,5,0.6820999999999999,0.6706999897956848,0.026967210698424532
discovery,context_blind_synchronization,5,0.23490000000000003,0.1512000009417534,0.1838025651126494
discovery,ensemble_reference,5,0.23490000000000003,0.1512000009417534,0.1838025651126494
discovery,generic_low_rank_context_adapter,5,0.3258,0.1512000009417534,0.12396184386856617
discovery,generic_mixture_of_experts,5,0.2271,0.1512000009417534,0.29350388798898325
discovery,parameter_matched_standard_cnn_chart_classifier,5,0.2779,0.13820000290870665,0.23710417210387452
discovery,random_action_control,5,0.25870000000000004,0.1512000009417534,0.4346336051088112
discovery,standard_cnn_chart_classifier,5,0.2271,0.1512000009417534,0.29350388798898325
discovery,structured_group_router,5,0.6849000000000001,0.6706999897956848,0.02974603974870137
discovery,supplied_chart_oracle,5,0.7485000000000002,0.1512000009417534,0.031601268289441334
discovery,trained_d4_equivariant_cnn_chart_classifier,5,0.6849000000000001,0.6706999897956848,0.02974603974870137
discovery,uncertainty_weighted_structured_retransport,5,0.6550999999999999,0.6706999897956848,0.04970957414383344
discovery,wrong_action_control,5,0.0944,0.6706999897956848,0.6624012757417548
