construction,operation,original_vertices,original_edges,original_faces,refined_vertices,refined_edges,refined_faces,projection,section,comparison_map_sha256
controlled_mu2,identity,4,16,64,4,16,64,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",15d56c8c0db039d760f728f5fd61d741aa85ef0693a96f63cadf700f4f0a3653
controlled_mu2,barycentric_subdivision,4,16,64,19,96,384,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",b5fd9091bcf1daed7c11d067632660489472ea0cadfa32b0850d173a95d32a06
controlled_mu2,face_subdivision,4,16,64,10,48,192,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",a2eb87acc0cf3c9f3c6798bfebdc232852dd729fb65b9c4860b3aeaa290da0e0
controlled_mu2,redundant_edge_insertion,4,16,64,7,32,128,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",f3a919d620a2a2d2e7643d9d9501053654a46f1e8f3b56ef9d6695eca26a5f41
controlled_mu2,common_refinement,4,16,64,37,192,768,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",25ad7b7e5e998d41d9efea5ce5b40bffcede67bfe17bdf714a13b9756a58511a
cyclic_carry_C2,identity,2,4,8,2,4,8,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",dcc3459957d4887e663e18fb65887880d6ac0fd7fbed2abf14b9b4ab64ce0ee3
cyclic_carry_C2,barycentric_subdivision,2,4,8,7,24,48,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",c9330052bae2860600397c892ac16f42f61bdbd7aff8f745aa4ea3474b22e563
cyclic_carry_C2,face_subdivision,2,4,8,4,12,24,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",bb09839ecf31596b4148a0d101c0fc3b8189455e7095568cc8aa6dadff01d3d6
cyclic_carry_C2,redundant_edge_insertion,2,4,8,3,8,16,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",9c68e2c4e24d6cfb33166e9ee261609c5c0cb8bb38bdde744c5401d48e3be9a4
cyclic_carry_C2,common_refinement,2,4,8,13,48,96,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",fe541daaf9aad6d140b8ee4e09042cb80fcffb8bd91497490c06bee1038f2f51
finite_Heisenberg_3,identity,9,81,729,9,81,729,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",d193c7c0d7b552878c15cefb4dc782820ded77240fdb5d0cd5a858bf3581f75c
finite_Heisenberg_3,barycentric_subdivision,9,81,729,49,486,4374,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",131f58cc3b7415c5127c2a98bc6c188a0c089086a3248240e0d39916b89720b3
finite_Heisenberg_3,face_subdivision,9,81,729,25,243,2187,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",b4bfa3f8c40dc5ec100fe83705ffcd2703fe715bf430e6d5075866ed29cc74a5
finite_Heisenberg_3,redundant_edge_insertion,9,81,729,17,162,1458,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",442ea32740edf439dd5d01d283c30aafca8dd6f9595db8740515ac869c7a470b
finite_Heisenberg_3,common_refinement,9,81,729,97,972,8748,"(original_bar_simplex,local_cell)->original_bar_simplex","original_bar_simplex->(original_bar_simplex,0)",c177662ea1559ccf7733358c17cacc81a041eec133a664a8fee3bbb579b8c952
