construction,operation,group_order,coefficient_group,normalized,closure_error,coboundary,nontrivial,class_order,projective_rank,projective_multiplication_error,prediction_equivalence_error,comparison_map_sha256,section_left_inverse_verified,execution_commit,source_sha256,command,seed
controlled_mu2,identity,4,mu_2,True,0,False,True,2,4,2.4492935982947064e-16,0.0,15d56c8c0db039d760f728f5fd61d741aa85ef0693a96f63cadf700f4f0a3653,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,50f05ced04e4b3867578ed9f6611eb07377b8d72e47ac038c4a304a53b01a7b4,python experiments/nontrivial_refinement_invariance.py,31000001
controlled_mu2,barycentric_subdivision,4,mu_2,True,0,False,True,2,4,2.4492935982947064e-16,0.0,b5fd9091bcf1daed7c11d067632660489472ea0cadfa32b0850d173a95d32a06,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,50f05ced04e4b3867578ed9f6611eb07377b8d72e47ac038c4a304a53b01a7b4,python experiments/nontrivial_refinement_invariance.py,31000001
controlled_mu2,face_subdivision,4,mu_2,True,0,False,True,2,4,2.4492935982947064e-16,0.0,a2eb87acc0cf3c9f3c6798bfebdc232852dd729fb65b9c4860b3aeaa290da0e0,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,50f05ced04e4b3867578ed9f6611eb07377b8d72e47ac038c4a304a53b01a7b4,python experiments/nontrivial_refinement_invariance.py,31000001
controlled_mu2,redundant_edge_insertion,4,mu_2,True,0,False,True,2,4,2.4492935982947064e-16,0.0,f3a919d620a2a2d2e7643d9d9501053654a46f1e8f3b56ef9d6695eca26a5f41,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,50f05ced04e4b3867578ed9f6611eb07377b8d72e47ac038c4a304a53b01a7b4,python experiments/nontrivial_refinement_invariance.py,31000001
controlled_mu2,common_refinement,4,mu_2,True,0,False,True,2,4,2.4492935982947064e-16,0.0,25ad7b7e5e998d41d9efea5ce5b40bffcede67bfe17bdf714a13b9756a58511a,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,50f05ced04e4b3867578ed9f6611eb07377b8d72e47ac038c4a304a53b01a7b4,python experiments/nontrivial_refinement_invariance.py,31000001
cyclic_carry_C2,identity,2,mu_2,True,0,False,True,2,2,0.0,0.0,dcc3459957d4887e663e18fb65887880d6ac0fd7fbed2abf14b9b4ab64ce0ee3,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,50f05ced04e4b3867578ed9f6611eb07377b8d72e47ac038c4a304a53b01a7b4,python experiments/nontrivial_refinement_invariance.py,31000001
cyclic_carry_C2,barycentric_subdivision,2,mu_2,True,0,False,True,2,2,0.0,0.0,c9330052bae2860600397c892ac16f42f61bdbd7aff8f745aa4ea3474b22e563,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,50f05ced04e4b3867578ed9f6611eb07377b8d72e47ac038c4a304a53b01a7b4,python experiments/nontrivial_refinement_invariance.py,31000001
cyclic_carry_C2,face_subdivision,2,mu_2,True,0,False,True,2,2,0.0,0.0,bb09839ecf31596b4148a0d101c0fc3b8189455e7095568cc8aa6dadff01d3d6,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,50f05ced04e4b3867578ed9f6611eb07377b8d72e47ac038c4a304a53b01a7b4,python experiments/nontrivial_refinement_invariance.py,31000001
cyclic_carry_C2,redundant_edge_insertion,2,mu_2,True,0,False,True,2,2,0.0,0.0,9c68e2c4e24d6cfb33166e9ee261609c5c0cb8bb38bdde744c5401d48e3be9a4,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,50f05ced04e4b3867578ed9f6611eb07377b8d72e47ac038c4a304a53b01a7b4,python experiments/nontrivial_refinement_invariance.py,31000001
cyclic_carry_C2,common_refinement,2,mu_2,True,0,False,True,2,2,0.0,0.0,fe541daaf9aad6d140b8ee4e09042cb80fcffb8bd91497490c06bee1038f2f51,True,1237f70e2276c249ee5cbc1eedb977fc1043db26,50f05ced04e4b3867578ed9f6611eb07377b8d72e47ac038c4a304a53b01a7b4,python experiments/nontrivial_refinement_invariance.py,31000001
