benchmark,method,mean_accuracy,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,peak_memory_mb,best_benchmark_accuracy,worst_case_regret,inference_overhead,lambda_regret,lambda_inference,practical_score
federated_frame,branch_pooling,0.882,7850.0,31400.0,4.0,4.0,3.0333176255226135e-05,0.5838016114143343,,0.882,0.0,0.0,0.0,0.0,0.882
federated_frame,branch_pooling,0.882,7850.0,31400.0,4.0,4.0,3.0333176255226135e-05,0.5838016114143343,,0.882,0.0,0.0,0.0,0.01,0.882
federated_frame,branch_pooling,0.882,7850.0,31400.0,4.0,4.0,3.0333176255226135e-05,0.5838016114143343,,0.882,0.0,0.0,0.0,0.05,0.882
federated_frame,branch_pooling,0.882,7850.0,31400.0,4.0,4.0,3.0333176255226135e-05,0.5838016114143343,,0.882,0.0,0.0,0.1,0.0,0.882
federated_frame,branch_pooling,0.882,7850.0,31400.0,4.0,4.0,3.0333176255226135e-05,0.5838016114143343,,0.882,0.0,0.0,0.1,0.01,0.882
federated_frame,branch_pooling,0.882,7850.0,31400.0,4.0,4.0,3.0333176255226135e-05,0.5838016114143343,,0.882,0.0,0.0,0.1,0.05,0.882
federated_frame,branch_pooling,0.882,7850.0,31400.0,4.0,4.0,3.0333176255226135e-05,0.5838016114143343,,0.882,0.0,0.0,0.25,0.0,0.882
federated_frame,branch_pooling,0.882,7850.0,31400.0,4.0,4.0,3.0333176255226135e-05,0.5838016114143343,,0.882,0.0,0.0,0.25,0.01,0.882
federated_frame,branch_pooling,0.882,7850.0,31400.0,4.0,4.0,3.0333176255226135e-05,0.5838016114143343,,0.882,0.0,0.0,0.25,0.05,0.882
federated_frame,c2m3_style_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.920798189938069e-05,0.7546088421656405,,0.882,0.0,0.0,0.0,0.0,0.882
federated_frame,c2m3_style_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.920798189938069e-05,0.7546088421656405,,0.882,0.0,0.0,0.0,0.01,0.882
federated_frame,c2m3_style_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.920798189938069e-05,0.7546088421656405,,0.882,0.0,0.0,0.0,0.05,0.882
federated_frame,c2m3_style_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.920798189938069e-05,0.7546088421656405,,0.882,0.0,0.0,0.1,0.0,0.882
federated_frame,c2m3_style_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.920798189938069e-05,0.7546088421656405,,0.882,0.0,0.0,0.1,0.01,0.882
federated_frame,c2m3_style_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.920798189938069e-05,0.7546088421656405,,0.882,0.0,0.0,0.1,0.05,0.882
federated_frame,c2m3_style_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.920798189938069e-05,0.7546088421656405,,0.882,0.0,0.0,0.25,0.0,0.882
federated_frame,c2m3_style_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.920798189938069e-05,0.7546088421656405,,0.882,0.0,0.0,0.25,0.01,0.882
federated_frame,c2m3_style_synchronization,0.882,7850.0,7850.0,1.0,1.0,3.920798189938069e-05,0.7546088421656405,,0.882,0.0,0.0,0.25,0.05,0.882
federated_frame,fedavg_raw_frame_weights,0.401,7850.0,7850.0,1.0,1.0,5.195802077651024e-05,1.0,,0.882,0.481,0.0,0.0,0.0,0.401
federated_frame,fedavg_raw_frame_weights,0.401,7850.0,7850.0,1.0,1.0,5.195802077651024e-05,1.0,,0.882,0.481,0.0,0.0,0.01,0.401
federated_frame,fedavg_raw_frame_weights,0.401,7850.0,7850.0,1.0,1.0,5.195802077651024e-05,1.0,,0.882,0.481,0.0,0.0,0.05,0.401
federated_frame,fedavg_raw_frame_weights,0.401,7850.0,7850.0,1.0,1.0,5.195802077651024e-05,1.0,,0.882,0.481,0.0,0.1,0.0,0.3529
federated_frame,fedavg_raw_frame_weights,0.401,7850.0,7850.0,1.0,1.0,5.195802077651024e-05,1.0,,0.882,0.481,0.0,0.1,0.01,0.3529
federated_frame,fedavg_raw_frame_weights,0.401,7850.0,7850.0,1.0,1.0,5.195802077651024e-05,1.0,,0.882,0.481,0.0,0.1,0.05,0.3529
federated_frame,fedavg_raw_frame_weights,0.401,7850.0,7850.0,1.0,1.0,5.195802077651024e-05,1.0,,0.882,0.481,0.0,0.25,0.0,0.28075000000000006
federated_frame,fedavg_raw_frame_weights,0.401,7850.0,7850.0,1.0,1.0,5.195802077651024e-05,1.0,,0.882,0.481,0.0,0.25,0.01,0.28075000000000006
federated_frame,fedavg_raw_frame_weights,0.401,7850.0,7850.0,1.0,1.0,5.195802077651024e-05,1.0,,0.882,0.481,0.0,0.25,0.05,0.28075000000000006
federated_frame,greedy_validation_merge,0.876,7850.0,7850.0,1.0,1.0,3.395904786884785e-05,0.6535862483083734,,0.882,0.006000000000000005,0.0,0.0,0.0,0.876
federated_frame,greedy_validation_merge,0.876,7850.0,7850.0,1.0,1.0,3.395904786884785e-05,0.6535862483083734,,0.882,0.006000000000000005,0.0,0.0,0.01,0.876
federated_frame,greedy_validation_merge,0.876,7850.0,7850.0,1.0,1.0,3.395904786884785e-05,0.6535862483083734,,0.882,0.006000000000000005,0.0,0.0,0.05,0.876
federated_frame,greedy_validation_merge,0.876,7850.0,7850.0,1.0,1.0,3.395904786884785e-05,0.6535862483083734,,0.882,0.006000000000000005,0.0,0.1,0.0,0.8754
