method,parameter_count,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,inference_multiplier,measured_inference_time_seconds,candidate_count,selector_validation_budget,is_single_model,is_branch_model,uses_supplied_context,uses_validation_data,uses_obstruction_data
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004730420187115669,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006996248848736286,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006895831320434809,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007329580839723349,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0005003330297768116,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007324160542339087,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006845418829470873,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006814170628786087,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00043000001460313797,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006748340092599392,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006831670179963112,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006795001681894064,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007307080086320639,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00039879116229712963,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0008380839135497808,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007691250648349524,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006822920404374599,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007193749770522118,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.000573999946936965,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006667920388281345,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007341669406741858,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006915000267326832,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007437919266521931,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00040549994446337223,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.000730917090550065,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007162499241530895,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006674169562757015,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00048450008034706116,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007412091363221407,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007345841731876135,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007010840345174074,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0003974158316850662,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007528751157224178,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0008122920989990234,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006815411616116762,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007651669438928366,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00041425018571317196,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007039171177893877,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0005069170147180557,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006780829280614853,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007555410265922546,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00048762490041553974,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.00036625005304813385,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0008962501306086779,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0008788330014795065,1,4000,True,False,False,False,False
c2m3_synchronized,577,577,577,1.0,1,1.0,0.0004184169229120016,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0006581251509487629,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.000696083065122366,1,4000,True,False,False,False,False
c2m3_synchronized,2177,2177,2177,1.0,1,1.0,0.0007256658282130957,1,4000,True,False,False,False,False
