family,width,method,n_seeds,mean_test_accuracy,mean_test_loss,parameter_multiplier,branch_count,inference_multiplier
mu2_coboundary,32,c2m3_synchronized,30,1.0,0.407133964848639,1.0,1,1.0
mu2_coboundary,32,distilled_single_model_control,30,1.0,0.407133964848639,1.0,1,1.0
mu2_coboundary,32,ensemble_reference,30,1.0,0.407133964848639,4.0,4,4.0
mu2_coboundary,32,git_rebasin_pairwise,30,1.0,0.407133964848639,1.0,1,1.0
mu2_coboundary,32,no_twist_branch_control,30,1.0,0.407133964848639,2.0,2,2.0
mu2_coboundary,32,ordinary_weight_average,30,0.500975,0.6931471805599454,1.0,1,1.0
mu2_coboundary,32,parameter_matched_wide_control,30,0.9714791666666667,0.47611858101171484,2.0606585788561524,1,1.0
mu2_coboundary,32,random_branch_control,30,0.4,0.8852582120069066,2.0,2,2.0
mu2_coboundary,32,supplied_context_q2_branch_predictor,30,1.0,0.407133964848639,2.0,2,2.0
mu2_coboundary,32,validation_face_table_router,30,1.0,0.407133964848639,2.0,2,2.0
mu2_coboundary,32,validation_global_branch_selector,30,1.0,0.407133964848639,2.0,2,2.0
mu2_coboundary,32,wrong_context_control,30,1.0,0.407133964848639,2.0,2,2.0
mu2_coboundary,32,wrong_twist_control,30,0.0,1.2043116068545412,2.0,2,2.0
mu2_coboundary,64,c2m3_synchronized,30,1.0,0.40737381205419637,1.0,1,1.0
mu2_coboundary,64,distilled_single_model_control,30,1.0,0.40737381205419637,1.0,1,1.0
mu2_coboundary,64,ensemble_reference,30,1.0,0.40737381205419637,4.0,4,4.0
mu2_coboundary,64,git_rebasin_pairwise,30,1.0,0.40737381205419637,1.0,1,1.0
mu2_coboundary,64,no_twist_branch_control,30,1.0,0.40737381205419637,2.0,2,2.0
mu2_coboundary,64,ordinary_weight_average,30,0.5010791666666666,0.6931471805599454,1.0,1,1.0
mu2_coboundary,64,parameter_matched_wide_control,30,0.9770208333333333,0.47754399773565753,2.0307762976573267,1,1.0
mu2_coboundary,64,random_branch_control,30,0.5,0.806414999177179,2.0,2,2.0
mu2_coboundary,64,supplied_context_q2_branch_predictor,30,1.0,0.40737381205419637,2.0,2,2.0
mu2_coboundary,64,validation_face_table_router,30,1.0,0.40737381205419637,2.0,2,2.0
mu2_coboundary,64,validation_global_branch_selector,30,1.0,0.40737381205419637,2.0,2,2.0
mu2_coboundary,64,wrong_context_control,30,1.0,0.40737381205419637,2.0,2,2.0
mu2_coboundary,64,wrong_twist_control,30,0.0,1.2042015144471017,2.0,2,2.0
mu2_nontrivial_h2,32,c2m3_synchronized,30,0.75,0.6070191424133251,1.0,1,1.0
mu2_nontrivial_h2,32,distilled_single_model_control,30,0.75,0.6239080273986058,1.0,1,1.0
mu2_nontrivial_h2,32,ensemble_reference,30,0.75,0.6070191424133251,4.0,4,4.0
mu2_nontrivial_h2,32,git_rebasin_pairwise,30,0.75,0.6070191424133251,1.0,1,1.0
mu2_nontrivial_h2,32,no_twist_branch_control,30,0.75,0.6070191424133251,2.0,2,2.0
mu2_nontrivial_h2,32,ordinary_weight_average,30,0.5000958333333333,0.6931471805599454,1.0,1,1.0
mu2_nontrivial_h2,32,parameter_matched_wide_control,30,0.7390208333333333,0.6130059393892398,2.0606585788561524,1,1.0
mu2_nontrivial_h2,32,random_branch_control,30,0.45,0.8474904817725897,2.0,2,2.0
mu2_nontrivial_h2,32,supplied_context_q2_branch_predictor,30,1.0,0.4063172810939253,2.0,2,2.0
mu2_nontrivial_h2,32,validation_face_table_router,30,1.0,0.4063172810939253,2.0,2,2.0
mu2_nontrivial_h2,32,validation_global_branch_selector,30,0.75,0.6070191424133251,2.0,2,2.0
mu2_nontrivial_h2,32,wrong_context_control,30,0.5,0.8066034681116983,2.0,2,2.0
mu2_nontrivial_h2,32,wrong_twist_control,30,0.5,0.8071597953836275,2.0,2,2.0
mu2_nontrivial_h2,64,c2m3_synchronized,30,0.75,0.6075702474399647,1.0,1,1.0
mu2_nontrivial_h2,64,distilled_single_model_control,30,0.75,0.6239919397395607,1.0,1,1.0
mu2_nontrivial_h2,64,ensemble_reference,30,0.75,0.6075702474399647,4.0,4,4.0
mu2_nontrivial_h2,64,git_rebasin_pairwise,30,0.75,0.6075702474399647,1.0,1,1.0
mu2_nontrivial_h2,64,no_twist_branch_control,30,0.75,0.6075702474399647,2.0,2,2.0
mu2_nontrivial_h2,64,ordinary_weight_average,30,0.49961249999999996,0.6931471805599454,1.0,1,1.0
