method,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds_512,inference_multiplier,peak_memory_mb,candidate_count,selector_validation_budget
c2m3_greedy_soup,29690.0,29690.0,1.0,1.0,0.011970873299287586,0.9899670550895532,426.34375,1.0,1000.0
c2m3_strict_synchronization,29690.0,29690.0,1.0,1.0,0.011961992381839025,0.9892644382443418,426.34375,1.0,1000.0
ensemble_reference,29690.0,103915.0,3.5,3.5,0.04250598546544396,3.5162262156166406,426.34375,1.0,1000.0
git_rebasin_style_pairwise,29690.0,29690.0,1.0,1.0,0.012023425331183968,0.9941224355329649,426.34375,1.0,1000.0
global_monomial,29690.0,29690.0,1.0,1.0,0.011954590953731239,0.9886332699496465,426.34375,1.0,1000.0
monomial_greedy_soup,29690.0,29690.0,1.0,1.0,0.011971048649866088,0.990173389007001,426.34375,1.0,1000.0
optimized_monomial,29690.0,29690.0,1.0,1.0,0.011971256195101837,0.9899274999138775,426.34375,1.0,1000.0
ordinary_greedy_soup,29690.0,29690.0,1.0,1.0,0.012025171894735292,0.9942110576440313,426.34375,1.0,1000.0
ordinary_weight_average,29690.0,29690.0,1.0,1.0,0.012094609029979083,1.0,426.34375,1.0,1000.0
randomly_augmented_candidate_union,29690.0,29690.0,1.0,1.0,0.012010263527433028,0.9932181304444438,426.34375,18.0,1000.0
raw_monomial_alignment,29690.0,29690.0,1.0,1.0,0.011956626103104353,0.9887696832522359,426.34375,1.0,1000.0
shrinkage_monomial,29690.0,29690.0,1.0,1.0,0.011958927412827763,0.9889434585647398,426.34375,1.0,1000.0
twistedmerge_exact_gauge_soup_selector,29690.0,29690.0,1.0,1.0,0.012023172188006909,0.9943382881661675,426.34375,13.0,1000.0
union_candidate_soup,29690.0,29690.0,1.0,1.0,0.011994079125967453,0.9920970136916618,426.34375,14.0,1000.0
