method,baseline,n_pairs,mean_accuracy_delta,accuracy_delta_ci_low,accuracy_delta_ci_high,mean_loss_delta,wins,ties,losses
c2m3_greedy_soup,ordinary_greedy_soup,120,-0.00037666666666666496,-0.000761692003919679,8.358670586349122e-06,0.006153192365169522,1,114,5
c2m3_strict_synchronization,ordinary_greedy_soup,120,-0.04535083333333333,-0.05227306828418819,-0.038428598382478474,0.2208521990104516,0,0,120
ensemble_reference,ordinary_greedy_soup,120,0.007790000000000001,0.006381443107011893,0.009198556892988109,-0.016598512910207117,112,0,8
git_rebasin_style_pairwise,ordinary_greedy_soup,120,-0.04485166666666666,-0.05164273325912973,-0.03806060007420359,0.22292704678177833,0,0,120
global_monomial,ordinary_greedy_soup,120,-0.030354999999999997,-0.03478936761908352,-0.025920632380916474,0.20243408420880638,0,0,120
monomial_greedy_soup,ordinary_greedy_soup,120,-0.00026499999999999766,-0.0005364453673411622,6.445367341166976e-06,0.005546836549838385,3,112,5
optimized_monomial,ordinary_greedy_soup,120,-0.0366175,-0.041864604450785305,-0.03137039554921469,0.041288470352888094,0,0,120
ordinary_weight_average,ordinary_greedy_soup,120,-0.1909775,-0.2098338365080314,-0.1721211634919686,0.8597635116640726,0,0,120
randomly_augmented_candidate_union,ordinary_greedy_soup,120,-0.0006824999999999989,-0.0011117055814833597,-0.0002532944185166381,0.02677609383463859,24,50,46
raw_monomial_alignment,ordinary_greedy_soup,120,-0.0375025,-0.04386672019761459,-0.031138279802385413,0.20870461959520978,0,0,120
shrinkage_monomial,ordinary_greedy_soup,120,-0.03048249999999999,-0.03485777115347957,-0.026107228846520402,0.20023618299682935,0,0,120
twistedmerge_exact_gauge_soup_selector,ordinary_greedy_soup,120,-0.001398333333333332,-0.002065514353932963,-0.0007311523127337009,0.03156181763132413,24,43,53
union_candidate_soup,ordinary_greedy_soup,120,-0.000657499999999997,-0.0010852426794276191,-0.00022975732057237472,0.017936418179273605,19,58,43
