summary_type,scope,n_models,width,method,baseline,n_rows,n_seeds,mean_accuracy,accuracy_standard_error,mean_loss,mean_merge_degradation,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_greedy_soup,symmetry_status,is_single_model,capacity_matched_to_weight_average,comparison,claim_label,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,selector_no_test_leakage,selector_choice_counts,selector_behavior_reference,selector_chosen_test_better,selector_chosen_test_tied,selector_chosen_test_worse,mean_selected_alpha,fraction_alpha_zero,fraction_alpha_one_or_more,mean_finite_selected_tau,fraction_tau_infinite,soup_mean_ingredient_count,selected_type_examples,target,predictor,pearson,spearman,claim,claim_decision,claim_reason
method_summary,overall,all,all,c2m3_greedy_soup,,120.0,20.0,0.8568683333333332,0.002017875294697035,0.6505630082289378,0.0019591666666666655,0.04497416666666666,-0.00037666666666666496,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,c2m3_permutation,,120.0,20.0,0.8118941666666667,0.005149233754401683,0.8652620148742199,0.046933333333333334,0.0,-0.04535083333333333,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,ensemble_upper_bound,,120.0,20.0,0.865035,0.0014719761531757937,0.627811302953561,-0.0062075,0.053140833333333325,0.007790000000000001,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,git_rebasin_pairwise,,120.0,20.0,0.8123933333333333,0.005030607262591549,0.8673368626455465,0.04643416666666666,0.0004991666666666682,-0.04485166666666666,pairwise_reference_permutation_single_model,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,global_monomial_greedy_soup,,120.0,20.0,0.85685,0.002000179263674817,0.6545283058011531,0.001977499999999998,0.044955833333333334,-0.0003949999999999972,global_exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,global_monomial_scale,,120.0,20.0,0.82689,0.003943685411115945,0.8468439000725746,0.031937499999999994,0.014995833333333335,-0.030354999999999997,validation_selected_global_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,greedy_soup,,120.0,20.0,0.857245,0.002005156465461085,0.6444098158637682,0.0015825000000000006,0.04535083333333333,0.0,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,improved_validated_selector,,120.0,20.0,0.8558466666666666,0.0019487893725783033,0.6759716334950924,0.0029808333333333327,0.0439525,-0.001398333333333332,validation_selected_single_model_or_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,monomial_scale,,120.0,20.0,0.8197425,0.004827072443919973,0.853114435458978,0.039085,0.00784833333333333,-0.0375025,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,monomial_scaled_greedy_soup,,120.0,20.0,0.85698,0.0019893426134312423,0.6499566524136067,0.0018474999999999982,0.04508583333333333,-0.00026499999999999766,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
