method,n_seeds,mean_geodesic_error_degrees,mean_pose_accuracy_under_10deg,accuracy_ci_low,accuracy_ci_high
ensemble_reference,3,3.9209074300879423,0.998046875,0.998046875,0.998046875
sign_invariant_quadratic_qqt,3,3.9209074300879423,0.998046875,0.998046875,0.998046875
two_branch_q_minus_q_lift,3,3.9209074300879423,0.998046875,0.998046875,0.998046875
c2m3_style_strict_alignment,3,3.9216778224402504,0.998046875,0.998046875,0.998046875
quaternion_sign_synchronization,3,3.9216778224402504,0.998046875,0.998046875,0.998046875
parameter_matched_wide_control,3,4.858083226666542,0.9856770833333334,0.9844010416666668,0.986953125
raw_weight_average,3,7.821818980855805,0.7630208333333334,0.7299174496467412,0.7961242170199255
random_two_branch_control,3,7.833376113768128,0.7473958333333334,0.7317155708165421,0.7630760958501246
so3_synchronization,3,92.04731146431162,0.052083333333333336,0.04288166601574295,0.061285000650923724
wrong_sign_control,3,176.573667525299,0.0,0.0,0.0
