artifact,kind,status,invalid_scope,retained_scope,reason
reports/controlled_nonabelian_holonomy_report.md,report,INVALID_AS_EMPIRICAL_ACCURACY_EVIDENCE,accuracy/loss/selector content,finite-group definitions and standalone residuals only,method-specific target accuracies and label-dependent logits
reports/csv/controlled_nonabelian_holonomy.csv,raw_csv,INVALID_AS_EMPIRICAL_ACCURACY_EVIDENCE,all empirical metrics,group metadata only,logits_with_target_accuracy reads labels before predictions
reports/csv/controlled_nonabelian_holonomy_summary.csv,summary_csv,INVALID_AS_EMPIRICAL_ACCURACY_EVIDENCE,all empirical summaries,none,derived from prescribed target accuracies
reports/csv/controlled_nonabelian_holonomy_paired_stats.csv,paired_stats_csv,INVALID_AS_EMPIRICAL_ACCURACY_EVIDENCE,all paired accuracy statistics,none,compares prescribed method accuracies
reports/next_benchmarks/two_loop_holonomy_config.json,execution_config,PROVENANCE_RECORDED,,complete config,0a41f76d3c8a77acc3a47514c2639b81fbc5b280
reports/next_benchmarks/central_reproduction_manifest.json,execution_config,PROVENANCE_RECORDED,,complete config,0a41f76d3c8a77acc3a47514c2639b81fbc5b280
reports/next_benchmarks/context_router_config.json,execution_config,PROVENANCE_RECORDED,,complete config,8c369a6f1a7f08b7443626ae1dece7d25fc06ddf
reports/next_benchmarks/matched_selector_config.json,execution_config,PROVENANCE_RECORDED,,complete config,8c369a6f1a7f08b7443626ae1dece7d25fc06ddf
reports/next_benchmarks/diagnostic_prediction_config.json,execution_config,PROVENANCE_RECORDED,,complete config,8c369a6f1a7f08b7443626ae1dece7d25fc06ddf
reports/next_benchmarks/pretrained_merge_config.json,execution_config,PROVENANCE_RECORDED,,complete config,8c369a6f1a7f08b7443626ae1dece7d25fc06ddf
