method,actual_trainable_parameters,stored_parameters,parameter_multiplier,branch_count,measured_inference_time_seconds,inference_multiplier,candidate_count,selector_validation_budget
branch_orbit_lift_invariant_pooling,343.0,2450.0,7.0,7.0,5.0362420734018085e-06,0.8221946649779024,1.0,1000.0
branch_regular_lift_invariant_pooling,343.0,2450.0,7.0,7.0,4.7508091665804385e-06,0.7752769147108798,1.0,1000.0
c2m3_strict_synchronization,343.0,343.0,1.0,1.0,4.814376588910818e-06,0.7789328124633852,1.0,1000.0
ensemble_reference,343.0,2450.0,7.0,7.0,5.099584814161062e-06,0.8354848064678997,1.0,1000.0
git_rebasin_style_pairwise,343.0,343.0,1.0,1.0,5.8069231454282995e-06,0.9354547531507064,1.0,1000.0
greedy_soup,343.0,343.0,1.0,1.0,4.208685364574194e-05,6.88802701816583,1.0,1000.0
learned_feature_router,400.0,2507.0,7.182750582750583,7.0,4.867482930421829e-06,0.7961998809022546,1.0,1000.0
naive_regular_representation_without_pooling,343.0,2450.0,7.0,7.0,3.193183802068234e-05,5.1655889218092454,1.0,1000.0
ordinary_weight_average,343.0,343.0,1.0,1.0,6.411212962120772e-06,1.0,1.0,1000.0
random_same_branch_count_control,343.0,2450.0,7.0,7.0,5.189415533095598e-06,0.8433175545008007,1.0,1000.0
supplied_context_oracle,343.0,2450.0,7.0,7.0,4.947468405589461e-06,0.807022334550538,1.0,1000.0
twistedmerge_hodge_lr,343.0,2450.0,7.0,7.0,4.887718241661787e-06,0.7934680158788313,1.0,1000.0
uniform_pooling_without_correct_action,343.0,2450.0,7.0,7.0,5.010201130062342e-06,0.8145379329349897,1.0,1000.0
validation_only_safe_selector,343.0,343.0,1.0,1.0,4.8835377674549814e-06,0.7963141378759996,6.0,1000.0
wrong_generator_control,343.0,343.0,1.0,1.0,4.921258660033345e-06,0.7963748284632942,1.0,1000.0
wrong_group_action_control,343.0,343.0,1.0,1.0,5.0916429609060284e-06,0.8229801738016239,1.0,1000.0
wrong_order_control,343.0,343.0,1.0,1.0,5.345263052731752e-06,0.8655430119485829,1.0,1000.0
