seed,epsilon,strategy,parameter_multiplier,active_parameters,branches,inference_multiplier,output_type,stored_checkpoint_bytes,training_compute,calibration_batches,merge_compute_seconds,identity_evaluation_seconds,identity_evaluation_batches,validation_evaluation_count,process_peak_rss_mb
0,1e-05,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.026156209176406264,0.1175109171308577,8,0,658.140625
0,1e-05,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.01026524999178946,0.11078029195778072,8,0,658.140625
0,1e-05,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.008633832912892103,0.09848562418483198,8,0,658.140625
0,1e-05,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.009585999883711338,0.11012670886702836,8,0,695.296875
0,1e-05,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.00786291598342359,0.09912329283542931,8,0,731.109375
0,1e-05,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.06403083307668567,0.09926083288155496,8,0,731.109375
0,1e-05,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.20105795795097947,0.10065354104153812,8,0,731.109375
0,1e-05,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.0011169170029461384,0.00509870913811028,8,0,731.109375
0,0.001,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.0208383749704808,0.10029775137081742,8,0,737.84375
0,0.001,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.0053861248306930065,0.10002366686239839,8,0,737.84375
0,0.001,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.006612415891140699,0.10177437495440245,8,0,737.84375
0,0.001,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.006695500109344721,0.09839729219675064,8,0,737.84375
0,0.001,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.0064746669959276915,0.09903287491761148,8,0,737.84375
0,0.001,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.05438850005157292,0.10954349883832037,8,0,737.84375
0,0.001,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.219070749823004,0.10093462513759732,8,0,737.84375
0,0.001,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.0002490829210728407,0.006118415854871273,8,0,737.84375
0,0.1,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.020870125154033303,0.10263379104435444,8,0,737.84375
0,0.1,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005246291868388653,0.11095295893028378,8,0,737.84375
0,0.1,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005404042080044746,0.10964279202744365,8,0,737.84375
0,0.1,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005079875001683831,0.10573233291506767,8,0,738.875
0,0.1,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005102875176817179,0.10677933390252292,8,0,738.875
0,0.1,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.05178208299912512,0.09845158294774592,8,0,738.875
0,0.1,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.1924454579129815,0.09932887414470315,8,0,738.875
0,0.1,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.0001990830060094595,0.0038782088086009026,8,0,738.875
1,1e-05,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.021424666978418827,0.09968079184181988,8,0,738.875
1,1e-05,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005311874905601144,0.09994912496767938,8,0,738.875
1,1e-05,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005068333121016622,0.11040008394047618,8,0,738.875
1,1e-05,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005072374828159809,0.09892608411610126,8,0,738.875
1,1e-05,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005398791981860995,0.11348133278079331,8,0,738.875
1,1e-05,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.05219579208642244,0.1028032919857651,8,0,738.875
1,1e-05,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.19498450006358325,0.10651108413003385,8,0,738.875
1,1e-05,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.0002088751643896103,0.003934207838028669,8,0,738.875
1,0.001,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.020622916985303164,0.11106166709214449,8,0,738.875
1,0.001,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005241458071395755,0.11196337500587106,8,0,738.875
1,0.001,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.0057335421442985535,0.09937037504278123,8,0,738.875
1,0.001,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.0055725418496876955,0.09919783286750317,8,0,738.875
1,0.001,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005539625184610486,0.1320255419705063,8,0,738.875
1,0.001,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.05906670796684921,0.11784562491811812,8,0,738.875
1,0.001,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.19210258405655622,0.11625137482769787,8,0,738.875
1,0.001,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.0001991249155253172,0.004909166833385825,8,0,738.875
1,0.1,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.020791708026081324,0.10182949900627136,8,0,738.875
1,0.1,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005319332936778665,0.09853708278387785,8,0,738.875
1,0.1,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005093582905828953,0.09867858421057463,8,0,738.875
1,0.1,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005150583107024431,0.11006120685487986,8,0,738.875
1,0.1,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005661916919052601,0.12460370687767863,8,0,738.875
1,0.1,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.05174916610121727,0.11353966686874628,8,0,738.875
1,0.1,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.19575425004586577,0.11239737481810153,8,0,738.875
1,0.1,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.0002377079799771309,0.00476816575974226,8,0,738.875
2,1e-05,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.033965625101700425,0.1007385840639472,8,0,738.875
2,1e-05,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.007290667155757546,0.10289133293554187,8,0,738.875
2,1e-05,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.0063149998895823956,0.09889591694809496,8,0,738.875
2,1e-05,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005843833088874817,0.09915466723032296,8,0,738.875
2,1e-05,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.01513579091988504,0.09881329187192023,8,0,738.875
2,1e-05,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.061202083015814424,0.10067970887757838,8,0,738.875
2,1e-05,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.23177437507547438,0.10374716715887189,8,0,738.875
2,1e-05,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.00022425013594329357,0.005163166206330061,8,0,738.875
2,0.001,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.020401458023115993,0.09934883401729167,8,0,738.875
2,0.001,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005230000009760261,0.10664904094301164,8,0,738.875
2,0.001,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.0052386249881237745,0.11717266589403152,8,0,738.875
2,0.001,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.0050467089749872684,0.10225645801983774,8,0,738.875
2,0.001,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005041999975219369,0.09987258375622332,8,0,738.875
2,0.001,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.051795708015561104,0.09835683391429484,8,0,738.875
2,0.001,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.19144741701893508,0.10162704112008214,8,0,738.875
2,0.001,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.00020679202862083912,0.003949125995859504,8,0,738.875
2,0.1,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.020152624929323792,0.10642383387312293,8,0,738.875
2,0.1,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005195374833419919,0.11658904072828591,8,0,738.875
2,0.1,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005510707851499319,0.12756583304144442,8,0,738.875
2,0.1,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.006318750092759728,0.1005780000705272,8,0,738.875
2,0.1,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.006138249998912215,0.09996158280409873,8,0,738.875
2,0.1,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.07256629108451307,0.09940012590959668,8,0,738.875
2,0.1,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.23242654209025204,0.11070033395662904,8,0,738.875
2,0.1,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.00021979212760925293,0.0041596251539886,8,0,738.875
3,1e-05,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.020460500149056315,0.11102291592396796,8,0,738.875
3,1e-05,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005243040854111314,0.11060337512753904,8,0,738.875
3,1e-05,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.006763790966942906,0.10651133302599192,8,0,738.875
3,1e-05,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.006547291995957494,0.11360912397503853,8,0,738.875
3,1e-05,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.006091666175052524,0.10063820821233094,8,0,738.875
3,1e-05,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.05350937484763563,0.09940533409826458,8,0,738.875
3,1e-05,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.19697166699916124,0.09947766689583659,8,0,738.875
3,1e-05,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.0002424588892608881,0.003885126207023859,8,0,738.875
3,0.001,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.02255375008098781,0.09972366690635681,8,0,738.875
3,0.001,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005496749887242913,0.09840629203245044,8,0,738.875
3,0.001,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005079499911516905,0.10151495900936425,8,0,738.875
3,0.001,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005035000154748559,0.0978114998433739,8,0,738.875
3,0.001,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005044749937951565,0.09911262523382902,8,0,738.875
3,0.001,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.052256250055506825,0.0985140420962125,8,0,738.875
3,0.001,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.20781487482599914,0.11183566693216562,8,0,738.875
3,0.001,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.00021004211157560349,0.003921207971870899,8,0,738.875
3,0.1,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.020575165981426835,0.10072904196567833,8,0,738.875
3,0.1,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005189665826037526,0.10062425001524389,8,0,738.875
3,0.1,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005104165989905596,0.11105849919840693,8,0,738.875
3,0.1,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005093000130727887,0.09896924998611212,8,0,738.875
3,0.1,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005050875013694167,0.09930237499065697,8,0,738.875
3,0.1,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.051566709065809846,0.09988674987107515,8,0,738.875
3,0.1,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,32,0.19269779208116233,0.09913495811633766,8,0,738.875
3,0.1,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.00021283305250108242,0.00394766591489315,8,0,738.875
4,1e-05,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.020109832985326648,0.10202083410695195,8,0,738.875
