seed,epsilon,strategy,parameter_multiplier,active_parameters,branches,inference_multiplier,output_type,stored_checkpoint_bytes,training_compute,calibration_batches,merge_compute_seconds,identity_evaluation_seconds,identity_evaluation_batches,validation_evaluation_count,process_peak_rss_mb
0,1e-05,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.026394665939733386,0.08696758397854865,4,0,606.515625
0,1e-05,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.006548166973516345,0.08729687496088445,4,0,606.515625
0,1e-05,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.007820250000804663,0.052077750908210874,4,0,641.1875
0,1e-05,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.013404083903878927,0.050749334041029215,4,0,678.5625
0,1e-05,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.010802708100527525,0.05128733301535249,4,0,720.828125
0,1e-05,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,4,0.056506500113755465,0.05049712397158146,4,0,727.953125
0,1e-05,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.06526554212905467,0.04998095822520554,4,0,727.953125
0,1e-05,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.00028770905919373035,0.0020924180280417204,4,0,728.0
0,0.1,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.021047957940027118,0.05004029185511172,4,0,730.65625
0,0.1,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005573707865551114,0.04981600004248321,4,0,730.671875
0,0.1,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.006588625023141503,0.054858125979080796,4,0,730.671875
0,0.1,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.006634667050093412,0.0707855832297355,4,0,730.671875
0,0.1,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.006803207797929645,0.05704333400353789,4,0,730.671875
0,0.1,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,4,0.03088262490928173,0.06037600012496114,4,0,730.671875
0,0.1,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.052261667093262076,0.05723124905489385,4,0,730.671875
0,0.1,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.00020200014114379883,0.0025140000507235527,4,0,730.671875
1,1e-05,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.020246334141120315,0.051969749853014946,4,0,730.78125
1,1e-05,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005298499949276447,0.04987012501806021,4,0,730.78125
1,1e-05,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005370457889512181,0.050537124974653125,4,0,730.78125
1,1e-05,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.00506445812061429,0.055058541940525174,4,0,739.96875
1,1e-05,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005029292078688741,0.059757084120064974,4,0,739.96875
1,1e-05,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,4,0.028497457969933748,0.05432587489485741,4,0,739.96875
1,1e-05,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.05367924994789064,0.05074845813214779,4,0,739.96875
1,1e-05,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.00020537502132356167,0.001961375121027231,4,0,739.96875
1,0.1,permutation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.020170625066384673,0.05097866803407669,4,0,739.96875
1,0.1,frozen,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005264832871034741,0.04958758386783302,4,0,739.96875
1,0.1,running,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005097875138744712,0.04970895778387785,4,0,739.96875
1,0.1,affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005083832889795303,0.050009709084406495,4,0,739.96875
1,0.1,running_affine,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,0,0.005360458046197891,0.05031329090707004,4,0,739.96875
1,0.1,post_merge_recalibration,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,4,0.028547750087454915,0.049412416061386466,4,0,739.96875
1,0.1,complete_recomputation,1.0,11181642,1,1.0,same_capacity_single_model,44765128,none,8,0.05405641603283584,0.05751837510615587,4,0,739.96875
1,0.1,no_batchnorm_control,1.0,1898,1,1.0,same_capacity_single_model,7592,none,0,0.0002180000301450491,0.0027728320565074682,4,0,739.96875
