strategy,mode,epsilon,n_seeds,n_rows,max_overall_logit_error,mean_max_logit_error,mean_absolute_logit_error,mean_relative_output_error,max_prediction_disagreement,purported_exact,all_exactness_checks_passed,capacity
permutation,eval,1e-05,2,2,2.3543834686279297e-06,2.201646566390991e-06,5.32204296632699e-07,1.5023819324690774e-06,0.0,True,True,same_architecture_same_parameter_count
permutation,train,1e-05,2,2,3.670156002044678e-05,3.569573163986206e-05,1.2308155419304967e-05,2.4033361404631884e-05,0.0,True,True,same_architecture_same_parameter_count
frozen,eval,1e-05,2,2,0.6982078552246094,0.6690413951873779,0.2334505245089531,0.6490300138582832,0.75,False,False,same_architecture_same_parameter_count
frozen,train,1e-05,2,2,0.0008523464202880859,0.0006552785634994507,0.0001529772998765111,0.0003063038404767467,0.125,False,False,same_architecture_same_parameter_count
running,eval,1e-05,2,2,0.00029206275939941406,0.0002458244562149048,7.614488640683703e-05,0.00021231143507547719,0.0,False,False,same_architecture_same_parameter_count
running,train,1e-05,2,2,0.0008523464202880859,0.0006552785634994507,0.0001529772998765111,0.0003063038404767467,0.125,False,False,same_architecture_same_parameter_count
affine,eval,1e-05,2,2,1.9073486328125e-06,1.6689300537109375e-06,4.70574008204494e-07,1.3093497638081843e-06,0.0,True,True,same_architecture_same_parameter_count
affine,train,1e-05,2,2,1.9403131008148193,1.8244366645812988,0.5264098644256592,1.0419012328261288,0.875,False,False,same_architecture_same_parameter_count
running_affine,eval,1e-05,2,2,1.9073486328125e-06,1.8551945686340332e-06,4.91528780344197e-07,1.3523776800908048e-06,0.0,True,True,same_architecture_same_parameter_count
running_affine,train,1e-05,2,2,0.007635295391082764,0.005960062146186829,0.0015061169397085905,0.00300546505360021,0.0,False,False,same_architecture_same_parameter_count
post_merge_recalibration,eval,1e-05,2,2,0.46865224838256836,0.4369174540042877,0.1312357485294342,0.3683377636223638,0.625,False,False,same_architecture_same_parameter_count
post_merge_recalibration,train,1e-05,2,2,0.0008523464202880859,0.0006552785634994507,0.0001529772998765111,0.0003063038404767467,0.125,False,False,same_architecture_same_parameter_count
complete_recomputation,eval,1e-05,2,2,0.0002917051315307617,0.0002458244562149048,7.613357229274698e-05,0.00021228412557406918,0.0,False,False,same_architecture_same_parameter_count
complete_recomputation,train,1e-05,2,2,0.0008523464202880859,0.0006552785634994507,0.0001529772998765111,0.0003063038404767467,0.125,False,False,same_architecture_same_parameter_count
no_batchnorm_control,eval,1e-05,2,2,5.960464477539063e-08,5.960464477539063e-08,5.731999541680466e-09,4.321369679921124e-08,0.0,True,True,same_architecture_same_parameter_count
no_batchnorm_control,train,1e-05,2,2,5.960464477539063e-08,5.960464477539063e-08,5.731999541680466e-09,4.321369679921124e-08,0.0,True,True,same_architecture_same_parameter_count
permutation,eval,0.1,2,2,7.897615432739258e-07,7.227063179016113e-07,2.810920705087483e-07,1.4234128913981598e-06,0.0,True,True,same_architecture_same_parameter_count
permutation,train,0.1,2,2,7.62939453125e-06,7.256865501403809e-06,2.2550317453351454e-06,7.69770951257973e-06,0.0,True,True,same_architecture_same_parameter_count
frozen,eval,0.1,2,2,0.362212598323822,0.34332016110420227,0.12587863206863403,0.6343342502276359,0.625,False,False,same_architecture_same_parameter_count
frozen,train,0.1,2,2,0.6400705575942993,0.6318790018558502,0.1731773316860199,0.5984854271257583,0.375,False,False,same_architecture_same_parameter_count
running,eval,0.1,2,2,0.1442476212978363,0.12003901228308678,0.03970913030207157,0.19450045423140905,0.5,False,False,same_architecture_same_parameter_count
running,train,0.1,2,2,0.6400705575942993,0.6318790018558502,0.1731773316860199,0.5984854271257583,0.375,False,False,same_architecture_same_parameter_count
affine,eval,0.1,2,2,9.5367431640625e-07,8.866190910339355e-07,2.3861648656975376e-07,1.212564562109191e-06,0.0,True,True,same_architecture_same_parameter_count
affine,train,0.1,2,2,1.015385389328003,0.906764954328537,0.28163453936576843,0.9938685272677406,0.75,False,False,same_architecture_same_parameter_count
running_affine,eval,0.1,2,2,1.0132789611816406e-06,8.791685104370117e-07,2.277432926689471e-07,1.146096684124191e-06,0.0,True,True,same_architecture_same_parameter_count
running_affine,train,0.1,2,2,0.7297458052635193,0.670173168182373,0.205010287463665,0.7118800829076558,0.625,False,False,same_architecture_same_parameter_count
post_merge_recalibration,eval,0.1,2,2,0.2696176767349243,0.2418067306280136,0.07490590959787369,0.37889336086296294,0.625,False,False,same_architecture_same_parameter_count
post_merge_recalibration,train,0.1,2,2,0.6400705575942993,0.6318790018558502,0.1731773316860199,0.5984854271257583,0.375,False,False,same_architecture_same_parameter_count
complete_recomputation,eval,0.1,2,2,0.14424753189086914,0.12003907933831215,0.03970912378281355,0.19450041778792643,0.5,False,False,same_architecture_same_parameter_count
complete_recomputation,train,0.1,2,2,0.6400705575942993,0.6318790018558502,0.1731773316860199,0.5984854271257583,0.375,False,False,same_architecture_same_parameter_count
no_batchnorm_control,eval,0.1,2,2,5.960464477539063e-08,5.960464477539063e-08,5.731999541680466e-09,4.321369679921124e-08,0.0,True,True,same_architecture_same_parameter_count
no_batchnorm_control,train,0.1,2,2,5.960464477539063e-08,5.960464477539063e-08,5.731999541680466e-09,4.321369679921124e-08,0.0,True,True,same_architecture_same_parameter_count
