strategy,mode,epsilon,n_seeds,n_rows,max_overall_logit_error,mean_max_logit_error,mean_absolute_logit_error,mean_relative_output_error,max_prediction_disagreement,purported_exact,all_exactness_checks_passed,capacity
permutation,eval,1e-05,5,5,2.384185791015625e-06,1.926347613334656e-06,5.00064635389208e-07,1.3385218682913536e-06,0.0,True,True,same_architecture_same_parameter_count
permutation,train,1e-05,5,5,9.547919034957886e-05,5.050152540206909e-05,1.2283001706236973e-05,2.0728106533849514e-05,0.0,True,True,same_architecture_same_parameter_count
frozen,eval,1e-05,5,5,0.9361544251441956,0.8135195374488831,0.2360604703426361,0.6357954902793083,0.75,False,False,same_architecture_same_parameter_count
frozen,train,1e-05,5,5,0.0008966326713562012,0.0006156414747238159,0.00013163644616724922,0.00022610753625570734,0.0625,False,False,same_architecture_same_parameter_count
running,eval,1e-05,5,5,0.0004407167434692383,0.0003030240535736084,7.608952291775495e-05,0.00020441756990002315,0.0,False,False,same_architecture_same_parameter_count
running,train,1e-05,5,5,0.0008966326713562012,0.0006156414747238159,0.00013163644616724922,0.00022610753625570734,0.0625,False,False,same_architecture_same_parameter_count
affine,eval,1e-05,5,5,1.7210841178894043e-06,1.6648322343826293e-06,4.7682377726232514e-07,1.2828793995583935e-06,0.0,True,True,same_architecture_same_parameter_count
affine,train,1e-05,5,5,2.3905081748962402,2.1330069065093995,0.5420506954193115,0.9294514969058426,0.9375,False,False,same_architecture_same_parameter_count
running_affine,eval,1e-05,5,5,2.086162567138672e-06,1.6629695892333984e-06,4.797597625838534e-07,1.2891200542323866e-06,0.0,True,True,same_architecture_same_parameter_count
running_affine,train,1e-05,5,5,0.010329723358154297,0.006218063831329346,0.0013683080673217774,0.0023381376641170367,0.0625,False,False,same_architecture_same_parameter_count
post_merge_recalibration,eval,1e-05,5,5,0.37549644708633423,0.3525813400745392,0.09755525290966034,0.2626977677866362,0.6875,False,False,same_architecture_same_parameter_count
post_merge_recalibration,train,1e-05,5,5,0.0008966326713562012,0.0006156414747238159,0.00013163644616724922,0.00022610753625570734,0.0625,False,False,same_architecture_same_parameter_count
complete_recomputation,eval,1e-05,5,5,0.0004401206970214844,0.00030276775360107424,7.611458277096972e-05,0.00020448693432939094,0.0,False,False,same_architecture_same_parameter_count
complete_recomputation,train,1e-05,5,5,0.0008966326713562012,0.0006156414747238159,0.00013163644616724922,0.00022610753625570734,0.0625,False,False,same_architecture_same_parameter_count
no_batchnorm_control,eval,1e-05,5,5,5.960464477539063e-08,4.470348358154297e-08,4.765825067920559e-09,3.718275735955352e-08,0.0,True,True,same_architecture_same_parameter_count
no_batchnorm_control,train,1e-05,5,5,5.960464477539063e-08,4.470348358154297e-08,4.765825067920559e-09,3.718275735955352e-08,0.0,True,True,same_architecture_same_parameter_count
permutation,eval,0.001,5,5,2.562999725341797e-06,2.130866050720215e-06,5.240747157131409e-07,1.419695756501712e-06,0.0,True,True,same_architecture_same_parameter_count
permutation,train,0.001,5,5,4.121661186218262e-05,3.4761428833007815e-05,9.136128210229798e-06,1.5689240871736187e-05,0.0,True,True,same_architecture_same_parameter_count
frozen,eval,0.001,5,5,0.9276307821273804,0.8067167401313782,0.2342568039894104,0.6355006000996589,0.75,False,False,same_architecture_same_parameter_count
frozen,train,0.001,5,5,0.04785710573196411,0.04020496308803558,0.00974616575986147,0.016982341770749247,0.0625,False,False,same_architecture_same_parameter_count
running,eval,0.001,5,5,0.042734503746032715,0.026979166269302367,0.006684119440615177,0.01807750602085894,0.0625,False,False,same_architecture_same_parameter_count
