path,role,exists,bytes,sha256,data_rows
README.md,repository scope,True,11783,7e324a3d193d0bf4aaba4348d0061beebb4ef1d4fed440c01f1e1d3991ff1e57,
reports/final_claim_ledger.md,claim boundary,True,10643,20459251c85cbacebb8068097bb4bfcc37fcf27e3507e344c7bab3ce34658be8,
reports/claims_audit.md,claim audit,True,154520,6117f9b062d4539bcd433a7f9bdc307f242de5553f3e75c210228686297f99a6,
reports/full_capacity_claim_audit.md,capacity audit,True,46656,031dbb1fdb73dfea3e6696bdc13cb129bad09b50a2a7961f2334c79d3d025214,
reports/baseline_regime_audit.md,regime audit,True,6484,0ba32e80f14bd7069daa0c6a372b7f58134b9ad4267b75df1d6efb59e0a2b69b,
reports/post_iclr_experiment_gap_audit.md,gap audit,True,9992,09fc6f1f34a8845bd24b5e8a99b856d59f3e8ebb9d80578eea6cf8780044f449,
reports/post_iclr_experiment_plan.md,frozen plan,True,4441,a8324f37b5a9bcefbecd0228a748efd605f633e326bb4c3c625aa1609ae7bc97,
reports/post_iclr_official_baseline_report.md,official report,True,3790,f3c30664ca23fb0db74465f7820dbd217fb586d981118ec90452447913fa54a8,
reports/csv/post_iclr_official_baseline_runs.csv,official per-setting rows,True,125793,74fa86ed95204c58ea267e48353f0431528c33277ae06ecd6e339d4c6f68f0cd,46
reports/csv/post_iclr_official_baseline_summary.csv,official summary,True,2466,4fa9be5616d545088d800b223584d65ec3f6abe8d428fc4f85e78e212c42ed9e,3
reports/csv/external_baseline_comparison.csv,selector choices and internal controls,True,185612,ef282667c6f5bd94bda79e607ac6a5a2e92cb6f4a78afe6cda70e1d1109500d3,160
reports/csv/external_baseline_comparison_summary.csv,selector paired summary,True,23171,4a4ed65c6a67ea22ec98ed3206121ffb39fccbac569c80156f5ab5302b468a2b,40
reports/csv/controlled_twisted_overlap_summary.csv,controlled obstruction summary,True,21996,b5f5831c599097cc413677da6b85e500b511a49cd68ff92c71edf1c323c78de3,156
reports/csv/obstruction_predictor_target_stats.csv,diagnostic target audit,True,759408,ffa8c34ee83a3bb594a01a202dbfe88253a13f5e6425f24e99d5692e038aa7ae,1536
reports/spatial_output_program/biomedical/discovery/claims.csv,biomedical discovery gates,True,456,a1b467bd25a9aaec4b43985ae5902478ba6037f607704086196bdbc63399447d,5
reports/spatial_output_program/multidomain/claims.csv,biomedical multidomain gates,True,200,39e76fbeada70a12d8d02183f13fef4889c8a27041c6f239cf3a46db4dfe771c,2
reports/spatial_output_program/transitions/correction_claims.csv,biomedical correction gate,True,184,fd5b8ae599d9bddaa35245bf8d3c48756e0f6861dc771f1a07e871837de5882b,2
reports/spatial_output_program/biomedical/cost/pareto.csv,biomedical Pareto audit,True,9680,b8123f720d95d9510b14a42f0d4f88aa075864d9c82401bc3f4f28540159dbf7,108
