setting_id,candidate,output_type,parameter_multiplier,active_parameters,stored_checkpoint_bytes,inference_multiplier,branches,same_capacity_single_model,merge_compute_seconds,training_compute_seconds_group,test_inference_seconds,test_samples,peak_process_memory_mb,generation_validation_evals,selector_validation_eval
post_iclr_v2_mnist_mlp_N3_W32_S9300,individual_0,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,1.3637183329556137,0.23914133291691542,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,individual_1,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,1.3637183329556137,0.24358870810829103,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,individual_2,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,1.3637183329556137,0.23021666682325304,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,weight_average,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0011802499648183584,1.3637183329556137,0.23691720911301672,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,greedy_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.1420476669445634,1.3637183329556137,0.24329004203900695,10000,445744.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,official_git_rebasin,same_capacity_single_model,1.0,25450,101800,1.0,1,True,3.0676177497953176,1.3637183329556137,0.23804649990051985,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,official_c2m3,same_capacity_single_model,1.0,25450,101800,1.0,1,True,1.8722559588495642,1.3637183329556137,0.24174179206602275,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,permutation_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.08755258400924504,1.3637183329556137,0.2345837908796966,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,positive_monomial_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0015035411342978477,1.3637183329556137,0.2386244998779148,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,permutation_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.1405417500063777,1.3637183329556137,0.2384064169600606,10000,445744.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,monomial_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.14923520805314183,1.3637183329556137,0.24037479097023606,10000,445744.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,union_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.4257436250336468,1.3637183329556137,0.23667658283375204,10000,445744.0,18,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,ordinary_weighted_soup_0,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0004027499817311764,1.3637183329556137,0.23756904108449817,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,ordinary_weighted_soup_1,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0004027921240776777,1.3637183329556137,0.23898175009526312,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,ordinary_weighted_soup_2,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00040395790711045265,1.3637183329556137,0.23473758297041059,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,ordinary_weighted_soup_3,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00038370792753994465,1.3637183329556137,0.24435354210436344,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,ordinary_weighted_soup_4,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003375830128788948,1.3637183329556137,0.23430595896206796,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,ordinary_weighted_soup_5,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003523749765008688,1.3637183329556137,0.23842008411884308,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9300,ordinary_weighted_soup_6,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003899580333381891,1.3637183329556137,0.23850758303888142,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,individual_0,same_capacity_single_model,1.0,50890,203560,1.0,1,True,0.0,1.28078579204157,0.2410126249305904,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,individual_1,same_capacity_single_model,1.0,50890,203560,1.0,1,True,0.0,1.28078579204157,0.24658916681073606,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,individual_2,same_capacity_single_model,1.0,50890,203560,1.0,1,True,0.0,1.28078579204157,0.23650229210034013,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,weight_average,same_capacity_single_model,1.0,50890,203560,1.0,1,True,0.0005055840592831373,1.28078579204157,0.23554795794188976,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,greedy_soup,same_capacity_model_soup,1.0,50890,203560,1.0,1,True,0.14310804195702076,1.28078579204157,0.23267195816151798,10000,445744.0,6,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,official_git_rebasin,same_capacity_single_model,1.0,50890,203560,1.0,1,True,2.588490500114858,1.28078579204157,0.23527358402498066,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,official_c2m3,same_capacity_single_model,1.0,50890,203560,1.0,1,True,2.007575417170301,1.28078579204157,0.25011983304284513,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,permutation_gauge_merge,same_capacity_single_model,1.0,50890,203560,1.0,1,True,0.08684070804156363,1.28078579204157,0.24154262500815094,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,positive_monomial_gauge_merge,same_capacity_single_model,1.0,50890,203560,1.0,1,True,0.0024309998843818903,1.28078579204157,0.2359586670063436,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,permutation_gauge_soup,same_capacity_model_soup,1.0,50890,203560,1.0,1,True,0.15309041691944003,1.28078579204157,0.23494062502868474,10000,445744.0,6,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,monomial_gauge_soup,same_capacity_model_soup,1.0,50890,203560,1.0,1,True,0.15546766691841185,1.28078579204157,0.23052904196083546,10000,445744.0,6,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,union_gauge_soup,same_capacity_model_soup,1.0,50890,203560,1.0,1,True,0.4411305410321802,1.28078579204157,0.2451846250332892,10000,445744.0,18,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,ordinary_weighted_soup_0,same_capacity_model_soup,1.0,50890,203560,1.0,1,True,0.000565999886021018,1.28078579204157,0.2349485419690609,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,ordinary_weighted_soup_1,same_capacity_model_soup,1.0,50890,203560,1.0,1,True,0.000542874913662672,1.28078579204157,0.2333928330335766,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,ordinary_weighted_soup_2,same_capacity_model_soup,1.0,50890,203560,1.0,1,True,0.0005232500843703747,1.28078579204157,0.23413374996744096,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,ordinary_weighted_soup_3,same_capacity_model_soup,1.0,50890,203560,1.0,1,True,0.0005585839971899986,1.28078579204157,0.23251420888118446,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,ordinary_weighted_soup_4,same_capacity_model_soup,1.0,50890,203560,1.0,1,True,0.0006688330322504044,1.28078579204157,0.24444745806977153,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,ordinary_weighted_soup_5,same_capacity_model_soup,1.0,50890,203560,1.0,1,True,0.0006233749445527792,1.28078579204157,0.23168337484821677,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N3_W64_S9300,ordinary_weighted_soup_6,same_capacity_model_soup,1.0,50890,203560,1.0,1,True,0.000551499892026186,1.28078579204157,0.23363566701300442,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,individual_0,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,1.7278305001091212,0.23930883291177452,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,individual_1,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,1.7278305001091212,0.23515995894558728,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,individual_2,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,1.7278305001091212,0.23766320780850947,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,individual_3,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,1.7278305001091212,0.2838860829360783,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,weight_average,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.000425499863922596,1.7278305001091212,0.23173362505622208,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,greedy_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.1999448339920491,1.7278305001091212,0.24000037484802306,10000,445744.0,8,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,official_git_rebasin,same_capacity_single_model,1.0,25450,101800,1.0,1,True,5.093631000025198,1.7278305001091212,0.23146591614931822,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,official_c2m3,same_capacity_single_model,1.0,25450,101800,1.0,1,True,3.00961249996908,1.7278305001091212,0.23516687494702637,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,permutation_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.11987887509167194,1.7278305001091212,0.2450836249627173,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,positive_monomial_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0029471670277416706,1.7278305001091212,0.23746612505055964,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,permutation_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.18927800003439188,1.7278305001091212,0.23152229189872742,10000,445744.0,8,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,monomial_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.1916747079230845,1.7278305001091212,0.2336313328705728,10000,445744.0,8,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,union_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.589933707844466,1.7278305001091212,0.23659870796836913,10000,445744.0,24,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,ordinary_weighted_soup_0,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.000475957989692688,1.7278305001091212,0.2427502078935504,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,ordinary_weighted_soup_1,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00034566689282655716,1.7278305001091212,0.23750541685149074,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,ordinary_weighted_soup_2,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00036800000816583633,1.7278305001091212,0.2348964160773903,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,ordinary_weighted_soup_3,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00034733302891254425,1.7278305001091212,0.2305509999860078,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,ordinary_weighted_soup_4,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.000367084052413702,1.7278305001091212,0.2473356667906046,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,ordinary_weighted_soup_5,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003575000446289778,1.7278305001091212,0.23903337493538857,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9300,ordinary_weighted_soup_6,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003522501792758703,1.7278305001091212,0.23883091704919934,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W64_S9300,individual_0,same_capacity_single_model,1.0,50890,203560,1.0,1,True,0.0,1.7257464998401701,0.23827450000680983,10000,445744.0,0,1
post_iclr_v2_mnist_mlp_N4_W64_S9300,individual_1,same_capacity_single_model,1.0,50890,203560,1.0,1,True,0.0,1.7257464998401701,0.23487158282659948,10000,445744.0,0,1
