setting_id,seed,n_models,width,selector,selector_label,selected_candidate,selected_family,selected_tm_specific,test_accuracy,test_loss,val_accuracy,val_loss,regret_vs_greedy_soup,regret_vs_oracle,pool_size,selection_validation_evals,oracle_uses_test,deployable,validation_test_best_agreement,stability_modal_fraction,stability_unique_choices,sync_disagreement,diagnostic_threshold,diagnostic_fallback_to_a0,split_sha256
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,A0,ordinary greedy baseline,greedy_soup,ordinary_soup,False,0.848,0.6294139542207122,0.849,0.6424855885199504,0.0,0.013700000000000045,5,5,False,True,False,0.8,2,0.1701388888888889,0.22743055555555555,False,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,A1,official-synchronization pool,greedy_soup,ordinary_soup,False,0.848,0.6294139542207122,0.849,0.6424855885199504,0.0,0.013700000000000045,7,7,False,True,False,0.8,2,0.1701388888888889,0.22743055555555555,False,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,A2,gauge-only augmentation,greedy_soup,ordinary_soup,False,0.848,0.6294139542207122,0.849,0.6424855885199504,0.0,0.013700000000000045,7,7,False,True,False,0.8,2,0.1701388888888889,0.22743055555555555,False,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,A3,gauge plus soup augmentation,monomial_gauge_soup,monomial_gauge_soup,True,0.848,0.6294139625358395,0.849,0.6424855866899015,0.0,0.013700000000000045,10,10,False,True,False,0.6,3,0.1701388888888889,0.22743055555555555,False,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,A4,diagnostic-only augmentation,greedy_soup,ordinary_soup,False,0.848,0.6294139542207122,0.849,0.6424855885199504,0.0,0.013700000000000045,7,7,False,True,False,0.8,2,0.1701388888888889,0.22743055555555555,False,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,A5,full TwistedMerge selector,monomial_gauge_soup,monomial_gauge_soup,True,0.848,0.6294139625358395,0.849,0.6424855866899015,0.0,0.013700000000000045,12,12,False,True,False,0.6,3,0.1701388888888889,0.22743055555555555,False,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,B0,budget-matched ordinary soup control,greedy_soup,ordinary_soup,False,0.848,0.6294139542207122,0.849,0.6424855885199504,0.0,0.013700000000000045,12,12,False,True,False,nan,nan,0.1701388888888889,0.22743055555555555,False,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N3_W32_S9300,9300,3,32,A6,test oracle upper bound,individual_2,individual,False,0.8617,0.5961661395098781,0.839,0.6221877171061932,-0.013700000000000045,0.0,12,0,True,False,True,nan,nan,0.1701388888888889,0.22743055555555555,False,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N3_W64_S9300,9300,3,64,A0,ordinary greedy baseline,greedy_soup,ordinary_soup,False,0.886,0.4691139208445675,0.86,0.48460493127940574,0.0,0.0,5,5,False,True,True,0.6,2,0.1753472222222222,0.22743055555555555,False,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
post_iclr_v2_mnist_mlp_N3_W64_S9300,9300,3,64,A1,official-synchronization pool,official_git_rebasin,official_synchronization,False,0.8754,0.6002077714552404,0.862,0.6115173725800706,0.010600000000000054,0.010600000000000054,7,7,False,True,False,0.6,2,0.1753472222222222,0.22743055555555555,False,4a6886b3c1dc9ff47609c83e3b72a5a95017628db048611253df87fc67fef313
