setting_id,model_index,model_seed,checkpoint,checkpoint_sha256,checkpoint_bytes,reused,training_seconds
post_iclr_v2_mnist_mlp_N3_W32_S9100,0,9647,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N3_W32_S9100/model_0.pt,3eb474ad5962090e36876c090de3150e69bf740f66d8e7d10ac3ac71f12cf54e,104413,False,0.17034424981102347
post_iclr_v2_mnist_mlp_N3_W32_S9100,1,10647,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N3_W32_S9100/model_1.pt,a5e8fb124153941bd6fcc5a1509d6fc03024c27ca9df487655ea3a240663ade2,104413,False,0.1321487920358777
post_iclr_v2_mnist_mlp_N3_W32_S9100,2,11647,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N3_W32_S9100/model_2.pt,a6dd674b4eac6dbf5758a134bd39c828077d7695737838621c6f5573c33174f3,104413,False,0.1441322499886155
post_iclr_v2_mnist_mlp_N4_W32_S9100,0,9648,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N4_W32_S9100/model_0.pt,46441b0a3cfea1560df90287a156e14c78bbee7ee52e82b911405ef8a1175553,104413,False,0.13134720805101097
post_iclr_v2_mnist_mlp_N4_W32_S9100,1,10648,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N4_W32_S9100/model_1.pt,1aa24226b1a3e5c9bfd65cddfd3a9927ad1fe891c04a889507b555f71f80ce51,104413,False,0.12158808298408985
post_iclr_v2_mnist_mlp_N4_W32_S9100,2,11648,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N4_W32_S9100/model_2.pt,029b712a49016dd1c41de6417f1e3a279879d4828099ecb51dc3f5d93933b0a5,104413,False,0.12995354202575982
post_iclr_v2_mnist_mlp_N4_W32_S9100,3,12648,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N4_W32_S9100/model_3.pt,5501cbc2eeb3f6cb950864ef91ac9d68a5bac4e183f73f98789d3303a83401d4,104413,False,0.12327550002373755
post_iclr_v2_mnist_mlp_N3_W32_S9101,0,9648,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N3_W32_S9101/model_0.pt,de4b3ee3bb96630431a25161731c7ee5c239efa03f190c067b03495215a7d9dd,104413,False,0.12919025006704032
post_iclr_v2_mnist_mlp_N3_W32_S9101,1,10648,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N3_W32_S9101/model_1.pt,a9053372c16f1235f1b296b71a1cc41908a6501f9fd7ef8044475596320598b8,104413,False,0.12956575001589954
post_iclr_v2_mnist_mlp_N3_W32_S9101,2,11648,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N3_W32_S9101/model_2.pt,569863ae91ae7dbf7ae5c5779a58b2defe144c1115465fadfd9c36efa42833c7,104413,False,0.12565037491731346
post_iclr_v2_mnist_mlp_N4_W32_S9101,0,9649,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N4_W32_S9101/model_0.pt,03cf2a7ed5117a788b6c7d5806aabce33adddf685da07158222345d182d256fa,104413,False,0.12305091717280447
post_iclr_v2_mnist_mlp_N4_W32_S9101,1,10649,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N4_W32_S9101/model_1.pt,4a4c1ce015ca87737b0091aa5d42c717e8f9a97626866a92d821180b81e4c8a2,104413,False,0.12110358290374279
post_iclr_v2_mnist_mlp_N4_W32_S9101,2,11649,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N4_W32_S9101/model_2.pt,bf8df04ea88a6df607b3fb8ee0b0931c8d3816faf9dcedfc1ca4ccc240780ce7,104413,False,0.1240066671743989
post_iclr_v2_mnist_mlp_N4_W32_S9101,3,12649,/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/TwistedMerge-post-iclr/checkpoints/post_iclr_selector_attribution/pilot/post_iclr_v2_mnist_mlp_N4_W32_S9101/model_3.pt,fe34a37c77f9cdec92b64779643b09fc0cfa1aed41823c7d0ae61f7bda7e43a4,104413,False,0.12172004207968712
