setting_id,candidate,output_type,parameter_multiplier,active_parameters,stored_checkpoint_bytes,inference_multiplier,branches,same_capacity_single_model,merge_compute_seconds,training_compute_seconds_group,test_inference_seconds,test_samples,peak_process_memory_mb,generation_validation_evals,selector_validation_eval
post_iclr_v2_mnist_mlp_N3_W32_S9100,individual_0,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.4466616250574589,0.026853958144783974,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,individual_1,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.4466616250574589,0.023347583133727312,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,individual_2,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.4466616250574589,0.02338379085995257,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,weight_average,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0011207079514861107,0.4466616250574589,0.023292165948078036,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,greedy_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.06277866591699421,0.4466616250574589,0.02337108296342194,1000,470480.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,official_git_rebasin,same_capacity_single_model,1.0,25450,101800,1.0,1,True,2.9555673331487924,0.4466616250574589,0.025016916915774345,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,official_c2m3,same_capacity_single_model,1.0,25450,101800,1.0,1,True,2.5868947089184076,0.4466616250574589,0.02462074998766184,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,permutation_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0846517919562757,0.4466616250574589,0.023760667070746422,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,positive_monomial_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.001407667063176632,0.4466616250574589,0.023256500018760562,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,permutation_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.05765929096378386,0.4466616250574589,0.024612416047602892,1000,470480.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,monomial_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.05706870788708329,0.4466616250574589,0.02429850003682077,1000,470480.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,union_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.17630008305422962,0.4466616250574589,0.023731666849926114,1000,470480.0,18,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_0,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00038400012999773026,0.4466616250574589,0.023286041105166078,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_1,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003205409739166498,0.4466616250574589,0.024891957873478532,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_2,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00030308286659419537,0.4466616250574589,0.02485045907087624,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_3,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003249170258641243,0.4466616250574589,0.02360658277757466,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_4,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003257498610764742,0.4466616250574589,0.023442500038072467,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_5,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00030812504701316357,0.4466616250574589,0.023372292052954435,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_6,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00030762492679059505,0.4466616250574589,0.02632204187102616,1000,470480.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,individual_0,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.5062588339205831,0.028559166938066483,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,individual_1,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.5062588339205831,0.025969624985009432,1000,470592.0,0,1
post_iclr_v2_mnist_mlp_N4_W32_S9100,individual_2,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.5062588339205831,0.024524041917175055,1000,470592.0,0,1
