setting_id,seed,n_models,width,candidate,family,tm_specific,output_type,val_accuracy,val_loss,test_accuracy,test_loss,selected_by,merge_seconds,generation_validation_evals,details,split_sha256,status
post_iclr_v2_mnist_mlp_N3_W32_S9100,9100,3,32,individual_0,individual,False,same_capacity_single_model,0.615,1.5778344134241342,0.613,1.591744914352894,,0.0,0,"{""model_index"": 0}",8ba95f44567ef05f2b58b0c9f9686e942993632e052b6dd3c1b8a15fb759d327,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9100,9100,3,32,individual_1,individual,False,same_capacity_single_model,0.7125,1.5710999841988087,0.703,1.585808861464262,,0.0,0,"{""model_index"": 1}",8ba95f44567ef05f2b58b0c9f9686e942993632e052b6dd3c1b8a15fb759d327,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9100,9100,3,32,individual_2,individual,False,same_capacity_single_model,0.695,1.5760766410082578,0.717,1.5898828004449606,,0.0,0,"{""model_index"": 2}",8ba95f44567ef05f2b58b0c9f9686e942993632e052b6dd3c1b8a15fb759d327,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9100,9100,3,32,weight_average,ordinary_average,False,same_capacity_single_model,0.5075,2.008789719939232,0.475,2.029721580505371,,0.0011207079514861107,0,{},8ba95f44567ef05f2b58b0c9f9686e942993632e052b6dd3c1b8a15fb759d327,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9100,9100,3,32,greedy_soup,ordinary_soup,False,same_capacity_model_soup,0.7125,1.5710999841988087,0.703,1.585808861464262,A0;A2;B0;A4,0.06277866591699421,6,"{""ingredient_count"": 1, ""selected_indices"": [1], ""selected_labels"": [""original:1""]}",8ba95f44567ef05f2b58b0c9f9686e942993632e052b6dd3c1b8a15fb759d327,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9100,9100,3,32,official_git_rebasin,official_synchronization,False,same_capacity_single_model,0.7475,1.7266643218696118,0.745,1.7400296950936318,,2.9555673331487924,0,"{""functional_preservation_max_abs_error"": 7.152557373046875e-07, ""implementation_kind"": ""adapter_assisted_official_core"", ""max_iter"": 100, ""prediction_disagreement"": 0.0, ""source_commit"": ""ef40098257ab97243930eba737d6dcb8edd5863e"", ""worker_metadata"": [{""implementation"": ""official_git_rebasin_weight_matching"", ""max_iter"": 100, ""permutation"": {""P_0"": [7, 25, 14, 22, 11, 15, 28, 30, 19, 9, 31, 29, 17, 10, 16, 2, 13, 21, 26, 5, 18, 3, 12, 4, 27, 23, 8, 1, 6, 0, 24, 20]}, ""seed"": 9101, ""source_file"": ""/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/official-baseline-sources/git-re-basin/src/weight_matching.py""}, {""implementation"": ""official_git_rebasin_weight_matching"", ""max_iter"": 100, ""permutation"": {""P_0"": [4, 3, 11, 28, 31, 24, 18, 7, 5, 21, 14, 22, 20, 1, 29, 13, 27, 19, 25, 8, 26, 12, 30, 6, 10, 2, 23, 16, 15, 9, 17, 0]}, ""seed"": 9102, ""source_file"": ""/Users/tinggong/Documents/Codex/2026-07-17/files-mentioned-by-the-user-you/work/official-baseline-sources/git-re-basin/src/weight_matching.py""}]}",8ba95f44567ef05f2b58b0c9f9686e942993632e052b6dd3c1b8a15fb759d327,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9100,9100,3,32,official_c2m3,official_synchronization,False,same_capacity_single_model,0.755,1.7057458852231502,0.76,1.7176024388968945,A1;A5;A6,2.5868947089184076,0,"{""functional_preservation_max_abs_error"": 7.152557373046875e-07, ""implementation_kind"": ""adapter_assisted_official_core"", ""max_iter"": 30, ""objective_values"": [6.5104475021362305, 8.680974006652832, 10.039742469787598, 11.64401912689209, 11.947534561157227, 12.4365234375, 12.536325454711914, 12.633809089660645, 12.725711822509766, 12.747966766357422, 12.844343185424805, 12.864740371704102, 12.906728744506836, 12.9173002243042, 12.917438507080078, 12.933464050292969, 12.956071853637695, 13.020429611206055, 13.021299362182617, 13.021597862243652, 13.029304504394531, 13.07664966583252, 13.098472595214844, 13.102542877197266, 13.102544784545898, 13.102544784545898, 13.102544784545898, 13.102544784545898, 13.102544784545898, 13.102544784545898], ""permutations"": {""a"": {""P_0"": [6, 27, 20, 10, 23, 14, 21, 19, 0, 29, 16, 4, 22, 31, 9, 12, 7, 30, 18, 2, 15, 8, 3, 5, 26, 17, 25, 24, 28, 11, 13, 1]}, ""b"": {""P_0"": [28, 1, 18, 31, 4, 16, 3, 25, 7, 23, 13, 11, 12, 5, 29, 17, 30, 24, 8, 14, 2, 19, 22, 15, 27, 21, 26, 9, 6, 0, 10, 20]}, ""c"": {""P_0"": [18, 16, 26, 28, 6, 14, 24, 8, 4, 9, 27, 20, 12, 0, 21, 31, 1, 17, 25, 11, 29, 5, 22, 23, 10, 19, 2, 7, 30, 13, 15, 3]}}, ""prediction_disagreement"": 0.0, ""source_commit"": ""ea1eca76b19c5d57ed97b1ef396368189e864eee""}",8ba95f44567ef05f2b58b0c9f9686e942993632e052b6dd3c1b8a15fb759d327,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9100,9100,3,32,permutation_gauge_merge,permutation_gauge,True,same_capacity_single_model,0.695,1.7254462472349406,0.703,1.735678119122982,,0.0846517919562757,0,"{""reference"": 0, ""synchronization_disagreement"": 0.14583333333333334}",8ba95f44567ef05f2b58b0c9f9686e942993632e052b6dd3c1b8a15fb759d327,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9100,9100,3,32,positive_monomial_gauge_merge,positive_monomial_gauge,True,same_capacity_single_model,0.6775,1.7140104481577874,0.707,1.7229693221747875,,0.001407667063176632,0,"{""max_abs_log_scale"": 1.355039021534054, ""mean_abs_log_scale"": 0.1859262116380076, ""scale_source"": ""reference_activation_norm""}",8ba95f44567ef05f2b58b0c9f9686e942993632e052b6dd3c1b8a15fb759d327,evaluated
post_iclr_v2_mnist_mlp_N3_W32_S9100,9100,3,32,permutation_gauge_soup,permutation_gauge_soup,True,same_capacity_model_soup,0.7125,1.5710999837517738,0.703,1.5858088611662389,,0.05765929096378386,6,"{""ingredient_count"": 1, ""selected_indices"": [1], ""selected_labels"": [""permutation:1""]}",8ba95f44567ef05f2b58b0c9f9686e942993632e052b6dd3c1b8a15fb759d327,evaluated
