setting_id,candidate,output_type,parameter_multiplier,active_parameters,stored_checkpoint_bytes,inference_multiplier,branches,same_capacity_single_model,merge_compute_seconds,training_compute_seconds_group,test_inference_seconds,test_samples,peak_process_memory_mb,generation_validation_evals,selector_validation_eval
post_iclr_v2_mnist_mlp_N3_W32_S9100,individual_0,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.19811854208819568,0.013534458121284842,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,individual_1,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.19811854208819568,0.012516875052824616,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,individual_2,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0,0.19811854208819568,0.01241783401928842,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,weight_average,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0006963331252336502,0.19811854208819568,0.012357082916423678,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,greedy_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.015756707871332765,0.19811854208819568,0.012550875078886747,512,445360.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,official_git_rebasin,same_capacity_single_model,1.0,25450,101800,1.0,1,True,3.006012334022671,0.19811854208819568,0.013437250163406134,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,official_c2m3,same_capacity_single_model,1.0,25450,101800,1.0,1,True,2.0098561660852283,0.19811854208819568,0.013415625086054206,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,permutation_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.031331832986325026,0.19811854208819568,0.013501917012035847,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,positive_monomial_gauge_merge,same_capacity_single_model,1.0,25450,101800,1.0,1,True,0.0013708749320358038,0.19811854208819568,0.01350479107350111,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,permutation_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.015994125045835972,0.19811854208819568,0.013693917077034712,512,445360.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,monomial_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.015287999995052814,0.19811854208819568,0.012729332782328129,512,445360.0,6,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,union_gauge_soup,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.057699832832440734,0.19811854208819568,0.012860417133197188,512,445360.0,18,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_0,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.00040641590021550655,0.19811854208819568,0.012566459132358432,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_1,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003622081130743027,0.19811854208819568,0.012512833112850785,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_2,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003304998390376568,0.19811854208819568,0.012182957958430052,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_3,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003275829367339611,0.19811854208819568,0.011950040934607387,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_4,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003167500253766775,0.19811854208819568,0.011979208094999194,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_5,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003079997841268778,0.19811854208819568,0.012010250007733703,512,445360.0,0,1
post_iclr_v2_mnist_mlp_N3_W32_S9100,ordinary_weighted_soup_6,same_capacity_model_soup,1.0,25450,101800,1.0,1,True,0.0003586250822991133,0.19811854208819568,0.012584375217556953,512,445360.0,0,1
