family,scramble_index,scramble_seed,i,j,k,normalized_frobenius_defect,spectral_defect,holonomy_condition_number
orthogonal,0,20360719,0,1,2,7.679356929589612e-16,1.1102230246251565e-15,1.0000000000000007
orthogonal,0,20360719,0,1,3,9.820988811355271e-16,1.1102230246251565e-15,1.000000000000001
orthogonal,0,20360719,0,2,3,9.538734079481752e-16,1.2212453270876722e-15,1.0000000000000009
orthogonal,0,20360719,1,2,3,8.665233039706119e-16,8.881784197001252e-16,1.0000000000000007
orthogonal,1,20360720,0,1,2,7.517611131307128e-16,1.3322676295501878e-15,1.0000000000000007
orthogonal,1,20360720,0,1,3,7.887256645575824e-16,8.881784197001252e-16,1.0000000000000004
orthogonal,1,20360720,0,2,3,4.355462155224502e-16,2.950042168176549e-16,1.0000000000000004
orthogonal,1,20360720,1,2,3,7.173381975672712e-16,8.881784197001252e-16,1.0000000000000016
orthogonal,2,20360721,0,1,2,9.365047471257268e-16,1.3322676295501878e-15,1.000000000000002
orthogonal,2,20360721,0,1,3,4.2294585128895647e-16,4.440892098500626e-16,1.0000000000000009
orthogonal,2,20360721,0,2,3,5.896985266968829e-16,4.440892098500626e-16,1.0000000000000004
orthogonal,2,20360721,1,2,3,4.691815079980263e-16,9.992007221626409e-16,1.0000000000000004
orthogonal,3,20360722,0,1,2,1.0441187485048186e-15,8.881784197001252e-16,1.0000000000000022
orthogonal,3,20360722,0,1,3,9.435128910574366e-16,1.1102230246251565e-15,1.0000000000000018
orthogonal,3,20360722,0,2,3,8.437199481356911e-16,1.3322676295501878e-15,1.000000000000001
orthogonal,3,20360722,1,2,3,8.938350161997143e-16,1.1102230246251565e-15,1.0000000000000009
orthogonal,4,20360723,0,1,2,2.4534048919656906e-15,1.5543122344752192e-15,1.000000000000003
orthogonal,4,20360723,0,1,3,3.578462780054864e-15,1.833690311611799e-15,1.0000000000000042
orthogonal,4,20360723,0,2,3,1.7191234992463964e-15,9.992007221626409e-16,1.000000000000003
orthogonal,4,20360723,1,2,3,2.0865131651725044e-15,7.771561172376096e-16,1.0000000000000029
orthogonal,5,20360724,0,1,2,2.2804523237722593e-15,5.551115123125783e-16,1.0000000000000022
orthogonal,5,20360724,0,1,3,2.1906840295850607e-15,7.176641745811557e-16,1.0000000000000033
orthogonal,5,20360724,0,2,3,2.250735910770813e-15,8.504461784699001e-16,1.000000000000004
orthogonal,5,20360724,1,2,3,7.449419662273719e-16,1.1102230246251565e-15,1.0000000000000004
orthogonal,6,20360725,0,1,2,5.352349003508386e-16,6.661338147750939e-16,1.0000000000000009
orthogonal,6,20360725,0,1,3,1.0146540698798146e-15,1.887379141862766e-15,1.0000000000000004
orthogonal,6,20360725,0,2,3,1.1578497715577393e-15,1.4432899320127035e-15,1.0000000000000007
orthogonal,6,20360725,1,2,3,1.1005830689178872e-15,1.4432899320127035e-15,1.0000000000000007
orthogonal,7,20360726,0,1,2,7.1459269079948e-15,2.837362786447606e-15,1.0000000000000075
orthogonal,7,20360726,0,1,3,7.242886397078952e-15,1.8952076980627843e-15,1.0000000000000087
orthogonal,7,20360726,0,2,3,6.787819961768361e-15,3.041011569990985e-15,1.0000000000000078
orthogonal,7,20360726,1,2,3,8.708368294933259e-16,8.881784197001252e-16,1.0000000000000009
orthogonal,8,20360727,0,1,2,9.422967439007002e-16,1.5543122344752192e-15,1.0000000000000007
orthogonal,8,20360727,0,1,3,8.226560071875663e-16,4.093548979137109e-16,1.0000000000000004
orthogonal,8,20360727,0,2,3,1.3545836019091571e-15,2.1094237467877974e-15,1.0000000000000009
orthogonal,8,20360727,1,2,3,1.0309074040746258e-15,1.2212453270876722e-15,1.000000000000001
orthogonal,9,20360728,0,1,2,2.870581503999562e-15,1.8799919746557076e-15,1.0000000000000033
orthogonal,9,20360728,0,1,3,2.9296149440101833e-15,2.886579864025407e-15,1.0000000000000036
orthogonal,9,20360728,0,2,3,2.8215537736334815e-15,1.7763568394002505e-15,1.000000000000004
orthogonal,9,20360728,1,2,3,7.241937203736525e-16,6.661338147750939e-16,1.0000000000000007
orthogonal,10,20360729,0,1,2,6.816821383641117e-16,4.440892098500626e-16,1.0000000000000007
orthogonal,10,20360729,0,1,3,1.1018148695417578e-15,1.5543122344752192e-15,1.0000000000000022
orthogonal,10,20360729,0,2,3,6.199505127233595e-16,5.551115123125783e-16,1.000000000000001
orthogonal,10,20360729,1,2,3,1.000581233339034e-15,1.1102230246251565e-15,1.0000000000000018
orthogonal,11,20360730,0,1,2,6.187322825664364e-16,4.14858465674596e-16,1.0000000000000007
orthogonal,11,20360730,0,1,3,9.708790211497836e-16,8.881784197001252e-16,1.0000000000000016
orthogonal,11,20360730,0,2,3,6.154793605144814e-16,7.41445474917995e-16,1.0000000000000007
orthogonal,11,20360730,1,2,3,7.525170520239868e-16,6.661338147750939e-16,1.0000000000000013
orthogonal,12,20360731,0,1,2,4.663971155685488e-16,1.1102230246251565e-15,1.0000000000000007
