family,claim_scope,scramble_index,scramble_seed,maximum_delta_error,maximum_relative_delta_error,maximum_logit_error,maximum_prediction_disagreement,maximum_gauge_condition_number,accepted_for_primary_claim,numerically_unstable
orthogonal,primary_well_conditioned,0,20360719,5.551115123125783e-17,1.8924857254899396e-16,8.881784197001252e-16,0.0,1.0000000000000002,True,False
orthogonal,primary_well_conditioned,1,20360720,5.551115123125783e-17,1.8666072415074521e-16,6.661338147750939e-16,0.0,1.0000000000000004,True,False
orthogonal,primary_well_conditioned,2,20360721,5.551115123125783e-17,2.1422830499082172e-16,8.881784197001252e-16,0.0,1.0000000000000004,True,False
orthogonal,primary_well_conditioned,3,20360722,5.767955557622884e-17,1.9406616829970137e-16,8.881784197001252e-16,0.0,1.0000000000000009,True,False
orthogonal,primary_well_conditioned,4,20360723,5.551115123125783e-17,1.8455495457822204e-16,8.881784197001252e-16,0.0,1.0000000000000004,True,False
orthogonal,primary_well_conditioned,5,20360724,5.551115123125783e-17,1.5919558486008517e-16,8.881784197001252e-16,0.0,1.0000000000000009,True,False
orthogonal,primary_well_conditioned,6,20360725,8.326672684688674e-17,2.1423700723260115e-16,8.881784197001252e-16,0.0,1.0000000000000004,True,False
orthogonal,primary_well_conditioned,7,20360726,8.326672684688674e-17,2.189449477808222e-16,8.881784197001252e-16,0.0,1.0000000000000004,True,False
orthogonal,primary_well_conditioned,8,20360727,5.551115123125783e-17,1.978272919439079e-16,8.881784197001252e-16,0.0,1.0000000000000007,True,False
orthogonal,primary_well_conditioned,9,20360728,8.326672684688674e-17,2.5665400341088547e-16,8.881784197001252e-16,0.0,1.0000000000000004,True,False
orthogonal,primary_well_conditioned,10,20360729,5.551115123125783e-17,1.8195175469193762e-16,8.881784197001252e-16,0.0,1.0000000000000007,True,False
orthogonal,primary_well_conditioned,11,20360730,9.020562075079397e-17,2.4398405266255044e-16,7.771561172376096e-16,0.0,1.0000000000000007,True,False
orthogonal,primary_well_conditioned,12,20360731,6.938893903907228e-17,2.401162539241584e-16,6.661338147750939e-16,0.0,1.0000000000000007,True,False
orthogonal,primary_well_conditioned,13,20360732,8.326672684688674e-17,2.106407084575003e-16,8.881784197001252e-16,0.0,1.0000000000000007,True,False
orthogonal,primary_well_conditioned,14,20360733,5.551115123125783e-17,2.027814652119668e-16,5.551115123125783e-16,0.0,1.0000000000000004,True,False
orthogonal,primary_well_conditioned,15,20360734,4.85722573273506e-17,2.0552721230831525e-16,6.661338147750939e-16,0.0,1.0000000000000007,True,False
orthogonal,primary_well_conditioned,16,20360735,5.551115123125783e-17,1.7514751694174513e-16,8.881784197001252e-16,0.0,1.0000000000000007,True,False
orthogonal,primary_well_conditioned,17,20360736,8.326672684688674e-17,2.280231411494434e-16,8.881784197001252e-16,0.0,1.0000000000000007,True,False
orthogonal,primary_well_conditioned,18,20360737,5.551115123125783e-17,1.9231647296290302e-16,6.661338147750939e-16,0.0,1.0000000000000004,True,False
orthogonal,primary_well_conditioned,19,20360738,5.551115123125783e-17,2.235920826868544e-16,6.661338147750939e-16,0.0,1.0000000000000004,True,False
positive_diagonal,primary_well_conditioned,0,20460719,2.7755575615628914e-17,8.680564653509472e-17,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,1,20460720,2.7755575615628914e-17,1.130143973564428e-16,8.881784197001252e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,2,20460721,2.7755575615628914e-17,8.680564653509472e-17,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,3,20460722,2.7755575615628914e-17,8.680564653509472e-17,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,4,20460723,2.7755575615628914e-17,1.0707739878570834e-16,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,5,20460724,4.163336342344337e-17,1.130143973564428e-16,8.881784197001252e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,6,20460725,2.7755575615628914e-17,8.585758114313711e-17,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,7,20460726,2.7755575615628914e-17,8.680564653509472e-17,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,8,20460727,2.7755575615628914e-17,8.680564653509472e-17,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,9,20460728,2.7755575615628914e-17,1.130143973564428e-16,8.881784197001252e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,10,20460729,4.163336342344337e-17,1.0707739878570834e-16,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,11,20460730,4.163336342344337e-17,1.0621017312797329e-16,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,12,20460731,2.7755575615628914e-17,7.90459409988221e-17,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,13,20460732,2.7755575615628914e-17,1.0707739878570834e-16,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,14,20460733,2.7755575615628914e-17,8.585758114313711e-17,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,15,20460734,2.7755575615628914e-17,8.585758114313711e-17,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,16,20460735,2.7755575615628914e-17,1.130143973564428e-16,8.881784197001252e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,17,20460736,4.163336342344337e-17,1.0621017312797329e-16,4.440892098500626e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,18,20460737,2.7755575615628914e-17,1.130143973564428e-16,8.881784197001252e-16,0.0,8.0,True,False
positive_diagonal,primary_well_conditioned,19,20460738,2.7755575615628914e-17,8.585758114313711e-17,4.440892098500626e-16,0.0,8.0,True,False
dense,primary_well_conditioned,0,20560719,5.516420653606247e-16,1.2413028648319605e-15,3.0808688933348094e-15,0.0,30.00000000000001,True,False
dense,primary_well_conditioned,1,20560720,9.992007221626409e-16,1.797094741066334e-15,3.9968028886505635e-15,0.0,30.000000000000057,True,False
dense,primary_well_conditioned,2,20560721,3.608224830031759e-16,1.450961984254429e-15,2.220446049250313e-15,0.0,30.00000000000002,True,False
dense,primary_well_conditioned,3,20560722,2.3592239273284576e-16,9.362483284039122e-16,1.5543122344752192e-15,0.0,30.00000000000002,True,False
dense,primary_well_conditioned,4,20560723,4.996003610813204e-16,1.2556469442001879e-15,2.3314683517128287e-15,0.0,30.000000000000025,True,False
dense,primary_well_conditioned,5,20560724,3.7470027081099033e-16,1.519045621324759e-15,2.7200464103316335e-15,0.0,30.00000000000005,True,False
dense,primary_well_conditioned,6,20560725,4.163336342344337e-16,1.2125511094297645e-15,2.3314683517128287e-15,0.0,30.00000000000003,True,False
dense,primary_well_conditioned,7,20560726,3.95516952522712e-16,1.3033251506831105e-15,2.6645352591003757e-15,0.0,30.00000000000002,True,False
dense,primary_well_conditioned,8,20560727,5.186823193170653e-16,1.6297584116127024e-15,2.6645352591003757e-15,0.0,30.00000000000009,True,False
dense,primary_well_conditioned,9,20560728,6.38378239159465e-16,1.6558503436393605e-15,2.886579864025407e-15,0.0,30.000000000000053,True,False
dense,primary_well_conditioned,10,20560729,3.885780586188048e-16,1.1228991397196514e-15,1.942890293094024e-15,0.0,30.000000000000043,True,False
dense,primary_well_conditioned,11,20560730,4.787836793695988e-16,1.3274367605473779e-15,2.1094237467877974e-15,0.0,30.00000000000001,True,False
dense,primary_well_conditioned,12,20560731,5.551115123125783e-16,1.6121940237639214e-15,2.831068712794149e-15,0.0,30.000000000000018,True,False
dense,primary_well_conditioned,13,20560732,6.106226635438361e-16,1.646162399536725e-15,2.7755575615628914e-15,0.0,30.00000000000007,True,False
dense,primary_well_conditioned,14,20560733,2.7755575615628914e-16,7.608958584680001e-16,1.3322676295501878e-15,0.0,30.000000000000007,True,False
dense,primary_well_conditioned,15,20560734,6.245004513516506e-16,1.65399135894896e-15,3.1086244689504383e-15,0.0,30.00000000000002,True,False
dense,primary_well_conditioned,16,20560735,4.996003610813204e-16,1.3787049917481854e-15,3.1086244689504383e-15,0.0,30.000000000000036,True,False
dense,primary_well_conditioned,17,20560736,8.951173136040325e-16,1.7914870159761463e-15,4.884981308350689e-15,0.0,30.000000000000053,True,False
dense,primary_well_conditioned,18,20560737,5.065392549852277e-16,1.2194449356509752e-15,2.886579864025407e-15,0.0,30.000000000000014,True,False
dense,primary_well_conditioned,19,20560738,5.828670879282072e-16,1.1014161909549169e-15,2.4424906541753444e-15,0.0,29.99999999999999,True,False
ill_conditioned,numerical_boundary_only,0,20660719,1.307015919972676e-07,4.2982351322999174e-07,8.14122915276938e-07,0.0,10000000836.55844,False,False
ill_conditioned,numerical_boundary_only,1,20660720,2.1392046656298902e-07,5.288919466318352e-07,1.2366621076065343e-06,0.0,10000000194.76825,False,False
ill_conditioned,numerical_boundary_only,2,20660721,1.4131736102845904e-07,4.633767294364536e-07,8.90505370804151e-07,0.0,10000000949.93342,False,False
ill_conditioned,numerical_boundary_only,3,20660722,2.0791077745552222e-07,5.246754654631275e-07,9.270117119486443e-07,0.0,10000001458.316523,False,False
ill_conditioned,numerical_boundary_only,4,20660723,3.09154366551212e-08,1.3012285756510694e-07,2.1087477952708156e-07,0.0,10000001544.58467,False,False
