family,method,baseline,dependent_pair_count,mean_paired_accuracy_delta,median_paired_accuracy_delta,paired_delta_std,wins,ties,losses,paired_bootstrap_ci_low,paired_bootstrap_ci_high,ci_status
orthogonal,canonical_svd_factor_average,naive_factor_average,20,0.032958984375,0.03369140625,0.017756753551499277,20,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,compress_then_merge,naive_factor_average,20,0.054443359375,0.05517578125,0.017756753551499277,20,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,cycle_aware_alignment,naive_factor_average,20,0.054443359375,0.05517578125,0.017756753551499277,20,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,dare,naive_factor_average,20,0.003662109375,0.00439453125,0.017756753551499277,12,0,8,,,not_computed_dependent_scrambles_single_training_group
orthogonal,full_delta_svd,naive_factor_average,20,0.054443359375,0.05517578125,0.017756753551499277,20,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,global_synchronization,naive_factor_average,20,0.054443359375,0.05517578125,0.017756753551499277,20,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,oracle_alignment,naive_factor_average,20,0.054443359375,0.05517578125,0.017756753551499277,20,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,pairwise_reference_alignment,naive_factor_average,20,0.054443359375,0.05517578125,0.017756753551499277,20,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,prediction_ensemble,naive_factor_average,20,0.054443359375,0.05517578125,0.017756753551499277,20,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,separate_adapters,naive_factor_average,20,0.244873046875,0.24560546875,0.017756753551499277,20,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,task_arithmetic,naive_factor_average,20,0.054443359375,0.05517578125,0.017756753551499277,20,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,ties,naive_factor_average,20,-0.027587890625,-0.02685546875,0.017756753551499277,0,1,19,,,not_computed_dependent_scrambles_single_training_group
orthogonal,canonical_svd_factor_average,full_delta_svd,20,-0.021484375,-0.021484375,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
orthogonal,compress_then_merge,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,cycle_aware_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,dare,full_delta_svd,20,-0.05078125,-0.05078125,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
orthogonal,global_synchronization,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,naive_factor_average,full_delta_svd,20,-0.054443359375,-0.05517578125,0.017756753551499277,0,0,20,,,not_computed_dependent_scrambles_single_training_group
orthogonal,oracle_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,pairwise_reference_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,prediction_ensemble,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,separate_adapters,full_delta_svd,20,0.1904296875,0.1904296875,0.0,20,0,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,task_arithmetic,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
orthogonal,ties,full_delta_svd,20,-0.08203125,-0.08203125,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,canonical_svd_factor_average,naive_factor_average,20,0.036962890625,0.033203125,0.026677132903315325,18,0,2,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,compress_then_merge,naive_factor_average,20,0.058447265625,0.0546875,0.026677132903315325,20,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,cycle_aware_alignment,naive_factor_average,20,0.058447265625,0.0546875,0.026677132903315325,20,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,dare,naive_factor_average,20,0.007666015625,0.00390625,0.026677132903315325,12,0,8,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,full_delta_svd,naive_factor_average,20,0.058447265625,0.0546875,0.026677132903315325,20,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,global_synchronization,naive_factor_average,20,0.058447265625,0.0546875,0.026677132903315325,20,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,oracle_alignment,naive_factor_average,20,0.058447265625,0.0546875,0.026677132903315325,20,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,pairwise_reference_alignment,naive_factor_average,20,0.058447265625,0.0546875,0.026677132903315325,20,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,prediction_ensemble,naive_factor_average,20,0.058447265625,0.0546875,0.026677132903315325,20,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,separate_adapters,naive_factor_average,20,0.248876953125,0.2451171875,0.026677132903315325,20,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,task_arithmetic,naive_factor_average,20,0.058447265625,0.0546875,0.026677132903315325,20,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,ties,naive_factor_average,20,-0.023583984375,-0.02734375,0.026677132903315325,4,0,16,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,canonical_svd_factor_average,full_delta_svd,20,-0.021484375,-0.021484375,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,compress_then_merge,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,cycle_aware_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,dare,full_delta_svd,20,-0.05078125,-0.05078125,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,global_synchronization,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,naive_factor_average,full_delta_svd,20,-0.058447265625,-0.0546875,0.026677132903315325,0,0,20,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,oracle_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,pairwise_reference_alignment,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,prediction_ensemble,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,separate_adapters,full_delta_svd,20,0.1904296875,0.1904296875,0.0,20,0,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,task_arithmetic,full_delta_svd,20,0.0,0.0,0.0,0,20,0,,,not_computed_dependent_scrambles_single_training_group
positive_diagonal,ties,full_delta_svd,20,-0.08203125,-0.08203125,0.0,0,0,20,,,not_computed_dependent_scrambles_single_training_group
dense,canonical_svd_factor_average,naive_factor_average,20,0.257763671875,0.259765625,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,compress_then_merge,naive_factor_average,20,0.279248046875,0.28125,0.07859418823592604,20,0,0,,,not_computed_dependent_scrambles_single_training_group
