family,claim_scope,method,dependent_scramble_count,independent_training_group_count,mean_test_accuracy,median_test_accuracy,test_accuracy_std,test_accuracy_range,worst_setting_accuracy,max_relative_delta_distance_from_original,max_logit_distance_from_original,max_prediction_disagreement_from_original,mean_relative_delta_distance_from_oracle,mean_max_logit_distance_from_oracle,method_failure_count,numerical_gauge_failure_count,paired_bootstrap_ci_low,paired_bootstrap_ci_high,ci_status
dense,primary_well_conditioned,canonical_svd_factor_average,20,1,0.7880859375,0.7880859375,0.0,0.0,0.7880859375,2.9012924564147607e-15,2.9004576518332215e-15,0.0,0.37226429915143344,0.4209830438577666,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,compress_then_merge,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,2.1867558853779527e-15,3.164135620181696e-15,0.0,1.25847624771708e-15,1.5577816814271728e-15,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,cycle_aware_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.4626269629462118e-14,1.9095836023552692e-14,0.0,7.389647726506849e-15,8.54837034491851e-15,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,dare,20,1,0.7587890625,0.7587890625,0.0,0.0,0.7587890625,1.248201769116913e-15,1.7763568394002505e-15,0.0,0.7157353123800394,0.7102889609695511,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,full_delta_svd,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.6028997589300519e-15,2.220446049250313e-15,0.0,9.224524827589442e-16,1.2573275753879897e-15,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,global_synchronization,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.4626269629462118e-14,1.9095836023552692e-14,0.0,7.389647726506849e-15,8.54837034491851e-15,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,naive_factor_average,20,1,0.530322265625,0.5283203125,0.07859418823592604,0.2529296875,0.39453125,5.9669102465370525,9.367018493253637,0.60546875,3.193468685773634,3.7627738873743177,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,oracle_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,1.197581930586862e-15,1.5543122344752192e-15,0.0,0.0,0.0,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,pairwise_reference_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,9.778658121308932e-15,1.231653667943533e-14,0.0,4.2287460085185136e-15,4.691733113126872e-15,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,prediction_ensemble,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,,1.4432899320127035e-15,0.0,,1.0186296250935812e-15,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,separate_adapters,20,1,1.0,1.0,0.0,0.0,1.0,,3.9968028886505635e-15,0.0,,0.9851419332814195,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,task_arithmetic,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,9.973683851611702e-16,1.4432899320127035e-15,0.0,6.710312518771979e-16,1.0186296250935812e-15,0,0,,,not_computed_dependent_scrambles_single_training_group
dense,primary_well_conditioned,ties,20,1,0.7275390625,0.7275390625,0.0,0.0,0.7275390625,1.0675352539834532e-15,2.275957200481571e-15,0.0,1.0071327733795061,0.8566017837859622,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,numerical_boundary_only,canonical_svd_factor_average,20,1,0.7880859375,0.7880859375,0.0,0.0,0.7880859375,6.20814965265375e-07,5.438323744111351e-07,0.0,0.37226429387256926,0.4209830551328331,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,numerical_boundary_only,compress_then_merge,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,2.5994578990742414e-07,4.2043786158130203e-07,0.0,1.534392601348838e-07,1.773596949784795e-07,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,numerical_boundary_only,cycle_aware_alignment,20,1,0.8095703125,0.8095703125,0.0,0.0,0.8095703125,2.6075740541436547e-07,4.2119827137199195e-07,0.0,1.5381326807185721e-07,1.7751471310667454e-07,0,0,,,not_computed_dependent_scrambles_single_training_group
ill_conditioned,numerical_boundary_only,dare,20,1,0.7587890625,0.7587890625,0.0,0.0,0.7587890625,3.1818487052246267e-07,5.196004962959577e-07,0.0,0.7157353177468856,0.7102889711727707,0,0,,,not_computed_dependent_scrambles_single_training_group
