claim_scope,family,group_seed,method,dependent_scramble_count,independent_training_group_count,mean_relative_delta_change,max_relative_delta_change,mean_distance_from_oracle,max_distance_from_oracle,minimum_output_rank,maximum_output_rank,output_rank_cap
ill_conditioned_boundary,ill_conditioned,0,canonical_svd_factor_average,20,1,2.095017339007273e-09,3.276544766000619e-09,1.68008262915131,1.6800826304170615,4,4,4
ill_conditioned_boundary,ill_conditioned,0,cycle_aware_alignment,6,1,1.5481792374283718e-09,2.6332449957130648e-09,3.567089538540396,3.5670895391688857,4,4,4
ill_conditioned_boundary,ill_conditioned,0,full_delta_svd,20,1,1.4220525190886487e-09,2.6332449957130648e-09,3.567089538458648,3.5670895425353226,4,4,4
ill_conditioned_boundary,ill_conditioned,0,global_synchronization,6,1,0.1614687365169402,0.2428519363549307,3.367645773324984,3.560702942751114,4,4,4
ill_conditioned_boundary,ill_conditioned,0,naive_factor_average,20,1,20190335.65741422,27873564.06620976,20190335.655024834,27873564.06402457,4,4,4
ill_conditioned_boundary,ill_conditioned,0,oracle_alignment,20,1,2.544125600797459e-09,3.868434737038134e-09,0.0,0.0,4,4,4
ill_conditioned_boundary,ill_conditioned,0,pairwise_reference_alignment,6,1,0.1458679914598917,0.2061645217840896,2.1812842665797363,2.262166587166556,4,4,4
ill_conditioned_boundary,ill_conditioned,1,canonical_svd_factor_average,20,1,2.5374748987378637e-09,3.327423522419998e-09,1.192977262049793,1.192977262689921,4,4,4
ill_conditioned_boundary,ill_conditioned,1,cycle_aware_alignment,6,1,1.3181902666904127e-09,1.5086483556349111e-09,3.7366726367100322,3.736672638834483,4,4,4
ill_conditioned_boundary,ill_conditioned,1,full_delta_svd,20,1,1.31958346533474e-09,1.7044039686084952e-09,3.7366726367292644,3.736672640286158,4,4,4
ill_conditioned_boundary,ill_conditioned,1,global_synchronization,6,1,0.3059264809764279,0.7758262109204473,5.546054572737046,7.944243174296534,4,4,4
ill_conditioned_boundary,ill_conditioned,1,naive_factor_average,20,1,22745415.784913424,34813306.67787221,22745415.78482943,34813306.67478108,4,4,4
ill_conditioned_boundary,ill_conditioned,1,oracle_alignment,20,1,2.726437302255548e-09,4.2025121207247485e-09,0.0,0.0,4,4,4
ill_conditioned_boundary,ill_conditioned,1,pairwise_reference_alignment,6,1,0.1631498739064495,0.330052459311133,2.295424694564178,2.500902367592522,4,4,4
ill_conditioned_boundary,ill_conditioned,2,canonical_svd_factor_average,20,1,2.990430386593998e-09,4.322093405140876e-09,1.0849657181332004,1.084965718577356,4,4,4
ill_conditioned_boundary,ill_conditioned,2,cycle_aware_alignment,6,1,1.3830573445215164e-09,1.8079962370996167e-09,2.8853023461492886,2.8853023481875075,4,4,4
ill_conditioned_boundary,ill_conditioned,2,full_delta_svd,20,1,1.3811843026360262e-09,1.8079962370996167e-09,2.8853023459799574,2.8853023485896623,4,4,4
ill_conditioned_boundary,ill_conditioned,2,global_synchronization,6,1,0.25070360708702855,0.469098240579672,2.611860088068262,2.9940044124045664,4,4,4
ill_conditioned_boundary,ill_conditioned,2,naive_factor_average,20,1,18172727.270434823,25097990.81315502,18172727.270837553,25097990.80330089,4,4,4
ill_conditioned_boundary,ill_conditioned,2,oracle_alignment,20,1,2.6079958025671447e-09,3.644765696669255e-09,0.0,0.0,4,4,4
ill_conditioned_boundary,ill_conditioned,2,pairwise_reference_alignment,6,1,0.1265815888182185,0.1806909106137939,1.8997033735688638,1.9447624890857915,4,4,4
ill_conditioned_boundary,ill_conditioned,3,canonical_svd_factor_average,20,1,2.720590841642015e-09,3.4993748531066637e-09,1.0849918380872545,1.0849918383981507,4,4,4
ill_conditioned_boundary,ill_conditioned,3,cycle_aware_alignment,8,1,1.2530571401177602e-09,1.5856229790980733e-09,2.9045379395203827,2.904537940949277,4,4,4
ill_conditioned_boundary,ill_conditioned,3,full_delta_svd,20,1,1.4330080703448688e-09,1.8142898924726408e-09,2.904537939811859,2.9045379423261415,4,4,4
ill_conditioned_boundary,ill_conditioned,3,global_synchronization,8,1,0.17691718778466384,0.4275381545763435,2.8456508721544056,3.316979758827818,4,4,4
ill_conditioned_boundary,ill_conditioned,3,naive_factor_average,20,1,17393770.205493916,24673498.144067876,17393770.205165297,24673498.135323875,4,4,4
ill_conditioned_boundary,ill_conditioned,3,oracle_alignment,20,1,2.418290734247678e-09,3.050899448743294e-09,0.0,0.0,4,4,4
ill_conditioned_boundary,ill_conditioned,3,pairwise_reference_alignment,8,1,0.10908903788225542,0.1419214058392755,2.029911197557496,2.0880828625849603,4,4,4
ill_conditioned_boundary,ill_conditioned,4,canonical_svd_factor_average,20,1,3.5254215329181824e-09,1.059428156431269e-08,1.3829696753667127,1.3829696769406263,4,4,4
ill_conditioned_boundary,ill_conditioned,4,cycle_aware_alignment,6,1,1.1339891771952514e-09,1.2834981932225656e-09,3.1266480971435997,3.1266480981592735,4,4,4
ill_conditioned_boundary,ill_conditioned,4,full_delta_svd,20,1,1.1638801345217633e-09,1.3841193577452072e-09,3.1266480967092067,3.1266480981592735,4,4,4
ill_conditioned_boundary,ill_conditioned,4,global_synchronization,6,1,0.20593458577235366,0.29462560848578706,3.245968600651414,3.5493702547949946,4,4,4
ill_conditioned_boundary,ill_conditioned,4,naive_factor_average,20,1,17868025.49361015,26811787.574348114,17868025.494429372,26811787.582213055,4,4,4
ill_conditioned_boundary,ill_conditioned,4,oracle_alignment,20,1,2.3530342281001995e-09,3.098149109108239e-09,0.0,0.0,4,4,4
ill_conditioned_boundary,ill_conditioned,4,pairwise_reference_alignment,6,1,0.1248810371987526,0.1568100426439446,2.270866930577881,2.3574221276259166,4,4,4
primary_well_conditioned,dense,0,canonical_svd_factor_average,20,1,1.168541282748574e-15,1.5743447375864377e-15,1.680082629420255,1.6800826294202555,4,4,4
primary_well_conditioned,dense,0,cycle_aware_alignment,20,1,1.2619338264492995e-15,1.9822294732787445e-15,3.567089539046028,3.5670895390460315,4,4,4
primary_well_conditioned,dense,0,full_delta_svd,20,1,1.2619338264492995e-15,1.9822294732787445e-15,3.567089539046028,3.5670895390460315,4,4,4
primary_well_conditioned,dense,0,global_synchronization,20,1,3.8917615152118364e-14,8.369889531332823e-14,3.2669576936407787,3.2669576936408946,4,4,4
primary_well_conditioned,dense,0,naive_factor_average,20,1,7.459481071445414,9.666019310509103,7.459481071445414,9.666019310509103,4,4,4
primary_well_conditioned,dense,0,oracle_alignment,20,1,1.0615742049451513e-15,1.3592199309038153e-15,0.0,0.0,4,4,4
primary_well_conditioned,dense,0,pairwise_reference_alignment,20,1,3.221069483453786e-14,6.687027405151245e-14,2.1248303033657168,2.12483030336577,4,4,4
primary_well_conditioned,dense,1,canonical_svd_factor_average,20,1,1.6059131611609287e-15,2.284177675101224e-15,1.1929772620274537,1.192977262027454,4,4,4
primary_well_conditioned,dense,1,cycle_aware_alignment,20,1,1.3305560223318172e-15,1.7081044474470559e-15,3.736672636802708,3.736672636802712,4,4,4
primary_well_conditioned,dense,1,full_delta_svd,20,1,1.3305560223318172e-15,1.7081044474470559e-15,3.736672636802708,3.736672636802712,4,4,4
primary_well_conditioned,dense,1,global_synchronization,20,1,6.112025915919172e-14,2.7099001206286953e-13,4.65407982970442,4.654079829705304,4,4,4
primary_well_conditioned,dense,1,naive_factor_average,20,1,7.383385898440531,9.185368449956176,7.383385898440531,9.185368449956176,4,4,4
primary_well_conditioned,dense,1,oracle_alignment,20,1,1.0547985081358098e-15,1.2155583278955598e-15,0.0,0.0,4,4,4
primary_well_conditioned,dense,1,pairwise_reference_alignment,20,1,2.6660070263295173e-14,7.666899289468747e-14,2.1657523382261337,2.165752338226151,4,4,4
primary_well_conditioned,dense,2,canonical_svd_factor_average,20,1,1.648033834439995e-15,3.1945698259365946e-15,1.0849657181070973,1.084965718107098,4,4,4
primary_well_conditioned,dense,2,cycle_aware_alignment,20,1,1.1539923566830484e-15,1.6366949176492977e-15,2.8853023458328666,2.8853023458328693,4,4,4
primary_well_conditioned,dense,2,full_delta_svd,20,1,1.1539923566830484e-15,1.6366949176492977e-15,2.8853023458328666,2.8853023458328693,4,4,4
primary_well_conditioned,dense,2,global_synchronization,20,1,3.936748106673857e-14,7.033766597022158e-14,2.463494923234794,2.463494923234826,4,4,4
primary_well_conditioned,dense,2,naive_factor_average,20,1,6.503882095708031,10.342100572484751,6.503882095708029,10.342100572484748,4,4,4
primary_well_conditioned,dense,2,oracle_alignment,20,1,9.440372460180113e-16,1.1560872443050882e-15,0.0,0.0,4,4,4
primary_well_conditioned,dense,2,pairwise_reference_alignment,20,1,2.9439799780299035e-14,8.052866614120254e-14,1.8698239962422787,1.869823996242295,4,4,4
