family,metric,method,baseline,independent_training_group_count,paired_mean_delta,bootstrap_ci_low,bootstrap_ci_high,bootstrap_resamples,statistical_unit
orthogonal,relative_delta_change_from_unscrambled,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
orthogonal,maximum_test_logit_change,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
orthogonal,test_prediction_disagreement,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
orthogonal,test_accuracy_change,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
orthogonal,relative_delta_change_from_unscrambled,full_delta_svd,naive_factor_average,3,-1.2283114292146549,-1.2928357506181847,-1.1245995375799152,4000,independent_adapter_training_group
orthogonal,maximum_test_logit_change,full_delta_svd,naive_factor_average,3,-0.7999736707934694,-0.8893968691808042,-0.6823273040409882,4000,independent_adapter_training_group
orthogonal,test_prediction_disagreement,full_delta_svd,naive_factor_average,3,-0.07043541666666668,-0.07583125,-0.0632375,4000,independent_adapter_training_group
orthogonal,test_accuracy_change,full_delta_svd,naive_factor_average,3,-0.005356249999999994,-0.011056249999999998,0.00020624999999998843,4000,independent_adapter_training_group
orthogonal,relative_delta_change_from_unscrambled,canonical_svd_factor_average,naive_factor_average,3,-1.228311429214655,-1.292835750618185,-1.1245995375799152,4000,independent_adapter_training_group
orthogonal,maximum_test_logit_change,canonical_svd_factor_average,naive_factor_average,3,-0.7999736707934734,-0.8893968691808084,-0.6823273040409918,4000,independent_adapter_training_group
orthogonal,test_prediction_disagreement,canonical_svd_factor_average,naive_factor_average,3,-0.07043541666666668,-0.07583125,-0.0632375,4000,independent_adapter_training_group
orthogonal,test_accuracy_change,canonical_svd_factor_average,naive_factor_average,3,-0.005356249999999994,-0.011056249999999998,0.00020624999999998843,4000,independent_adapter_training_group
orthogonal,relative_delta_change_from_unscrambled,pairwise_reference_alignment,naive_factor_average,3,-1.2283114292146549,-1.2928357506181847,-1.124599537579915,4000,independent_adapter_training_group
orthogonal,maximum_test_logit_change,pairwise_reference_alignment,naive_factor_average,3,-0.7999736707934718,-0.8893968691808066,-0.6823273040409902,4000,independent_adapter_training_group
orthogonal,test_prediction_disagreement,pairwise_reference_alignment,naive_factor_average,3,-0.07043541666666668,-0.07583125,-0.0632375,4000,independent_adapter_training_group
orthogonal,test_accuracy_change,pairwise_reference_alignment,naive_factor_average,3,-0.005356249999999994,-0.011056249999999998,0.00020624999999998843,4000,independent_adapter_training_group
orthogonal,relative_delta_change_from_unscrambled,global_synchronization,naive_factor_average,3,-1.2283114292146498,-1.2928357506181813,-1.1245995375799098,4000,independent_adapter_training_group
orthogonal,maximum_test_logit_change,global_synchronization,naive_factor_average,3,-0.7999736707934549,-0.8893968691807951,-0.6823273040409595,4000,independent_adapter_training_group
orthogonal,test_prediction_disagreement,global_synchronization,naive_factor_average,3,-0.07043541666666668,-0.07583125,-0.0632375,4000,independent_adapter_training_group
orthogonal,test_accuracy_change,global_synchronization,naive_factor_average,3,-0.005356249999999994,-0.011056249999999998,0.00020624999999998843,4000,independent_adapter_training_group
orthogonal,relative_delta_change_from_unscrambled,cycle_aware_alignment,naive_factor_average,3,-1.2283114292146549,-1.2928357506181847,-1.1245995375799152,4000,independent_adapter_training_group
orthogonal,maximum_test_logit_change,cycle_aware_alignment,naive_factor_average,3,-0.7999736707934694,-0.8893968691808042,-0.6823273040409882,4000,independent_adapter_training_group
orthogonal,test_prediction_disagreement,cycle_aware_alignment,naive_factor_average,3,-0.07043541666666668,-0.07583125,-0.0632375,4000,independent_adapter_training_group
orthogonal,test_accuracy_change,cycle_aware_alignment,naive_factor_average,3,-0.005356249999999994,-0.011056249999999998,0.00020624999999998843,4000,independent_adapter_training_group
orthogonal,relative_delta_change_from_unscrambled,oracle_alignment,naive_factor_average,3,-1.2283114292146557,-1.2928357506181856,-1.124599537579916,4000,independent_adapter_training_group
orthogonal,maximum_test_logit_change,oracle_alignment,naive_factor_average,3,-0.799973670793474,-0.8893968691808091,-0.6823273040409926,4000,independent_adapter_training_group
orthogonal,test_prediction_disagreement,oracle_alignment,naive_factor_average,3,-0.07043541666666668,-0.07583125,-0.0632375,4000,independent_adapter_training_group
orthogonal,test_accuracy_change,oracle_alignment,naive_factor_average,3,-0.005356249999999994,-0.011056249999999998,0.00020624999999998843,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,full_delta_svd,naive_factor_average,3,-1.7942954273986256,-1.935413523954938,-1.6370604481932054,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,full_delta_svd,naive_factor_average,3,-1.2842768836414367,-1.3559291128070996,-1.141913525543989,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,full_delta_svd,naive_factor_average,3,-0.09704583333333333,-0.10017499999999997,-0.09365625,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,full_delta_svd,naive_factor_average,3,0.011622916666666675,0.009856250000000002,0.01255,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,canonical_svd_factor_average,naive_factor_average,3,-1.7942954273986256,-1.935413523954938,-1.6370604481932058,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,canonical_svd_factor_average,naive_factor_average,3,-1.2842768836414395,-1.3559291128071032,-1.1419135255439914,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,canonical_svd_factor_average,naive_factor_average,3,-0.09704583333333333,-0.10017499999999997,-0.09365625,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,canonical_svd_factor_average,naive_factor_average,3,0.011622916666666675,0.009856250000000002,0.01255,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,pairwise_reference_alignment,naive_factor_average,3,-1.794295427398625,-1.9354135239549375,-1.6370604481932045,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,pairwise_reference_alignment,naive_factor_average,3,-1.2842768836414369,-1.355929112807101,-1.1419135255439894,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,pairwise_reference_alignment,naive_factor_average,3,-0.09704583333333333,-0.10017499999999997,-0.09365625,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,pairwise_reference_alignment,naive_factor_average,3,0.011622916666666675,0.009856250000000002,0.01255,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,global_synchronization,naive_factor_average,3,-1.7942954273986196,-1.9354135239549313,-1.6370604481931983,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,global_synchronization,naive_factor_average,3,-1.2842768836414205,-1.3559291128070907,-1.141913525543962,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,global_synchronization,naive_factor_average,3,-0.09704583333333333,-0.10017499999999997,-0.09365625,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,global_synchronization,naive_factor_average,3,0.011622916666666675,0.009856250000000002,0.01255,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,cycle_aware_alignment,naive_factor_average,3,-1.7942954273986256,-1.935413523954938,-1.6370604481932054,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,cycle_aware_alignment,naive_factor_average,3,-1.2842768836414367,-1.3559291128070996,-1.141913525543989,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,cycle_aware_alignment,naive_factor_average,3,-0.09704583333333333,-0.10017499999999997,-0.09365625,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,cycle_aware_alignment,naive_factor_average,3,0.011622916666666675,0.009856250000000002,0.01255,4000,independent_adapter_training_group
positive_diagonal,relative_delta_change_from_unscrambled,oracle_alignment,naive_factor_average,3,-1.7942954273986267,-1.9354135239549393,-1.6370604481932063,4000,independent_adapter_training_group
positive_diagonal,maximum_test_logit_change,oracle_alignment,naive_factor_average,3,-1.2842768836414409,-1.355929112807105,-1.1419135255439932,4000,independent_adapter_training_group
positive_diagonal,test_prediction_disagreement,oracle_alignment,naive_factor_average,3,-0.09704583333333333,-0.10017499999999997,-0.09365625,4000,independent_adapter_training_group
positive_diagonal,test_accuracy_change,oracle_alignment,naive_factor_average,3,0.011622916666666675,0.009856250000000002,0.01255,4000,independent_adapter_training_group
dense,relative_delta_change_from_unscrambled,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
dense,maximum_test_logit_change,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
dense,test_prediction_disagreement,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
dense,test_accuracy_change,naive_factor_average,naive_factor_average,3,0.0,0.0,0.0,4000,independent_adapter_training_group
dense,relative_delta_change_from_unscrambled,full_delta_svd,naive_factor_average,3,-7.115583021864658,-7.459481071445413,-6.50388209570803,4000,independent_adapter_training_group
dense,maximum_test_logit_change,full_delta_svd,naive_factor_average,3,-5.3554846841510715,-5.749269996991461,-4.7173197217388525,4000,independent_adapter_training_group
dense,test_prediction_disagreement,full_delta_svd,naive_factor_average,3,-0.35759583333333333,-0.3703125,-0.34750625000000007,4000,independent_adapter_training_group
dense,test_accuracy_change,full_delta_svd,naive_factor_average,3,0.09100000000000001,0.08888124999999998,0.09508124999999999,4000,independent_adapter_training_group
dense,relative_delta_change_from_unscrambled,canonical_svd_factor_average,naive_factor_average,3,-7.115583021864658,-7.459481071445413,-6.503882095708029,4000,independent_adapter_training_group
dense,maximum_test_logit_change,canonical_svd_factor_average,naive_factor_average,3,-5.355484684151076,-5.7492699969914645,-4.717319721738856,4000,independent_adapter_training_group
dense,test_prediction_disagreement,canonical_svd_factor_average,naive_factor_average,3,-0.35759583333333333,-0.3703125,-0.34750625000000007,4000,independent_adapter_training_group
dense,test_accuracy_change,canonical_svd_factor_average,naive_factor_average,3,0.09100000000000001,0.08888124999999998,0.09508124999999999,4000,independent_adapter_training_group
dense,relative_delta_change_from_unscrambled,pairwise_reference_alignment,naive_factor_average,3,-7.115583021864629,-7.459481071445382,-6.5038820957080015,4000,independent_adapter_training_group
dense,maximum_test_logit_change,pairwise_reference_alignment,naive_factor_average,3,-5.355484684151023,-5.749269996991405,-4.7173197217388125,4000,independent_adapter_training_group
dense,test_prediction_disagreement,pairwise_reference_alignment,naive_factor_average,3,-0.35759583333333333,-0.3703125,-0.34750625000000007,4000,independent_adapter_training_group
dense,test_accuracy_change,pairwise_reference_alignment,naive_factor_average,3,0.09100000000000001,0.08888124999999998,0.09508124999999999,4000,independent_adapter_training_group
dense,relative_delta_change_from_unscrambled,global_synchronization,naive_factor_average,3,-7.115583021864612,-7.459481071445375,-6.503882095707991,4000,independent_adapter_training_group
dense,maximum_test_logit_change,global_synchronization,naive_factor_average,3,-5.355484684150929,-5.749269996991376,-4.717319721738613,4000,independent_adapter_training_group
dense,test_prediction_disagreement,global_synchronization,naive_factor_average,3,-0.35759583333333333,-0.3703125,-0.34750625000000007,4000,independent_adapter_training_group
dense,test_accuracy_change,global_synchronization,naive_factor_average,3,0.09100000000000001,0.08888124999999998,0.09508124999999999,4000,independent_adapter_training_group
dense,relative_delta_change_from_unscrambled,cycle_aware_alignment,naive_factor_average,3,-7.115583021864658,-7.459481071445413,-6.50388209570803,4000,independent_adapter_training_group
dense,maximum_test_logit_change,cycle_aware_alignment,naive_factor_average,3,-5.3554846841510715,-5.749269996991461,-4.7173197217388525,4000,independent_adapter_training_group
