stage,group_seed,family,scramble,condition_limit,claim_scope,maximum_individual_relative_delta_error,maximum_individual_logit_error,maximum_individual_prediction_disagreement,maximum_individual_validation_accuracy_change,accepted_scramble
pilot,0,orthogonal,0,1.0,primary_well_conditioned,2.1706341095565028e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,1,1.0,primary_well_conditioned,1.9834618620294228e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,2,1.0,primary_well_conditioned,1.948800537661654e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,3,1.0,primary_well_conditioned,1.8814001777161073e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,4,1.0,primary_well_conditioned,2.0785662995810903e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,5,1.0,primary_well_conditioned,2.0050494476019713e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,6,1.0,primary_well_conditioned,1.8241258392823168e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,7,1.0,primary_well_conditioned,1.7980199763714265e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,8,1.0,primary_well_conditioned,1.8584519891244591e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,9,1.0,primary_well_conditioned,2.1086442162164483e-16,7.105427357601002e-15,0.0,0.0,True
pilot,0,orthogonal,10,1.0,primary_well_conditioned,1.9009705345166103e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,11,1.0,primary_well_conditioned,2.1697385849587004e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,12,1.0,primary_well_conditioned,1.965800893271342e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,13,1.0,primary_well_conditioned,2.081888556462494e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,14,1.0,primary_well_conditioned,2.2319285971537786e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,15,1.0,primary_well_conditioned,1.79030913660413e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,16,1.0,primary_well_conditioned,1.9443900736529615e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,17,1.0,primary_well_conditioned,1.889199787944458e-16,7.105427357601002e-15,0.0,0.0,True
pilot,0,orthogonal,18,1.0,primary_well_conditioned,2.343704285293952e-16,5.329070518200751e-15,0.0,0.0,True
pilot,0,orthogonal,19,1.0,primary_well_conditioned,2.114673209975048e-16,4.440892098500626e-15,0.0,0.0,True
pilot,0,positive_diagonal,0,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,1,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,2,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,3,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,4,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,5,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,6,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,7,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,8,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,9,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,10,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,11,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,12,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,13,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,14,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,15,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,16,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,17,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,18,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,positive_diagonal,19,8.0,primary_well_conditioned,8.333723803105313e-17,5.329070518200751e-15,0.0,0.0,True
pilot,0,dense,0,30.0,primary_well_conditioned,1.097361667336842e-15,1.4210854715202004e-14,0.0,0.0,True
pilot,0,dense,1,30.0,primary_well_conditioned,1.1101206276948341e-15,9.769962616701378e-15,0.0,0.0,True
pilot,0,dense,2,30.0,primary_well_conditioned,1.0307545156163508e-15,8.881784197001252e-15,0.0,0.0,True
pilot,0,dense,3,30.0,primary_well_conditioned,8.217215080134053e-16,9.769962616701378e-15,0.0,0.0,True
pilot,0,dense,4,30.0,primary_well_conditioned,1.0364156315775757e-15,1.0658141036401503e-14,0.0,0.0,True
pilot,0,dense,5,30.0,primary_well_conditioned,1.2902595615392087e-15,1.0658141036401503e-14,0.0,0.0,True
pilot,0,dense,6,30.0,primary_well_conditioned,9.760130729559566e-16,1.5987211554602254e-14,0.0,0.0,True
pilot,0,dense,7,30.0,primary_well_conditioned,9.764572723235677e-16,1.0658141036401503e-14,0.0,0.0,True
pilot,0,dense,8,30.0,primary_well_conditioned,9.119878138974597e-16,9.769962616701378e-15,0.0,0.0,True
pilot,0,dense,9,30.0,primary_well_conditioned,1.0318078380773991e-15,1.2434497875801753e-14,0.0,0.0,True
pilot,0,dense,10,30.0,primary_well_conditioned,1.1220095682154171e-15,9.769962616701378e-15,0.0,0.0,True
pilot,0,dense,11,30.0,primary_well_conditioned,1.019636906190203e-15,1.0658141036401503e-14,0.0,0.0,True
pilot,0,dense,12,30.0,primary_well_conditioned,8.866067745558082e-16,1.0658141036401503e-14,0.0,0.0,True
pilot,0,dense,13,30.0,primary_well_conditioned,1.1051410835243468e-15,9.769962616701378e-15,0.0,0.0,True
pilot,0,dense,14,30.0,primary_well_conditioned,9.91363180491008e-16,1.2434497875801753e-14,0.0,0.0,True
pilot,0,dense,15,30.0,primary_well_conditioned,9.419263278412196e-16,9.325873406851315e-15,0.0,0.0,True
