dimension_m,dimension_n,rank,adapter_count,precision,method,trial_count,median_wall_seconds,p25_wall_seconds,p75_wall_seconds,minimum_wall_seconds,maximum_wall_seconds,median_cpu_seconds,minimum_cpu_seconds,maximum_cpu_seconds
768,768,4,4,float32,canonical_factor_space,3,0.000711667118594,0.0006510415114462,0.0007444381481036,0.0005904159042984,0.0007772091776132,0.000677,0.0005889999999999,0.0007759999999998
768,768,4,4,float32,cycle_aware_alignment,3,0.0015974170528352,0.0015138754388317002,0.0016305210301652,0.0014303338248282,0.0016636250074952,0.0024469999999999,0.0023839999999999,0.0026009999999999
768,768,4,4,float32,dense_deterministic_truncated_svd,3,0.0015289578586816,0.0015215415041893,0.0017692913534119,0.001514125149697,0.0020096248481422,0.0015279999999999,0.001513,0.0020059999999999
768,768,4,4,float32,dense_randomized_svd,3,0.0009289581794291,0.0009141040500253,0.00102645810693495,0.0008992499206215,0.0011239580344408,0.0009269999999999,0.0008979999999998,0.001122
768,768,4,4,float32,global_synchronization,3,0.0015574169810861,0.0015460420399904,0.0016918750479817,0.0015346670988947,0.0018263331148773,0.0023739999999999,0.002352,0.002501
768,768,4,4,float32,naive_factor_average,3,3.600004129111767e-05,3.0145980417728424e-05,6.150000263005495e-05,2.429191954433918e-05,8.699996396899223e-05,3.6000000000147026e-05,2.399999999980196e-05,8.399999999997299e-05
768,768,4,4,float32,pairwise_reference_alignment,3,0.0014147500041872,0.0013865834334865,0.0014794169692322,0.0013584168627858,0.0015440839342772,0.0023189999999999,0.002168,0.0024899999999999
768,768,4,8,float32,canonical_factor_space,3,0.0018443749286234,0.0015637709293514,0.00262245838530355,0.0012831669300794,0.0034005418419837,0.0017819999999999,0.0012510000000001,0.0030529999999999
768,768,4,8,float32,cycle_aware_alignment,3,0.004505458055064,0.0044042289955541,0.004538312554359349,0.0043029999360442,0.0045711670536547,0.0061939999999998,0.005832,0.0063520000000001
768,768,4,8,float32,dense_deterministic_truncated_svd,3,0.0014606248587369,0.0014601873699575,0.00156772881746285,0.0014597498811781,0.0016748327761888,0.001459,0.001459,0.001673
768,768,4,8,float32,dense_randomized_svd,3,0.0009422921575605,0.00092350016348055,0.00104750005993985,0.0009047081694006,0.0011527079623192,0.000941,0.0009029999999999,0.0011499999999999
